"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2016-11-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1536.0397,707.4739,"upr"
2016-11-01,Azúcar sulfitada,510.2502,>70 años,0,1433.1250,707.4739,"upr"
2016-12-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 646.3721,634.2543,"hat"
2016-12-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 835.0414,634.2543,"hat"
2016-12-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1148.7659,634.2543,"hat"
2016-12-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1340.1416,634.2543,"hat"
2016-12-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1288.6963,634.2543,"hat"
2016-12-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1215.5398,634.2543,"hat"
2016-12-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1104.3548,634.2543,"hat"
2016-12-01,Azúcar sulfitada,412.3622,>70 años,1,1038.3237,634.2543,"hat"
2016-12-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1598.5728,634.2543,"hat"
2016-12-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1589.9671,634.2543,"hat"
2016-12-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1516.8106,634.2543,"hat"
2016-12-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1617.6005,634.2543,"hat"
2016-12-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1608.9947,634.2543,"hat"
2016-12-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1535.8382,634.2543,"hat"
2016-12-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 704.4116,634.2543,"hat"
2016-12-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 911.0448,634.2543,"hat"
2016-12-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1272.6994,634.2543,"hat"
2016-12-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1742.1273,634.2543,"hat"
2016-12-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1788.2997,634.2543,"hat"
2016-12-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1694.0257,634.2543,"hat"
2016-12-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1377.0682,634.2543,"hat"
2016-12-01,Azúcar sulfitada,510.2502,>70 años,0,1284.8047,634.2543,"hat"
2016-12-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 592.9368,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 766.0089,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1053.7979,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1229.3527,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1182.1603,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1115.0516,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1013.0583,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,412.3622,>70 años,1, 952.4860,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1466.4195,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1458.5252,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1391.4165,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1483.8741,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1475.9798,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1408.8711,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 646.1782,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 835.7291,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1167.4859,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1598.1064,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1640.4618,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1553.9813,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1263.2266,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,510.2502,>70 años,0,1178.5904,581.8208,"lwr"
2016-12-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 704.6229,691.4131,"upr"
2016-12-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 910.2951,691.4131,"upr"
2016-12-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1252.2924,691.4131,"upr"
2016-12-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1460.9148,691.4131,"upr"
2016-12-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1404.8332,691.4131,"upr"
2016-12-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1325.0839,691.4131,"upr"
2016-12-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1203.8790,691.4131,"upr"
2016-12-01,Azúcar sulfitada,412.3622,>70 años,1,1131.8972,691.4131,"upr"
2016-12-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1742.6358,691.4131,"upr"
2016-12-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1733.2544,691.4131,"upr"
