"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2017-03-01,Arveja verde seca importada,639.4349,gestantes 31 a 50 años,1,1619.9842,677.3964,"q3"
2017-03-01,Arveja verde seca importada,681.9244,lactantes < 18 años,1,1727.6298,677.3964,"q3"
2017-03-01,Arveja verde seca importada,678.2965,lactantes 19 a 30 años,1,1718.4387,677.3964,"q3"
2017-03-01,Arveja verde seca importada,647.4563,lactantes 31 a 50 años,1,1640.3061,677.3964,"q3"
2017-03-01,Arveja verde seca importada,296.9556,1 a 3 años,0, 752.3258,677.3964,"q3"
2017-03-01,Arveja verde seca importada,384.0650,4 a 8 años,0, 973.0142,677.3964,"q3"
2017-03-01,Arveja verde seca importada,536.5261,9 a 13 años,0,1359.2686,677.3964,"q3"
2017-03-01,Arveja verde seca importada,734.4206,14 a 18 años,0,1860.6270,677.3964,"q3"
2017-03-01,Arveja verde seca importada,753.8853,19 a 30 años,0,1909.9401,677.3964,"q3"
2017-03-01,Arveja verde seca importada,714.1426,31 a 50 años,0,1809.2535,677.3964,"q3"
2017-03-01,Arveja verde seca importada,580.5243,51 a 70 años,0,1470.7366,677.3964,"q3"
2017-03-01,Arveja verde seca importada,541.6292,>70 años,0,1372.1972,677.3964,"q3"
2017-04-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 614.6254,603.1028,"q1"
2017-04-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 794.0282,603.1028,"q1"
2017-04-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1092.3441,603.1028,"q1"
2017-04-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1274.3204,603.1028,"q1"
2017-04-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1225.4018,603.1028,"q1"
2017-04-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1155.8384,603.1028,"q1"
2017-04-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1050.1143,603.1028,"q1"
2017-04-01,Azúcar sulfitada,412.3622,>70 años,1, 987.3263,603.1028,"q1"
2017-04-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1520.0587,603.1028,"q1"
2017-04-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1511.8756,603.1028,"q1"
2017-04-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1442.3122,603.1028,"q1"
2017-04-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1538.1518,603.1028,"q1"
2017-04-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1529.9687,603.1028,"q1"
2017-04-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1460.4053,603.1028,"q1"
2017-04-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 669.8143,603.1028,"q1"
2017-04-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 866.2987,603.1028,"q1"
2017-04-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1210.1906,603.1028,"q1"
2017-04-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1656.5625,603.1028,"q1"
2017-04-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1700.4671,603.1028,"q1"
2017-04-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1610.8234,603.1028,"q1"
2017-04-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1309.4334,603.1028,"q1"
2017-04-01,Azúcar sulfitada,510.2502,>70 años,0,1221.7013,603.1028,"q1"
2017-04-01,Arveja verde seca importada,272.4881,1 a 3 años,1, 665.9090,653.4249,"q2"
2017-04-01,Arveja verde seca importada,352.0246,4 a 8 años,1, 860.2809,653.4249,"q2"
2017-04-01,Arveja verde seca importada,484.2800,9 a 13 años,1,1183.4879,653.4249,"q2"
2017-04-01,Arveja verde seca importada,564.9573,14 a 18 años,1,1380.6480,653.4249,"q2"
2017-04-01,Arveja verde seca importada,543.2698,19 a 30 años,1,1327.6477,653.4249,"q2"
2017-04-01,Arveja verde seca importada,512.4295,31 a 50 años,1,1252.2800,653.4249,"q2"
2017-04-01,Arveja verde seca importada,465.5578,51 a 70 años,1,1137.7345,653.4249,"q2"
2017-04-01,Arveja verde seca importada,437.7214,>70 años,1,1069.7076,653.4249,"q2"
2017-04-01,Arveja verde seca importada,673.9030,gestantes < 18 años,1,1646.8904,653.4249,"q2"
2017-04-01,Arveja verde seca importada,670.2751,gestantes 19 a 30 años,1,1638.0245,653.4249,"q2"
2017-04-01,Arveja verde seca importada,639.4349,gestantes 31 a 50 años,1,1562.6569,653.4249,"q2"
2017-04-01,Arveja verde seca importada,681.9244,lactantes < 18 años,1,1666.4932,653.4249,"q2"
2017-04-01,Arveja verde seca importada,678.2965,lactantes 19 a 30 años,1,1657.6273,653.4249,"q2"
2017-04-01,Arveja verde seca importada,647.4563,lactantes 31 a 50 años,1,1582.2596,653.4249,"q2"
2017-04-01,Arveja verde seca importada,296.9556,1 a 3 años,0, 725.7028,653.4249,"q2"
2017-04-01,Arveja verde seca importada,384.0650,4 a 8 años,0, 938.5816,653.4249,"q2"
2017-04-01,Arveja verde seca importada,536.5261,9 a 13 años,0,1311.1674,653.4249,"q2"
2017-04-01,Arveja verde seca importada,734.4206,14 a 18 años,0,1794.7839,653.4249,"q2"
2017-04-01,Arveja verde seca importada,753.8853,19 a 30 años,0,1842.3519,653.4249,"q2"
2017-04-01,Arveja verde seca importada,714.1426,31 a 50 años,0,1745.2284,653.4249,"q2"
2017-04-01,Arveja verde seca importada,580.5243,51 a 70 años,0,1418.6908,653.4249,"q2"
2017-04-01,Arveja verde seca importada,541.6292,>70 años,0,1323.6385,653.4249,"q2"
2017-04-01,Arveja verde seca importada,272.4881,1 a 3 años,1, 689.4256,676.5007,"q3"
2017-04-01,Arveja verde seca importada,352.0246,4 a 8 años,1, 890.6618,676.5007,"q3"
2017-04-01,Arveja verde seca importada,484.2800,9 a 13 años,1,1225.2829,676.5007,"q3"
2017-04-01,Arveja verde seca importada,564.9573,14 a 18 años,1,1429.4057,676.5007,"q3"
2017-04-01,Arveja verde seca importada,543.2698,19 a 30 años,1,1374.5337,676.5007,"q3"
2017-04-01,Arveja verde seca importada,512.4295,31 a 50 años,1,1296.5044,676.5007,"q3"
2017-04-01,Arveja verde seca importada,465.5578,51 a 70 años,1,1177.9137,676.5007,"q3"
2017-04-01,Arveja verde seca importada,437.7214,>70 años,1,1107.4844,676.5007,"q3"
2017-04-01,Arveja verde seca importada,673.9030,gestantes < 18 años,1,1705.0505,676.5007,"q3"
2017-04-01,Arveja verde seca importada,670.2751,gestantes 19 a 30 años,1,1695.8716,676.5007,"q3"
2017-04-01,Arveja verde seca importada,639.4349,gestantes 31 a 50 años,1,1617.8423,676.5007,"q3"
2017-04-01,Arveja verde seca importada,681.9244,lactantes < 18 años,1,1725.3456,676.5007,"q3"
2017-04-01,Arveja verde seca importada,678.2965,lactantes 19 a 30 años,1,1716.1666,676.5007,"q3"
2017-04-01,Arveja verde seca importada,647.4563,lactantes 31 a 50 años,1,1638.1373,676.5007,"q3"
2017-04-01,Arveja verde seca importada,296.9556,1 a 3 años,0, 751.3310,676.5007,"q3"
2017-04-01,Arveja verde seca importada,384.0650,4 a 8 años,0, 971.7277,676.5007,"q3"
2017-04-01,Arveja verde seca importada,536.5261,9 a 13 años,0,1357.4714,676.5007,"q3"
2017-04-01,Arveja verde seca importada,734.4206,14 a 18 años,0,1858.1669,676.5007,"q3"
2017-04-01,Arveja verde seca importada,753.8853,19 a 30 años,0,1907.4148,676.5007,"q3"
2017-04-01,Arveja verde seca importada,714.1426,31 a 50 años,0,1806.8613,676.5007,"q3"
2017-04-01,Arveja verde seca importada,580.5243,51 a 70 años,0,1468.7920,676.5007,"q3"
2017-04-01,Arveja verde seca importada,541.6292,>70 años,0,1370.3829,676.5007,"q3"
2017-05-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 615.5019,603.9629,"q1"
2017-05-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 795.1606,603.9629,"q1"
2017-05-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1093.9019,603.9629,"q1"
2017-05-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1276.1377,603.9629,"q1"
2017-05-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1227.1493,603.9629,"q1"
2017-05-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1157.4867,603.9629,"q1"
2017-05-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1051.6119,603.9629,"q1"
2017-05-01,Azúcar sulfitada,412.3622,>70 años,1, 988.7344,603.9629,"q1"
2017-05-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1522.2265,603.9629,"q1"
2017-05-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1514.0317,603.9629,"q1"
2017-05-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1444.3691,603.9629,"q1"
2017-05-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1540.3454,603.9629,"q1"
2017-05-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1532.1506,603.9629,"q1"
2017-05-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1462.4880,603.9629,"q1"
2017-05-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 670.7696,603.9629,"q1"
2017-05-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 867.5342,603.9629,"q1"
2017-05-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1211.9165,603.9629,"q1"
2017-05-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1658.9249,603.9629,"q1"
2017-05-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1702.8922,603.9629,"q1"
2017-05-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1613.1206,603.9629,"q1"
2017-05-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1311.3007,603.9629,"q1"
2017-05-01,Azúcar sulfitada,510.2502,>70 años,0,1223.4436,603.9629,"q1"
2017-05-01,Arveja verde seca importada,272.4881,1 a 3 años,1, 665.2748,652.8026,"q2"
2017-05-01,Arveja verde seca importada,352.0246,4 a 8 años,1, 859.4616,652.8026,"q2"
2017-05-01,Arveja verde seca importada,484.2800,9 a 13 años,1,1182.3608,652.8026,"q2"
2017-05-01,Arveja verde seca importada,564.9573,14 a 18 años,1,1379.3331,652.8026,"q2"
2017-05-01,Arveja verde seca importada,543.2698,19 a 30 años,1,1326.3833,652.8026,"q2"
2017-05-01,Arveja verde seca importada,512.4295,31 a 50 años,1,1251.0874,652.8026,"q2"
2017-05-01,Arveja verde seca importada,465.5578,51 a 70 años,1,1136.6510,652.8026,"q2"
2017-05-01,Arveja verde seca importada,437.7214,>70 años,1,1068.6888,652.8026,"q2"
2017-05-01,Arveja verde seca importada,673.9030,gestantes < 18 años,1,1645.3220,652.8026,"q2"
2017-05-01,Arveja verde seca importada,670.2751,gestantes 19 a 30 años,1,1636.4645,652.8026,"q2"
2017-05-01,Arveja verde seca importada,639.4349,gestantes 31 a 50 años,1,1561.1687,652.8026,"q2"
2017-05-01,Arveja verde seca importada,681.9244,lactantes < 18 años,1,1664.9061,652.8026,"q2"
2017-05-01,Arveja verde seca importada,678.2965,lactantes 19 a 30 años,1,1656.0486,652.8026,"q2"
2017-05-01,Arveja verde seca importada,647.4563,lactantes 31 a 50 años,1,1580.7527,652.8026,"q2"
2017-05-01,Arveja verde seca importada,296.9556,1 a 3 años,0, 725.0116,652.8026,"q2"
2017-05-01,Arveja verde seca importada,384.0650,4 a 8 años,0, 937.6877,652.8026,"q2"
2017-05-01,Arveja verde seca importada,536.5261,9 a 13 años,0,1309.9186,652.8026,"q2"
2017-05-01,Arveja verde seca importada,734.4206,14 a 18 años,0,1793.0746,652.8026,"q2"
2017-05-01,Arveja verde seca importada,753.8853,19 a 30 años,0,1840.5973,652.8026,"q2"
2017-05-01,Arveja verde seca importada,714.1426,31 a 50 años,0,1743.5663,652.8026,"q2"
2017-05-01,Arveja verde seca importada,580.5243,51 a 70 años,0,1417.3397,652.8026,"q2"
2017-05-01,Arveja verde seca importada,541.6292,>70 años,0,1322.3779,652.8026,"q2"
2017-05-01,Arveja verde seca importada,272.4881,1 a 3 años,1, 688.7690,675.8564,"q3"
2017-05-01,Arveja verde seca importada,352.0246,4 a 8 años,1, 889.8136,675.8564,"q3"
2017-05-01,Arveja verde seca importada,484.2800,9 a 13 años,1,1224.1160,675.8564,"q3"
2017-05-01,Arveja verde seca importada,564.9573,14 a 18 años,1,1428.0444,675.8564,"q3"
2017-05-01,Arveja verde seca importada,543.2698,19 a 30 años,1,1373.2247,675.8564,"q3"
2017-05-01,Arveja verde seca importada,512.4295,31 a 50 años,1,1295.2697,675.8564,"q3"
2017-05-01,Arveja verde seca importada,465.5578,51 a 70 años,1,1176.7919,675.8564,"q3"
2017-05-01,Arveja verde seca importada,437.7214,>70 años,1,1106.4297,675.8564,"q3"
2017-05-01,Arveja verde seca importada,673.9030,gestantes < 18 años,1,1703.4267,675.8564,"q3"
2017-05-01,Arveja verde seca importada,670.2751,gestantes 19 a 30 años,1,1694.2565,675.8564,"q3"
2017-05-01,Arveja verde seca importada,639.4349,gestantes 31 a 50 años,1,1616.3015,675.8564,"q3"
2017-05-01,Arveja verde seca importada,681.9244,lactantes < 18 años,1,1723.7024,675.8564,"q3"
2017-05-01,Arveja verde seca importada,678.2965,lactantes 19 a 30 años,1,1714.5322,675.8564,"q3"
2017-05-01,Arveja verde seca importada,647.4563,lactantes 31 a 50 años,1,1636.5772,675.8564,"q3"
2017-05-01,Arveja verde seca importada,296.9556,1 a 3 años,0, 750.6155,675.8564,"q3"
2017-05-01,Arveja verde seca importada,384.0650,4 a 8 años,0, 970.8022,675.8564,"q3"
2017-05-01,Arveja verde seca importada,536.5261,9 a 13 años,0,1356.1786,675.8564,"q3"
2017-05-01,Arveja verde seca importada,734.4206,14 a 18 años,0,1856.3972,675.8564,"q3"
2017-05-01,Arveja verde seca importada,753.8853,19 a 30 años,0,1905.5982,675.8564,"q3"
2017-05-01,Arveja verde seca importada,714.1426,31 a 50 años,0,1805.1405,675.8564,"q3"
2017-05-01,Arveja verde seca importada,580.5243,51 a 70 años,0,1467.3932,675.8564,"q3"
2017-05-01,Arveja verde seca importada,541.6292,>70 años,0,1369.0778,675.8564,"q3"
2017-06-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 600.8340,589.5700,"q1"
2017-06-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 776.2113,589.5700,"q1"
2017-06-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1067.8333,589.5700,"q1"
2017-06-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1245.7263,589.5700,"q1"
2017-06-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1197.9054,589.5700,"q1"
2017-06-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1129.9029,589.5700,"q1"
2017-06-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1026.5511,589.5700,"q1"
2017-06-01,Azúcar sulfitada,412.3622,>70 años,1, 965.1720,589.5700,"q1"
2017-06-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1485.9506,589.5700,"q1"
2017-06-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1477.9511,589.5700,"q1"
2017-06-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1409.9486,589.5700,"q1"
2017-06-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1503.6377,589.5700,"q1"
2017-06-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1495.6382,589.5700,"q1"
2017-06-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1427.6357,589.5700,"q1"
2017-06-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 654.7846,589.5700,"q1"
2017-06-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 846.8601,589.5700,"q1"
2017-06-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1183.0355,589.5700,"q1"
2017-06-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1619.3914,589.5700,"q1"
2017-06-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1662.3109,589.5700,"q1"
