"ciudad","tri_date","pm","pme","trimestre","n_deciles","afford_coca","afford_cona","afford_cord","gap_coca_pm","gap_cona_pm","gap_cord_pm","gap_coca_pme","gap_cona_pme","gap_cord_pme"
"BOGOTA",2021-04-01,35.2365415986949,10.1957585644372,"2021Q2",10,2.96442687747036,9.20948616600791,22.0158102766798,-32.2721147212246,-26.027055432687,-13.2207313220151,-7.23133168696684,-0.986272398429289,11.8200517122426
"BOGOTA",2021-07-01,31.3396149119213,8.84883244571897,"2021Q3",10,2.15139442231076,7.33067729083665,19.6967330677291,-29.1882204896106,-24.0089376210847,-11.6428818441923,-6.69743802340821,-1.51815515488232,10.8479006220101
"BOGOTA",2021-10-01,29.297716501508,6.46531382727702,"2021Q4",10,2.0704845814978,7.04845814977974,18.1938325991189,-27.2272319200102,-22.2492583517282,-11.103883902389,-4.39482924577922,0.583144322502719,11.7285187718419
"BOGOTA",2022-01-01,31.7488006977758,9.94255413168361,"2022Q1",10,2.26720647773279,7.85425101214575,19.7165991902834,-29.481594220043,-23.8945496856301,-12.0322015074924,-7.67534765395081,-2.08830311953786,9.77404505859979
"BOGOTA",2022-04-01,28.1739130434783,7.95652173913043,"2022Q2",10,2.18106995884774,7.11934156378601,20.72271536918,-25.9928430846305,-21.0545714796923,-7.45119767429825,-5.7754517802827,-0.837180175344426,12.7661936300496
"BOGOTA",2022-07-01,29.3162393162393,7.30769230769231,"2022Q3",10,1.58536585365854,7.84552845528455,21.0162601626016,-27.7308734625808,-21.4707108609548,-8.29997915363769,-5.72232645403377,0.537836147592245,13.7085678549093
"BOGOTA",2022-10-01,28.6355475763016,7.07644628099174,"2022Q4",10,2,9.42222222222222,22.7111111111111,-26.6355475763016,-19.2133253540794,-5.92443646519051,-5.07644628099174,2.34577594123049,15.6346648301194
"BOGOTA",2023-01-01,29.2357274401473,8,"2023Q1",10,2.09606986899563,9.40530912433923,21.5544319313568,-27.1396575711517,-19.8304183158081,-7.68129550879056,-5.90393013100437,1.40530912433923,13.5544319313568
"BOGOTA",2023-04-01,24.0631163708087,5.28022232515053,"2023Q2",10,1.97478991596639,7.6890756302521,18.9667765840513,-22.0883264548423,-16.3740407405566,-5.09633978675734,-3.30543240918415,2.40885330510157,13.6865542589008
"BOGOTA",2023-07-01,23.5140997830803,5.10814542107685,"2023Q3",10,2.14876033057851,7.06611570247934,17.396694214876,-21.3653394525018,-16.4479840806009,-6.11740556820423,-2.95938509049834,1.95797028140249,12.2885487937992
