alimento_sipsa,lag_optimo,RMSE_train_dy,MAPE_train_dy,RMSE_test_dy,MAPE_test_dy,n_total
Huevo rojo AA,1,0.03184303868664086,3.291209561431197,0.05451777771034659,24.550977034423585,63
Leche en polvo,3,0.8587229144485988,66.6588683221981,0.008242389550184052,2.5206466172813196,63
Lechuga Batavia,2,0.17601462878810534,2.9763325424859373,0.12505892070079022,0.9716690483085323,63
Lenteja importada,6,0.19440609545862567,23.144543671599024,0.025585940393282103,0.6164281153723773,63
Limón Tahití,2,0.23220344651428407,2.856145136145101,0.20868426063781628,1.1835766084998747,63
Lomitos de atún en lata,2,0.01987398693996885,2.221788732335774,0.04126472719083863,26.932839766266408,63
Lulo,4,0.10107770331308469,0.9447198346224293,0.11682992724474371,0.9502673619282989,63
Manzana roja importada,3,0.03623081621139022,1.9951765408662607,0.04069825278763926,2.9657957998724953,63
Manzana royal gala importada,3,0.03764341159953211,2.976263655134043,0.05408460399586686,4.048163929993494,63
Manzana verde importada,3,0.0348879592213255,1.505698838246966,0.03411788976853333,2.0449234061127184,63
Maracuyá,3,0.19580246578139943,1.0631010600312378,0.1084982727889978,2.6560665851474106,63
Margarina,2,0.035449802963042294,5.332548428904987,0.06667714280176736,1136.4812791565726,63
Mora de Castilla,1,0.12154048551218016,0.9853332319579585,0.10748664925559678,0.5793485214966845,63
Naranja Sweet,1,0.10537947234743625,2.76142523739198,0.0423951137992508,1.3508216982787138,51
Naranja Valencia,2,0.13173954754797704,1.9875631120391883,0.14008606129607992,4.012823930188637,51
Panela redonda morena,3,0.01935817068163269,3.671274420004092,0.019203050908513066,8.205399257998046,63
Papa Betina,1,0.12529232083760528,1.0598810157004446,0.18080687147467553,3.798889555688353,51
Papa capira,1,0.1317099809878554,0.7393311663434156,0.15452254591964723,2.258773536825164,63
Papa criolla limpia,1,0.15574220850568402,0.9204702681458427,0.12324003734384514,2.2717003641272906,63
Papa criolla sucia,1,0.15428486226270374,0.9070066307439766,0.12801139177949483,2.545832503668853,63
Papa nevada,1,0.15255309697165112,0.7527074919155518,0.1125736688697914,1.1411303736295875,51
Papa parda pastusa,1,0.13770673309689524,1.03645193766185,0.15225974801111972,2.268146752852631,63
Papa suprema,1,0.13803962072188186,0.8553071992463903,0.16126392089494096,3.894242114925302,63
Papa única,1,0.1406602265059403,0.957378192830759,0.1586258998825631,3.2485543784888815,63
Pastas alimenticias,6,0.015425718138225844,1.9244365755998356,0.023700246449251946,0.6852473850307275,63
Pechuga de pollo,1,0.019677260785848673,3.9792042615220433,0.042207456384524326,6.505986282864327,63
Piña gold,1,0.04721840118089031,1.4714808395847265,0.02186590341614074,0.39758345301763925,63
Piña manzana,1,0.05976404403903065,2.653374378654114,0.08495184759107928,2.806511945655119,63
Pollo entero congelado sin vísceras,1,0.010954199537587618,1.0647416962367109,0.01655689891693722,0.47796376135001073,63
Queso campesino,3,0.0076378289185815035,5.36330190727215,0.014232637051209635,0.6395003209067945,63
Repollo blanco,1,0.1239903131003245,5.460508035504744,0.07931505640025499,7.3067464319544495,63
Sal yodada,5,0.01249952670247573,2.994679143785861,0.010462905706420935,4.179441920962129,63
Tilapia roja entera congelada,2,0.025325305632396794,3.099610323563061,0.02782281976783873,1.3834432726648807,63
Tomate de árbol,3,0.1289116561402873,2.4154020108854266,0.07425072399332353,1.4746972367757143,63
Tomate larga vida,1,0.23270444581048538,0.9756672128729106,0.16603329674929376,0.631907842639347,63
Zanahoria,4,0.14962580127497632,2.1101316454021504,0.21754834939578455,0.4158584861268949,63
