alimento_sipsa,lag,RMSE_test_dy,n_test
Papa Betina,2,0.1940011239694505,6
Papa Betina,3,0.19432122466820925,6
Papa Betina,6,0.20161858019149542,6
Papa Betina,5,0.21093032738645415,6
Papa capira,1,0.15452254591964723,7
Papa capira,6,0.15675781848827147,7
Papa capira,2,0.16412135483279428,7
Papa capira,4,0.17001658865086167,7
Papa capira,5,0.17025806985538613,7
Papa capira,3,0.17535778098923735,7
Papa criolla limpia,1,0.12324003734384514,7
Papa criolla limpia,3,0.15157926745411016,7
Papa criolla limpia,2,0.1956249395291642,7
Papa criolla limpia,4,0.21583052706131559,7
Papa criolla limpia,5,0.33817863869028686,7
Papa criolla limpia,6,1.0063767713977783,7
Papa criolla sucia,1,0.12801139177949483,7
Papa criolla sucia,3,0.1580435689661414,7
Papa criolla sucia,2,0.22477653175958182,7
Papa criolla sucia,4,0.25168556013182414,7
Papa criolla sucia,5,0.37250841085711067,7
Papa criolla sucia,6,1.1026211983527912,7
Papa nevada,1,0.1125736688697914,6
Papa nevada,2,0.13393659770703964,6
Papa nevada,5,0.13977514760049628,6
Papa nevada,3,0.14036600928317172,6
Papa nevada,4,0.1483988003349053,6
Papa nevada,6,0.2045977228993752,6
Papa parda pastusa,1,0.15225974801111972,7
Papa parda pastusa,2,0.15554096269429557,7
Papa parda pastusa,3,0.16233376566320376,7
Papa parda pastusa,4,0.16620024983655507,7
Papa parda pastusa,5,0.16953614836125241,7
Papa parda pastusa,6,0.17909745453996814,7
Papa suprema,1,0.16126392089494096,7
Papa suprema,2,0.17617478492390853,7
Papa suprema,4,0.1878702863437406,7
Papa suprema,6,0.18850702342775558,7
Papa suprema,3,0.18920477338426928,7
Papa suprema,5,0.19321721627167973,7
Papa única,1,0.1586258998825631,7
Papa única,2,0.16731129201823558,7
Papa única,3,0.17909042578960238,7
Papa única,4,0.17991008767675773,7
Papa única,6,0.18722222265078073,7
Papa única,5,0.19063032903005528,7
