alimento_sipsa,RMSE_train,MAPE_train,RMSE_test,MAPE_test,n_total
Papa criolla limpia,1381.1666949403777,0.9265199008682974,534.059522990996,0.33432328455568117,63
Papa criolla sucia,1389.6777342186797,0.9393931697531973,602.596213257577,0.3829843785765046,63
Papa nevada,697.5566301320963,0.9121300573273736,284.35097569292145,0.48261897523755315,51
Papa parda pastusa,684.7006192255043,0.9236456232692719,517.2614181027157,0.5500302290606391,63
Papa suprema,677.7467801721978,0.9045860574821122,497.6832430050517,0.5255699559355983,63
Papa única,687.6989959939687,0.9323177228846661,489.0742182435211,0.5182845308415042,63
Pastas alimenticias,107.90304114220059,0.033167909639731236,168.74016277244718,0.05634441234110377,63
Pechuga de pollo,3391.9574982449967,0.7842022513397274,1343.917589094696,0.293771012103633,63
Piña gold,287.2296621054467,0.3024663757024924,72.59184321788393,0.09589014747884789,63
Piña manzana,682.3662183102421,0.8994611536180395,344.670291856467,0.43844017255531126,63
Pollo entero congelado sin vísceras,1230.042072037117,0.3105620181994381,403.0619805605886,0.09611581867382436,63
Queso campesino,4433.099870384737,0.5551906107379604,1367.0810932591207,0.1585308262028523,63
Repollo blanco,482.1639638394592,0.653185518928227,79.55883178815327,0.09721560803590909,63
Sal yodada,147.19834245304156,0.23562284791049048,35.08528152146293,0.05685771091933047,63
Tilapia roja entera congelada,6635.257252901754,0.5705698702643418,2850.39284007081,0.21414170947370556,63
Tomate de árbol,1100.0399347364182,0.8685135712917018,485.39222808219733,0.4108266127452973,63
Tomate larga vida,1028.7084018409137,0.8809566589720493,194.4808432065247,0.12628947170775978,63
Zanahoria,887.9077815759651,0.9651607770018791,965.0369838736564,0.824788653140083,63
