Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
51 a 70 años,0,3387.653699876132,1560.29593084977,BOGOTÁ D.C.,2013-10-01,q3
9 a 13 años,0,3344.1900504152372,1666.5890873773842,BOGOTÁ D.C.,2013-10-01,q3
>70 años,0,3160.6809019844304,1560.2959308497698,BOGOTÁ D.C.,2013-10-01,q3
1 a 3 años,1,1542.9740647234319,1514.0474311025257,BOGOTÁ D.C.,2013-11-01,q3
14 a 18 años,1,3542.2356127699913,1676.4483674505036,BOGOTÁ D.C.,2013-11-01,q3
19 a 30 años,1,3549.349111447142,1746.8740036834913,BOGOTÁ D.C.,2013-11-01,q3
31 a 50 años,1,3589.6279520969924,1873.0255076059289,BOGOTÁ D.C.,2013-11-01,q3
4 a 8 años,1,2555.43004788259,1940.972720134393,BOGOTÁ D.C.,2013-11-01,q3
51 a 70 años,1,3304.5036457513997,1897.8462321453878,BOGOTÁ D.C.,2013-11-01,q3
9 a 13 años,1,3347.282661297496,1848.094964662877,BOGOTÁ D.C.,2013-11-01,q3
>70 años,1,3153.70089944426,1926.4207541942444,BOGOTÁ D.C.,2013-11-01,q3
gestantes 19 a 30 años,1,4136.216264605681,1649.9794780368675,BOGOTÁ D.C.,2013-11-01,q3
gestantes 31 a 50 años,1,4496.438428177173,1880.1856402395115,BOGOTÁ D.C.,2013-11-01,q3
gestantes < 18 años,1,6040.05521363996,2396.4695321085715,BOGOTÁ D.C.,2013-11-01,q3
lactantes 19 a 30 años,1,3748.552911365812,1477.6530215676275,BOGOTÁ D.C.,2013-11-01,q3
lactantes 31 a 50 años,1,3764.4449991619313,1554.6009120809363,BOGOTÁ D.C.,2013-11-01,q3
lactantes < 18 años,1,3800.6321229809814,1490.211819340148,BOGOTÁ D.C.,2013-11-01,q3
1 a 3 años,0,1982.2238484003344,1784.8002683797138,BOGOTÁ D.C.,2013-11-01,q3
14 a 18 años,0,3492.0496301669546,1271.3465580943257,BOGOTÁ D.C.,2013-11-01,q3
