Demo_Group,Sex,cost_day,Cost_1000kcal,ciudad,fecha,escenario
gestantes < 18 años,1,5904.053210696123,2342.5089895569613,BOGOTÁ D.C.,2013-03-01,q2
lactantes 19 a 30 años,1,3619.9718487976606,1426.9672769308486,BOGOTÁ D.C.,2013-03-01,q2
lactantes 31 a 50 años,1,3636.475789597387,1501.753533528554,BOGOTÁ D.C.,2013-03-01,q2
lactantes < 18 años,1,3724.0375060087354,1460.1793932018657,BOGOTÁ D.C.,2013-03-01,q2
1 a 3 años,0,1925.9689603615402,1734.1481993148518,BOGOTÁ D.C.,2013-03-01,q2
14 a 18 años,0,3439.183852934577,1252.0997743872376,BOGOTÁ D.C.,2013-03-01,q2
19 a 30 años,0,3375.2048611760642,1197.0802353456759,BOGOTÁ D.C.,2013-03-01,q2
31 a 50 años,0,3416.334848819699,1279.098138200196,BOGOTÁ D.C.,2013-03-01,q2
4 a 8 años,0,2478.212665164741,1725.2906178799412,BOGOTÁ D.C.,2013-03-01,q2
51 a 70 años,0,3363.7741152127696,1549.2973985081774,BOGOTÁ D.C.,2013-03-01,q2
9 a 13 años,0,3285.4827395060142,1637.3320887512823,BOGOTÁ D.C.,2013-03-01,q2
>70 años,0,3138.4012494935137,1549.2973985081771,BOGOTÁ D.C.,2013-03-01,q2
1 a 3 años,1,1569.1708596347005,1539.7531062300939,BOGOTÁ D.C.,2013-03-01,q3
14 a 18 años,1,3666.250001510181,1735.1411655220188,BOGOTÁ D.C.,2013-03-01,q3
19 a 30 años,1,3691.260453499057,1816.7181431219178,BOGOTÁ D.C.,2013-03-01,q3
31 a 50 años,1,3725.307543206935,1943.821517220019,BOGOTÁ D.C.,2013-03-01,q3
4 a 8 años,1,2611.4425390536226,1983.5169163400742,BOGOTÁ D.C.,2013-03-01,q3
51 a 70 años,1,3428.6003994478538,1969.117618613716,BOGOTÁ D.C.,2013-03-01,q3
9 a 13 años,1,3440.4822221573177,1899.5521185873938,BOGOTÁ D.C.,2013-03-01,q3
>70 años,1,3269.0003367743147,1996.8507778711696,BOGOTÁ D.C.,2013-03-01,q3
gestantes 19 a 30 años,1,4309.7225959212465,1719.1929493986606,BOGOTÁ D.C.,2013-03-01,q3
gestantes 31 a 50 años,1,4704.899550533901,1967.3536544487672,BOGOTÁ D.C.,2013-03-01,q3
gestantes < 18 años,1,6299.701070903963,2499.4873629153158,BOGOTÁ D.C.,2013-03-01,q3
lactantes 19 a 30 años,1,3943.3470107902444,1554.439476608268,BOGOTÁ D.C.,2013-03-01,q3
lactantes 31 a 50 años,1,3959.041828099987,1634.9634642819265,BOGOTÁ D.C.,2013-03-01,q3
lactantes < 18 años,1,3973.5643863256832,1558.0178301407743,BOGOTÁ D.C.,2013-03-01,q3
1 a 3 años,0,2019.381734312977,1818.2573397395727,BOGOTÁ D.C.,2013-03-01,q3
14 a 18 años,0,3631.0842368162143,1321.96473003902,BOGOTÁ D.C.,2013-03-01,q3
19 a 30 años,0,3650.164523997312,1294.599879758159,BOGOTÁ D.C.,2013-03-01,q3
31 a 50 años,0,3681.1979723117415,1378.2646260092504,BOGOTÁ D.C.,2013-03-01,q3
4 a 8 años,0,2575.0597870967226,1792.7139803648313,BOGOTÁ D.C.,2013-03-01,q3
51 a 70 años,0,3551.8644842864896,1635.9286375598829,BOGOTÁ D.C.,2013-03-01,q3
9 a 13 años,0,3427.6677194105037,1708.1904826600382,BOGOTÁ D.C.,2013-03-01,q3
>70 años,0,3313.889563839294,1635.9286375598826,BOGOTÁ D.C.,2013-03-01,q3
1 a 3 años,1,1449.864293366203,1422.6832187303244,BOGOTÁ D.C.,2013-04-01,q1
14 a 18 años,1,3316.9163371878867,1569.8105903519713,BOGOTÁ D.C.,2013-04-01,q1
19 a 30 años,1,3212.1715166925906,1580.9261759531375,BOGOTÁ D.C.,2013-04-01,q1
31 a 50 años,1,3264.3327418131416,1703.2903053804714,BOGOTÁ D.C.,2013-04-01,q1
4 a 8 años,1,2389.0047744397134,1814.5646754448385,BOGOTÁ D.C.,2013-04-01,q1
51 a 70 años,1,3087.102659259143,1772.988254273477,BOGOTÁ D.C.,2013-04-01,q1
9 a 13 años,1,3153.313415517191,1741.0010551549954,BOGOTÁ D.C.,2013-04-01,q1
>70 años,1,2962.5718830377127,1809.6706514818372,BOGOTÁ D.C.,2013-04-01,q1
gestantes 19 a 30 años,1,3852.513276424457,1536.8074197084898,BOGOTÁ D.C.,2013-04-01,q1
gestantes 31 a 50 años,1,4167.29842792666,1742.5557556131462,BOGOTÁ D.C.,2013-04-01,q1
gestantes < 18 años,1,5530.557989681775,2194.319960502933,BOGOTÁ D.C.,2013-04-01,q1
lactantes 19 a 30 años,1,3298.602182654253,1300.2856295209383,BOGOTÁ D.C.,2013-04-01,q1
lactantes 31 a 50 años,1,3316.064532089318,1369.4334615732923,BOGOTÁ D.C.,2013-04-01,q1
