alimento_sipsa,articulo_ipc,codigo_articulo,n_obs,margen_q1,margen_q2,margen_q3
Harina precocida de maíz,HARINA PRECOCIDA,1110201,63,25.43607282273114,29.01658130926424,33.62019966696028
Huevo blanco extra,HUEVOS,1710101,40,40.83928133261672,45.325936975473255,51.33688893418867
Huevo rojo A,HUEVOS,1710101,63,21.028603196003942,23.872402464065715,30.390485881542716
Huevo rojo AA,HUEVOS,1710101,63,33.8557405782816,36.08170581598909,40.94785505338238
Huevo rojo extra,HUEVOS,1710101,50,35.582870165768135,37.102095603198514,39.60732433766301
Leche en polvo,LECHE EN POLVO ENTERA,1720103,63,0.29590967791509193,1.0225443148017381,2.5062790923236227
Lechuga Batavia,LECHUGA,1310504,63,131.76163029072342,154.64958775029442,188.74103101192787
Lenteja importada,LENTEJAS,1320301,63,3.5842879022405576,10.96975511058395,15.25975481874339
Limón Tahití,LIMONES,1410502,63,33.05922525380001,60.295092216317606,92.39689820845958
Lomitos de atún en lata,PESCADO ENLATADO,1610103,63,43.7051509969121,52.04856715561128,66.09935595388302
Lulo,LULOS,1410509,63,22.67288814745238,35.37939321117449,53.303054576110895
Mango común,MANGOS,1410510,39,83.23897769970777,113.71428571428572,174.54196233502674
Mango de azúcar,MANGOS,1410510,26,66.12957585155696,105.34936440117404,180.82575665573916
Manzana roja importada,MANZANAS,1410508,63,48.34761487297335,52.64554991711064,58.61855382774087
Manzana royal gala importada,MANZANAS,1410508,63,46.01856892282652,50.28129939318914,57.64644488655017
Manzana verde importada,MANZANAS,1410508,63,25.426516018592856,37.9515084974496,50.48855536681128
Maracuyá,MARACUYA,1410506,63,42.9857975157076,59.87455309540237,81.94404247184559
Margarina,MANTECA VEGETAL,1730202,63,-61.99464421272704,-57.486486962339555,-55.47265710796897
Mora de Castilla,MORAS,1410401,63,67.19164992394738,82.38018817970762,109.79935056169715
Naranja Sweet,NARANJAS,1410101,51,51.67331960423626,87.42350757439674,100.89418120387712
Naranja Valencia,NARANJAS,1410101,51,69.93166991346516,99.13879372988686,131.08970171183807
Naranja común,NARANJAS,1410101,31,123.74777335857456,140.816029143898,194.47640710802625
Panela redonda morena,PANELA,1810101,63,9.718236483676892,14.925063904210981,18.73270418757236
Papa Betina,PAPA,1210101,51,72.96634697848108,107.65018140156575,170.4876625225396
Papa R-12 negra,PAPA,1210101,29,49.411999999999985,57.9030769230769,92.88079999999998
Papa capira,PAPA,1210101,63,43.768134509739,73.72185430463577,101.03939386626259
Papa criolla limpia,PAPA CRIOLLA,1210102,63,79.34543382134791,110.54084798345396,142.90777334072027
Papa criolla sucia,PAPA CRIOLLA,1210102,63,100.66681698490427,148.84811664641555,180.89565129097764
Papa nevada,PAPA,1210101,51,-10.633988200589977,0.12775140267587554,20.571301453436362
Papa parda pastusa,PAPA,1210101,63,50.04169493842699,72.41539838854074,107.14255150048608
Papa suprema,PAPA,1210101,63,53.733713966375525,87.01266835578075,118.23974167118858
Papa única,PAPA,1210101,63,67.4204364474264,122.44148936170211,159.89299967125112
Pastas alimenticias,PASTA PARA SECO,1110301,63,0.8463853236372503,3.707930623593261,11.046783391482673
Pechuga de pollo,POLLO DESPRESADO POR LIBRA,1510302,63,10.081191635149992,12.688501834286292,14.43830427132217
Piña gold,PIÑAS,1410507,63,16.259069699716036,28.857429718875512,46.895550535487644
Piña manzana,PIÑAS,1410507,63,67.22719299219408,75.44279328259032,84.67587563258775
Pollo entero congelado sin vísceras,POLLO ENTERO POR LIBRA,1510301,63,19.994870787246064,24.055224430525154,26.100219046363037
Queso campesino,QUESO CAMPESINO,1720201,63,50.07174612076419,52.476160116580914,55.695411135991236
Repollo blanco,REPOLLO,1310503,63,150.01042459518652,204.3175879396985,311.16244758027483
Sal yodada,SAL,1830101,63,13.762632666696849,17.965475987010763,22.28210370868839
Tilapia roja entera congelada,PESCADO DE MAR,1610101,63,87.02053025096214,95.35823179370925,101.32786909019553
Tomate de árbol,TOMATE DE ÁRBOL,1410301,63,46.25208263306351,67.75,90.63707627587303
Tomate larga vida,TOMATE,1310201,63,1.3079098046686388,15.826815991991495,28.638057335322394
Zanahoria,ZANAHORIA,1310301,63,69.07845750747965,121.93517587939698,209.33579360242598
