diet,city_std,month,nominal,real,implicit_deflator,real_growth_yoy,nom_growth_yoy
CoCA,MEDELLIN,2015-01-01,1076.6457387657367,1515.992090791588,0.7101921872188377,-0.9526187180192602,5.630577676006654
CoCA,MEDELLIN,2015-02-01,1086.4920600355747,1525.688735256047,0.7121321898291628,-0.2919720279207727,7.917123755510946
CoCA,MEDELLIN,2015-03-01,1093.0666936030536,1528.4387993079263,0.7151524117929955,-0.11753747101997947,7.233977307574357
CoCA,MEDELLIN,2015-04-01,1131.2537491098853,1526.7325336638082,0.7409639371443376,-0.2882663975463884,10.604918400195595
CoCA,MEDELLIN,2015-05-01,1207.3986335966317,1511.7622830333748,0.7986696368518782,-1.577957894416837,15.91245548753648
CoCA,MEDELLIN,2015-06-01,1227.4246965390957,1502.6237887647706,0.8168542956105455,-1.6110957721733987,17.564519670266044
CoCA,MEDELLIN,2015-07-01,1232.3634862553956,1512.2329894367272,0.8149296403819516,-0.7670597874175789,17.6641464385197
CoCA,MEDELLIN,2015-08-01,1249.9305737272969,1532.8868030771382,0.8154095731127496,0.6605399939710876,18.1263170333025
CoCA,MEDELLIN,2015-09-01,1264.2363928844263,1534.3787676492432,0.8239402288010733,0.7487255095761647,19.1299054501183
CoCA,MEDELLIN,2015-10-01,1287.5133047540749,1537.1570033553542,0.8375938839973085,-0.53618362240202,22.76245069890819
CoCA,MEDELLIN,2015-11-01,1340.8293110374193,1543.771431761263,0.8685413419703522,0.4119897434105235,27.83335154519355
CoCA,MEDELLIN,2015-12-01,1366.6068759279792,1522.2793415835656,0.897737253995941,-0.2961819026994106,28.576890274387566
CoCA,MEDELLIN,2016-01-01,1441.3659818656372,1511.6058146828477,0.953532969948288,-0.2893337066455226,33.87560364266287
CoCA,MEDELLIN,2016-02-01,1523.1060774866728,1549.601390079897,0.9829018528488425,1.5673350842324352,40.18566113007787
CoCA,MEDELLIN,2016-03-01,1531.1185865411758,1532.926468350249,0.9988206337052691,0.29361130091403176,40.075495438817235
CoCA,MEDELLIN,2016-04-01,1540.5528323584385,1514.3544995153331,1.017300000000984,-0.8107532836004072,36.181014522215335
CoCA,MEDELLIN,2016-05-01,1549.5452168612437,1532.382532497211,1.0112000000000416,1.3639875591062722,28.33749962474419
CoCA,MEDELLIN,2016-06-01,1547.506943040827,1539.8079035231995,1.0050000000000074,2.4746124104022105,26.077546541490506
CoCA,MEDELLIN,2016-07-01,1540.792629276411,1531.6030112091933,1.0059999999999756,1.2808887193818563,25.02744900031031
CoCA,MEDELLIN,2016-08-01,1546.3254436316483,1523.7735944354424,1.0147999999990558,-0.5945128253046383,23.712906631326014
CoCA,MEDELLIN,2016-09-01,1542.4687098340557,1527.3479649799888,1.009900000000501,-0.4582181934142615,22.00793447456664
CoCA,MEDELLIN,2016-10-01,1526.886905793915,1508.63245311169,1.0120999999997173,-1.8556692765540506,18.591932227493558
CoCA,MEDELLIN,2016-11-01,1535.7244214563634,1510.6476701311917,1.0166000000006579,-2.145638981820064,14.535415418995502
CoCA,MEDELLIN,2016-12-01,1552.665074707762,1513.4662975995716,1.0259000000002387,-0.578937369985344,13.614610174812846
CoCA,MEDELLIN,2017-01-01,1607.0640051921123,1525.3075220109101,1.0536000000009293,0.906433886068192,11.495902179681195
CoCA,MEDELLIN,2017-02-01,1651.4514142587425,1541.9714418854874,1.0709999999996016,-0.49238134679372436,8.42655273123567
CoCA,MEDELLIN,2017-03-01,1646.732111207971,1542.1405634334756,1.0678223180522721,0.6010787388349259,7.550919026328873
CoCA,MEDELLIN,2017-04-01,1616.5784035308168,1542.7255487174,1.0478716741774432,1.8734747518594164,4.934953840952683
CoCA,MEDELLIN,2017-05-01,1616.6403069511875,1537.9592267924425,1.0511594057814144,0.363923118214049,4.329985944253467
CoCA,MEDELLIN,2017-06-01,1614.6605397316573,1536.0102393604525,1.0512042812969478,-0.24663233342663293,4.339469815810615
CoCA,MEDELLIN,2017-07-01,1588.4147988828038,1536.7610951042373,1.033612058467073,0.3367768186203657,3.0907578801669944
CoCA,MEDELLIN,2017-08-01,1580.8920010448965,1537.029635293987,1.0285370982730075,0.8699481935474651,2.2353998995235047
CoCA,MEDELLIN,2017-09-01,1505.69735086417,1511.4408260023893,0.9962000000003902,-1.0414875550515346,-2.3839290052011353
CoCA,MEDELLIN,2017-10-01,1462.1592225548704,1503.1964866399333,0.9727000000001379,-0.36032411078951165,-4.23919302689868
CoCA,MEDELLIN,2017-11-01,1465.0367855964266,1504.2989892135433,0.9739000000009019,-0.42026218576148855,-4.602885444310512
CoCA,MEDELLIN,2017-12-01,1450.5390634670234,1506.1146957407325,0.9630999999994183,-0.48574599054495016,-6.577465604419574
CoCA,MEDELLIN,2018-01-01,1440.075424941998,1494.9397123875199,0.9632999999993981,-1.9909302999669531,-10.390910362661753
CoCA,MEDELLIN,2018-02-01,1477.8334483218273,1517.5944221843442,0.9737999999991519,-1.5808995574740026,-10.513053211126044
CoCA,MEDELLIN,2018-03-01,1452.4424515194623,1506.3705159918347,0.9642000000000898,-2.3195062946792078,-11.798498272192326
CoCA,MEDELLIN,2018-04-01,1453.8487139281917,1514.4944806097155,0.959956429384207,-1.8299475322201886,-10.0663035734736
CoCA,MEDELLIN,2018-05-01,1435.2883492770695,1544.3344275658899,0.9293895957103709,0.4145233932334902,-11.2178297729152
CoCA,MEDELLIN,2018-06-01,1441.7077235161044,1564.9567992836767,0.9212444229617157,1.8845290989255803,-10.711404159557658
CoCA,MEDELLIN,2018-07-01,1418.1235007632447,1557.9264452886557,0.9102634498899542,1.3772700422886919,-10.720833011586883
CoCA,MEDELLIN,2018-08-01,1394.9579328499738,1551.2085514726027,0.8992716882109139,0.9224881455134559,-11.761339046059371
CoCA,MEDELLIN,2018-09-01,1376.2580165829881,1554.6456134247835,0.8852551376973823,2.858516633870911,-8.596636914243906
CoCA,MEDELLIN,2018-10-01,1365.512542310865,1557.9264452886557,0.8764935895660081,3.6409051734187736,-6.609860181651905
CoCA,MEDELLIN,2018-11-01,1381.840081140178,1556.3641444008729,0.8878642482939759,3.461090884236362,-5.67881334272291
CoCA,MEDELLIN,2018-12-01,1395.5161393054263,1557.4254524690057,0.8960404089281432,3.406829298816305,-3.7932742073200965
CoCA,MEDELLIN,2019-01-01,1420.4958782009173,1564.7453520962838,0.907812812032248,4.669461860590984,-1.3596195311693093
CoCA,MEDELLIN,2019-02-01,1415.611571712376,1572.1433833693584,0.9004341376792813,3.5944360619419857,-4.210344317223846
CoCA,MEDELLIN,2019-03-01,1401.377307091676,1574.7128749914712,0.8899256044371048,4.536889050476267,-3.515811891504894
CoCA,MEDELLIN,2019-04-01,1441.4286202897115,1579.5408938949527,0.9125617613706263,4.2949257404391705,-0.8542906507047809
CoCA,MEDELLIN,2019-05-01,1528.062251422957,1584.7980205599258,0.9641999999994173,2.6201315124349644,6.463781454967998
CoCA,MEDELLIN,2019-06-01,1529.4179848868137,1586.2040913570472,0.9642000000002199,1.3576919237065166,6.083775507340516
CoCA,MEDELLIN,2019-07-01,1517.5176578104754,1573.8619143454484,0.9641999999991067,1.0228640193497895,7.008850568637781
CoCA,MEDELLIN,2019-08-01,1522.7899546167164,1579.329967452687,0.9641999999992628,1.8128713868543311,9.163862132069811
CoCA,MEDELLIN,2019-09-01,1534.9915557961342,1591.9846046432538,0.9641999999994403,2.401768666507542,11.533704966693236
CoCA,MEDELLIN,2019-10-01,1539.811941447756,1596.983967483217,0.9642000000002744,2.5070196550469825,12.764393862096867
CoCA,MEDELLIN,2019-11-01,1563.160684445814,1621.199631243845,0.9642000000003076,4.165830154608896,13.121677810649812
CoCA,MEDELLIN,2019-12-01,1571.897633437467,1630.2609763939245,0.9641999999990462,4.676661975021124,12.639158313126275
CoCA,MEDELLIN,2020-01-01,1562.5594211815283,1678.2236136479041,0.9310793916104183,7.252187162568902,10.000982414713988
CoCA,MEDELLIN,2020-02-01,1556.5587017820824,1694.315312793005,0.9186948202788554,7.771042432644548,9.956624605661535
CoCA,MEDELLIN,2020-03-01,1568.9787954232302,1704.1578083846218,0.9206769394851241,8.220224489740824,11.959768970384088
CoCA,MEDELLIN,2020-04-01,1603.0293892218206,1738.528427915836,0.9220610738839325,10.065426899384654,11.211153064216873
CoCA,MEDELLIN,2020-05-01,1612.2397957407832,1758.8383394570076,0.9166503592584395,10.981861198665023,5.508777161364908
CoCA,MEDELLIN,2020-06-01,1616.2867925448127,1779.4607111771486,0.9083014771793455,12.18359105698461,5.679860477410803
CoCA,MEDELLIN,2020-07-01,1625.7763022928355,1791.0217377448555,0.907736778415606,13.797895572669816,7.1339298047153665
CoCA,MEDELLIN,2020-08-01,1612.1002441275873,1808.988197954354,0.8911612833906754,14.541497675250504,5.864911916453397
CoCA,MEDELLIN,2020-09-01,1604.983111817237,1811.4878793743346,0.8860026777389083,13.788027477832877,4.559735573581136
CoCA,MEDELLIN,2020-10-01,1599.6801504864402,1814.3000209732845,0.8817065160084653,13.607904519702153,3.8880208308032183
CoCA,MEDELLIN,2020-11-01,1605.6808698858856,1820.861684701029,0.8818247335186943,12.31569817863798,2.720141688769906
CoCA,MEDELLIN,2020-12-01,1589.7719858988282,1845.5460387289334,0.861410093564362,13.205558217507685,1.1371193696801507
CoCA,MEDELLIN,2021-01-01,1575.3981696622645,1876.6358263962745,0.8394799606312109,11.822751815360743,0.8216486558334068
CoCA,MEDELLIN,2021-02-01,1573.8631019091042,1922.255012318581,0.8187587452357561,13.45320424153089,1.1117088039924505
CoCA,MEDELLIN,2021-03-01,1549.860224313988,1911.1167727250404,0.81097097070843,12.144354432562544,-1.2185359779884664
CoCA,MEDELLIN,2021-04-01,1611.2629344430752,1892.7391523847891,0.851286312967604,8.870187107254978,0.5136240967641648
CoCA,MEDELLIN,2021-05-01,1655.3612444451408,1890.0915291168797,0.8758100964658503,7.462493096460077,2.674629966229336
CoCA,MEDELLIN,2021-06-01,1792.400929324014,1891.1817269316662,0.9477676860975606,6.2783637229400835,10.896218269649594
CoCA,MEDELLIN,2021-07-01,1802.867300369745,1860.033217884206,0.9692661846225051,3.853190538393214,10.89270386258907
CoCA,MEDELLIN,2021-08-01,1772.669437127511,1814.4006521263013,0.9770000000000632,0.29919787083563243,9.960248662254756
CoCA,MEDELLIN,2021-09-01,1702.2191410429652,1742.2918536773063,0.977000000000136,-3.819844807403716,6.058383325643413
CoCA,MEDELLIN,2021-10-01,1627.6605123546237,1665.9780065042796,0.9769999999999656,-8.175164678079938,1.7491222767048287
CoCA,MEDELLIN,2021-11-01,1607.727491218649,1645.5757330785682,0.9770000000005395,-9.626538528171691,0.12746127646827698
CoCA,MEDELLIN,2021-12-01,1625.8345867566031,1664.1090959629316,0.9770000000004921,-9.831071073738219,2.2684134063027717
CoCA,MEDELLIN,2022-01-01,1646.0719288280816,1684.8228544798676,0.9770000000007425,-10.221107857924016,4.48608869343603
CoCA,MEDELLIN,2022-02-01,1742.2373437841677,1783.2521430758416,0.9769999999994787,-7.231239786186194,10.698150409068274
CoCA,MEDELLIN,2022-03-01,1823.9395940744034,1926.3795421590457,0.9468225519204644,0.7986309184154328,17.684134702000676
