"ciudad","fecha","pm","pme","n_deciles","afford_coca","afford_cona","gap_coca_pm","gap_cona_pm","gap_coca_pme","gap_cona_pme"
"BOGOTA",2023-01-01,30.9649847467026,8.28188532011515,10,3.25,21.05,-27.7149847467026,-9.9149847467026,-5.03188532011515,12.7681146798848
"BOGOTA",2023-02-01,30.0815592181694,8.26284512710696,10,3.11926605504587,21.4788821713947,-26.9622931631236,-8.60267704677468,-5.14357907206109,13.2160370442878
"BOGOTA",2023-03-01,25.7968841145534,7.39820314400674,10,3.17972350230415,21.0138248847926,-22.6171606122493,-4.78305922976081,-4.21847964170259,13.6156217407859
"BOGOTA",2023-04-01,23.3305871307685,4.0774962928788,10,2.31527093596059,15.9605911330049,-21.0153161948079,-7.36999599776361,-1.7622253569182,11.8830948401261
"BOGOTA",2023-05-01,23.5405057260254,5.94311676724779,10,2.41071428571429,15.6696428571429,-21.1297914403111,-7.87086286888251,-3.5324024815335,9.72652608989507
"BOGOTA",2023-06-01,22.7635482142087,5.67968839465181,10,2.96296296296296,17.037037037037,-19.8005852512457,-5.72651117717165,-2.71672543168885,11.3573486423852
"BOGOTA",2023-07-01,23.6182793645213,6.26100793696571,10,3.07359307359307,16.7099567099567,-20.5446862909283,-6.90832265456462,-3.18741486337263,10.448948772991
"BOGOTA",2023-08-01,23.1775010666721,4.21723272315707,10,1.54545454545455,15.3636363636364,-21.6320465212175,-7.81386470303572,-2.67177817770252,11.1464036404793
"BOGOTA",2023-09-01,21.5197711674087,4.5080933214981,10,2.20183486238532,14.4495412844037,-19.3179363050234,-7.07022988300507,-2.30625845911278,9.94144796290557
"BOGOTA",2023-10-01,21.8147264725093,4.89315937826596,10,2.71794871794872,13.659793814433,-19.0967777545605,-8.15493265807628,-2.17521066031724,8.76663443616703
"BOGOTA",2023-11-01,20.6965608708926,4.36826464839421,10,2.62672811059908,13.7037037037037,-18.0698327602936,-6.99285716718892,-1.74153653779513,9.3354390553095
"BOGOTA",2023-12-01,22.566501758305,6.9892893340758,10,3.44497607655502,15.4326923076923,-19.12152568175,-7.13380945061273,-3.54431325752078,8.44340297361651
"BOGOTA",2024-01-01,21.0048786038223,4.91462333940034,10,2.43119266055046,13.0875576036866,-18.5736859432718,-7.91732100013562,-2.48343067884988,8.1729342642863
"BOGOTA",2024-02-01,21.0177118524538,5.36969695714388,10,3.24324324324324,14.1891891891892,-17.7744686092105,-6.82852266326458,-2.12645371390064,8.81949223204531
"BOGOTA",2024-03-01,19.4786733116523,3.89022092602099,10,1.9811320754717,9.38679245283019,-17.4975412361806,-10.0918808588221,-1.90908885054929,5.4965715268092
"BOGOTA",2024-04-01,18.8610646506019,4.36155017694548,10,2.27488151658768,11.5238095238095,-16.5861831340142,-7.33725512679234,-2.0866686603578,7.16225934686405
"BOGOTA",2024-05-01,21.3444557406685,3.84650912720765,10,1.8018018018018,11.981981981982,-19.5426539388666,-9.36247375868647,-2.04470732540585,8.13547285477433
"BOGOTA",2024-06-01,18.845059272352,3.51034648222877,10,2.12389380530973,11.4601769911504,-16.7211654670423,-7.3848822812016,-1.38645267691903,7.94983050892168
"BOGOTA",2024-07-01,20.1502645585048,5.3113371035648,10,2.87610619469027,14.9115044247788,-17.2741583638145,-5.23876013372599,-2.43523090887453,9.60016732121396
"BOGOTA",2024-08-01,20.4889236352265,3.81036328310192,10,2.1304347826087,11.1304347826087,-18.3584888526178,-9.35848885261777,-1.67992850049322,7.32007149950678
"BOGOTA",2024-09-01,17.2156800114777,3.43193445242632,10,1.83406113537118,8.5589519650655,-15.3816188761065,-8.65672804641222,-1.59787331705514,5.12701751263919
"BOGOTA",2024-10-01,16.2845415133989,3.4769421972245,10,1.62162162162162,9.59459459459459,-14.6629198917773,-6.68994691880434,-1.85532057560287,6.1176523973701
"BOGOTA",2024-11-01,16.887096122817,2.83415139787189,10,1.44144144144144,10,-15.4456546813756,-6.88709612281701,-1.39270995643045,7.16584860212811
"BOGOTA",2024-12-01,23.0851431391821,5.54599359584223,10,2.06030150753769,12.2613065326633,-21.0248416316444,-10.8238366065188,-3.48569208830455,6.71531293682108
"CALI",2018-01-01,12.396798037361,1.73994282249802,10,1.49122807017544,8.46491228070175,-10.9055699671856,-3.93188575665924,-0.248714752322582,6.72496945820373
"CALI",2018-02-01,16.2687697368955,5.35445068323333,10,3.44398340248963,11.9502074688797,-12.8247863344059,-4.31856226801585,-1.9104672807437,6.59575678564634
"CALI",2018-03-01,13.7248710064583,1.80101095893459,10,0.862068965517242,8.53448275862069,-12.8628020409411,-5.19038824783762,-0.938941993417353,6.73347179968609
"CALI",2018-04-01,15.0304108164348,4.28796813621739,10,2.68722466960352,10.8370044052863,-12.3431861468313,-4.1934064111485,-1.60074346661386,6.54903626906896
"CALI",2018-05-01,12.1469814292435,2.93223877401973,10,2.15447154471545,8.04878048780488,-9.99250988452803,-4.0982009414386,-0.77776722930428,5.11654171378515
"CALI",2018-06-01,18.1952710739993,3.02783183434935,10,2.40909090909091,11,-15.7861801649084,-7.19527107399929,-0.618740925258444,7.97216816565065
"CALI",2018-07-01,17.8393402347925,4.35522863181532,10,3.92241379310345,13.4913793103448,-13.9169264416891,-4.34796092444771,-0.432814838711875,9.13615067852951
"CALI",2018-08-01,14.5692638434214,2.17255679143582,10,1.87250996015936,10.5577689243028,-12.6967538832621,-4.01149491911865,-0.300046831276453,8.38521213286697
"CALI",2018-09-01,20.0081147140684,4.56875531802392,10,3.11475409836066,14.7540983606557,-16.8933606157078,-5.25401635341267,-1.45400121966326,10.1853430426318
"CALI",2018-10-01,17.5615023190732,3.63979465936697,10,2.42677824267782,11.5062761506276,-15.1347240763954,-6.05522616844563,-1.21301641668915,7.86648149126064
"CALI",2018-11-01,14.6139429207468,3.66925089390594,10,2.05645161290323,10.2822580645161,-12.5574913078435,-4.33168485623063,-1.61279928100271,6.61300717061019
"CALI",2018-12-01,16.1478259928256,3.58880154973417,10,2.72727272727273,9.71291866028708,-13.4205532655528,-6.43490733253848,-0.861528822461444,6.12411711055291
"CALI",2019-01-01,25.0861620457511,5.02667632385717,10,3.3920704845815,13.215859030837,-21.6940915611696,-11.8703030149141,-1.63460583927567,8.18918270697983
"CALI",2019-02-01,24.3799369396101,6.10844260860928,10,3.53909465020576,13.2098765432099,-20.8408422894044,-11.1700603964003,-2.56934795840352,7.10143393460059
"CALI",2019-03-01,19.2293089378094,5.50258594128489,10,3.00884955752212,11.2,-16.2204593802873,-8.02930893780937,-2.49373638376277,5.69741405871511
"CALI",2019-04-01,21.8270831084589,6.26924320354639,10,3.51464435146443,11.2970711297071,-18.3124387569945,-10.5300119787518,-2.75459885208195,5.02782792616072
"CALI",2019-05-01,23.8384172080846,3.76215590195583,10,2.14876033057851,13.7190082644628,-21.689656877506,-10.1194089436217,-1.61339557137732,9.95685236250698
"CALI",2019-06-01,21.1050181007863,4.9999697312257,10,2.64957264957265,10.3418803418803,-18.4554454512136,-10.7631377589059,-2.35039708165305,5.34191061065464
"CALI",2019-07-01,20.3011378106257,3.05391077990798,10,2.45967741935484,10.4838709677419,-17.8414603912708,-9.81726684288374,-0.594233360553143,7.42996018783395
"CALI",2019-08-01,23.4034001646815,3.22926663660036,10,2.06611570247934,10.2066115702479,-21.3372844622022,-13.1967885944336,-1.16315093412102,6.97734493364758
"CALI",2019-09-01,19.4009240272042,2.51132665313717,10,2.13973799126638,9.34497816593887,-17.2611860359378,-10.0559458612653,-0.371588661870798,6.83365151280169
"CALI",2019-10-01,23.6622088867383,6.15012228018064,10,4.29787234042553,12.936170212766,-19.3643365463128,-10.7260386739724,-1.85224993975511,6.78604793258532
"CALI",2019-11-01,22.42973200085,6.56424027687273,10,4.20833333333333,12.2083333333333,-18.2213986675166,-10.2213986675166,-2.3559069435394,5.6440930564606
"CALI",2019-12-01,18.4211039437562,3.79939664198816,10,2.11711711711712,9.23423423423423,-16.3039868266391,-9.18686970952201,-1.68227952487104,5.43483759224608
"CALI",2020-01-01,26.6360161870938,6.03649292384743,10,3.81974248927039,13.3905579399142,-22.8162736978234,-13.2454582471796,-2.21675043457704,7.35406501606673
"CALI",2020-02-01,20.7793879049813,5.81778275082591,10,3.62068965517241,9.78448275862069,-17.1586982498089,-10.9949051463606,-2.19709309565349,3.96670000779478
