"ciudad","tri_date","pm","pme","trimestre","n_deciles","afford_coca","afford_cona","afford_cord","gap_coca_pm","gap_cona_pm","gap_cord_pm","gap_coca_pme","gap_cona_pme","gap_cord_pme"
"BOGOTA",2020-07-01,39.2083644510829,10.604929051531,"2020Q3",10,5.69897084048027,12.8201829616924,34.9792738707833,-33.5093936106026,-26.3881814893905,-4.2290905802996,-4.90595821105072,2.2152539101614,24.3743448192523
"BOGOTA",2020-10-01,33.2560834298957,8.84749708963912,"2020Q4",10,2.04724409448819,7.55905511811024,32.244094488189,-31.2088393354075,-25.6970283117855,-1.01198894170673,-6.80025299515093,-1.28844197152888,23.3965973985499
"BOGOTA",2021-01-01,34.3141153081511,9.54274353876739,"2021Q1",10,3.25396825396825,8.84920634920635,33.9997154240182,-31.0601470541828,-25.4649089589447,-0.314399884132882,-6.28877528479914,-0.693537189561045,24.4569718852508
"BOGOTA",2021-04-01,35.2365415986949,10.1957585644372,"2021Q2",10,2.84584980237154,9.20948616600791,35.4545454545455,-32.3906917963234,-26.027055432687,0.218003855850512,-7.34990876206565,-0.986272398429289,25.2587868901083
"BOGOTA",2021-07-01,31.3396149119213,8.84883244571897,"2021Q3",10,2.11155378486056,7.49003984063745,34.9767330677291,-29.2280611270608,-23.8495750712839,3.63711815580774,-6.73727866085841,-1.35879260508152,26.1279006220101
"BOGOTA",2021-10-01,29.297716501508,6.46531382727702,"2021Q4",10,2.0704845814978,7.04845814977974,34.2290748898678,-27.2272319200102,-22.2492583517282,4.93135838835988,-4.39482924577922,0.583144322502719,27.7637610625908
"BOGOTA",2022-01-01,31.7488006977758,9.94255413168361,"2022Q1",10,2.26720647773279,7.93522267206478,32.2267206477733,-29.481594220043,-23.8135780257111,0.477919949997435,-7.67534765395081,-2.00733145961883,22.2841665160897
"BOGOTA",2022-04-01,28.1739130434783,7.95652173913043,"2022Q2",10,2.13991769547325,7.28395061728395,33.2846988402544,-26.033995348005,-20.8899624261943,5.11078579677614,-5.81660404365718,-0.672571121846484,25.328177101124
"BOGOTA",2022-07-01,29.3162393162393,7.30769230769231,"2022Q3",10,1.54471544715447,7.92682926829268,33.5277916044467,-27.7715238690848,-21.3894100479466,4.21155228820734,-5.76297686053784,0.619136960600374,26.2200992967543
"BOGOTA",2022-10-01,28.6355475763016,7.07644628099174,"2022Q4",10,1.95555555555556,9.2,35.5111111111111,-26.6799920207461,-19.4355475763016,6.87556353480949,-5.12089072543618,2.12355371900826,28.4346648301194
"BOGOTA",2023-01-01,29.2357274401473,8,"2023Q1",10,2.00873362445415,8.83513368574274,34.1860108787252,-27.2269938156932,-20.4005937544046,4.95028343857787,-5.99126637554585,0.83513368574274,26.1860108787252
"BOGOTA",2023-04-01,24.0631163708087,5.28022232515053,"2023Q2",10,1.89075630252101,7.64705882352941,31.8781689891146,-22.1723600682877,-16.4160575472793,7.81505261830596,-3.38946602262952,2.36683649837888,26.5979466639641
"BOGOTA",2023-07-01,23.5140997830803,5.10814542107685,"2023Q3",10,2.10743801652893,6.98347107438016,30.2066115702479,-21.4066617665513,-16.5306287087001,6.69251178716767,-3.00070740454793,1.87532565330331,25.0984661491711
"BOGOTA",2023-10-01,22.8135122628413,4.73982483256054,"2023Q4",10,2.13333333333333,7.37777777777778,29.1111111111111,-20.6801789295079,-15.4357344850635,6.29759884826984,-2.6064914992272,2.63795294521724,24.3712862785506
"BOGOTA",2024-01-01,20.7129963898917,4.9187725631769,"2024Q1",10,1.440329218107,5.63786008230453,27.9835390946502,-19.2726671717847,-15.0751363075872,7.27054270475851,-3.4784433450699,0.719087519127632,23.0647665314733
"BOGOTA",2024-04-01,19.7519929140833,3.94154118689105,"2024Q2",10,1.06122448979592,4.89795918367347,27.469387755102,-18.6907684242873,-14.8540337304098,7.71739484101878,-2.88031669709514,0.956417996782416,23.527846568211
"BOGOTA",2024-07-01,19.3815331010453,3.65853658536585,"2024Q3",10,1.75298804780877,5.0597609561753,28.9641434262948,-17.6285450532365,-14.32177214487,9.58261032524952,-1.90554853755709,1.40122437080945,25.305606840929
