"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"CALI","2021Q1",2021-01-01,"9 a 13 años",1,3,4616.8791585589,16548.131199721,5516.04373324032,2013355.96263272,165481.31199721
"CALI","2021Q2",2021-04-01,"31 a 50 años",0,1,8050.28261881017,18923.4907521569,6307.83025071897,2302358.04151242,189234.907521569
"CALI","2021Q2",2021-04-01,"31 a 50 años",1,2,5603.29682465744,18923.4907521569,6307.83025071897,2302358.04151242,189234.907521569
"CALI","2021Q2",2021-04-01,"9 a 13 años",1,3,5269.9113086893,18923.4907521569,6307.83025071897,2302358.04151242,189234.907521569
"CALI","2021Q3",2021-07-01,"31 a 50 años",0,1,7723.89557632625,18206.3936221416,6068.79787404719,2215111.22402723,182063.936221416
"CALI","2021Q3",2021-07-01,"31 a 50 años",1,2,5394.00808879161,18206.3936221416,6068.79787404719,2215111.22402723,182063.936221416
"CALI","2021Q3",2021-07-01,"9 a 13 años",1,3,5088.48995702372,18206.3936221416,6068.79787404719,2215111.22402723,182063.936221416
"CALI","2021Q4",2021-10-01,"31 a 50 años",0,1,7941.05396566012,18678.0746548566,6226.02488495219,2272499.08300755,186780.746548566
"CALI","2021Q4",2021-10-01,"31 a 50 años",1,2,5523.46914068899,18678.0746548566,6226.02488495219,2272499.08300755,186780.746548566
"CALI","2021Q4",2021-10-01,"9 a 13 años",1,3,5213.55154850746,18678.0746548566,6226.02488495219,2272499.08300755,186780.746548566
"CALI","2022Q1",2022-01-01,"31 a 50 años",0,1,9456.78128652071,22223.8959271375,7407.96530904583,2703907.33780173,222238.959271375
"CALI","2022Q1",2022-01-01,"31 a 50 años",1,2,6578.21982417109,22223.8959271375,7407.96530904583,2703907.33780173,222238.959271375
"CALI","2022Q1",2022-01-01,"9 a 13 años",1,3,6188.89481644568,22223.8959271375,7407.96530904583,2703907.33780173,222238.959271375
"CALI","2022Q2",2022-04-01,"31 a 50 años",0,1,10243.5844887473,24078.5328958977,8026.17763196589,2929554.83566755,240785.328958977
"CALI","2022Q2",2022-04-01,"31 a 50 años",1,2,7130.82563068807,24078.5328958977,8026.17763196589,2929554.83566755,240785.328958977
"CALI","2022Q2",2022-04-01,"9 a 13 años",1,3,6704.12277646236,24078.5328958977,8026.17763196589,2929554.83566755,240785.328958977
"CALI","2022Q3",2022-07-01,"31 a 50 años",0,1,10207.439095857,24023.4758094354,8007.82526981181,2922856.22348131,240234.758094354
"CALI","2022Q3",2022-07-01,"31 a 50 años",1,2,7115.96669923694,24023.4758094354,8007.82526981181,2922856.22348131,240234.758094354
"CALI","2022Q3",2022-07-01,"9 a 13 años",1,3,6700.0700143415,24023.4758094354,8007.82526981181,2922856.22348131,240234.758094354
"CALI","2022Q4",2022-10-01,"31 a 50 años",0,1,11024.5410706903,25923.9232357187,8641.30774523956,3154077.32701244,259239.232357187
"CALI","2022Q4",2022-10-01,"31 a 50 años",1,2,7678.14845605757,25923.9232357187,8641.30774523956,3154077.32701244,259239.232357187
"CALI","2022Q4",2022-10-01,"9 a 13 años",1,3,7221.23370897084,25923.9232357187,8641.30774523956,3154077.32701244,259239.232357187
"CALI","2023Q1",2023-01-01,"31 a 50 años",0,1,12056.9840940879,28324.9673751134,9441.65579170445,3446204.36397213,283249.673751134
"CALI","2023Q1",2023-01-01,"31 a 50 años",1,2,8383.04238143422,28324.9673751134,9441.65579170445,3446204.36397213,283249.673751134
"CALI","2023Q1",2023-01-01,"9 a 13 años",1,3,7884.94089959126,28324.9673751134,9441.65579170445,3446204.36397213,283249.673751134
"CALI","2023Q2",2023-04-01,"31 a 50 años",0,1,11731.9279462654,27577.0842891987,9192.36142973291,3355211.92185251,275770.842891987
"CALI","2023Q2",2023-04-01,"31 a 50 años",1,2,8158.3779962968,27577.0842891987,9192.36142973291,3355211.92185251,275770.842891987
"CALI","2023Q2",2023-04-01,"9 a 13 años",1,3,7686.77834663653,27577.0842891987,9192.36142973291,3355211.92185251,275770.842891987
"CALI","2023Q3",2023-07-01,"31 a 50 años",0,1,11421.877800726,26855.9705397431,8951.99017991436,3267476.41566874,268559.705397431
"CALI","2023Q3",2023-07-01,"31 a 50 años",1,2,7943.29668687918,26855.9705397431,8951.99017991436,3267476.41566874,268559.705397431
"CALI","2023Q3",2023-07-01,"9 a 13 años",1,3,7490.79605213786,26855.9705397431,8951.99017991436,3267476.41566874,268559.705397431
"CALI","2023Q4",2023-10-01,"31 a 50 años",0,1,11642.3688987479,27364.0246801736,9121.34156005786,3329289.66942112,273640.246801736
"CALI","2023Q4",2023-10-01,"31 a 50 años",1,2,8090.17776109276,27364.0246801736,9121.34156005786,3329289.66942112,273640.246801736
"CALI","2023Q4",2023-10-01,"9 a 13 años",1,3,7631.47802033293,27364.0246801736,9121.34156005786,3329289.66942112,273640.246801736
"CALI","2024Q1",2024-01-01,"31 a 50 años",0,1,11665.0211832058,27414.1167422975,9138.03891409917,3335384.2036462,274141.167422975
"CALI","2024Q1",2024-01-01,"31 a 50 años",1,2,8100.96136629955,27414.1167422975,9138.03891409917,3335384.2036462,274141.167422975
"CALI","2024Q1",2024-01-01,"9 a 13 años",1,3,7648.13419279219,27414.1167422975,9138.03891409917,3335384.2036462,274141.167422975
