"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"9 a 13 años",1,3,2140.70700232778,7684.86573465719,2561.62191155239,934991.997716624,76848.6573465719,"BOGOTA",2002-09-01,3
"31 a 50 años",0,1,3349.70060246041,7865.92051108476,2621.97350369492,957020.328848645,78659.2051108476,"BOGOTA",2002-10-01,1
"31 a 50 años",1,2,2325.94287443159,7865.92051108476,2621.97350369492,957020.328848645,78659.2051108476,"BOGOTA",2002-10-01,2
"9 a 13 años",1,3,2190.27703419276,7865.92051108476,2621.97350369492,957020.328848645,78659.2051108476,"BOGOTA",2002-10-01,3
"31 a 50 años",0,1,3492.48675971424,8202.23267683008,2734.07755894336,997938.309014326,82022.3267683008,"BOGOTA",2002-11-01,1
"31 a 50 años",1,2,2426.53955739027,8202.23267683008,2734.07755894336,997938.309014326,82022.3267683008,"BOGOTA",2002-11-01,2
"9 a 13 años",1,3,2283.20635972556,8202.23267683008,2734.07755894336,997938.309014326,82022.3267683008,"BOGOTA",2002-11-01,3
"31 a 50 años",0,1,3450.81003141157,8116.07398270923,2705.35799423641,987455.66789629,81160.7398270923,"BOGOTA",2002-12-01,1
"31 a 50 años",1,2,2402.69635708497,8116.07398270923,2705.35799423641,987455.66789629,81160.7398270923,"BOGOTA",2002-12-01,2
"9 a 13 años",1,3,2262.56759421269,8116.07398270923,2705.35799423641,987455.66789629,81160.7398270923,"BOGOTA",2002-12-01,3
"31 a 50 años",0,1,3407.30059659173,8018.48951994135,2672.82983998045,975582.891592864,80184.8951994135,"BOGOTA",2003-01-01,1
"31 a 50 años",1,2,2373.7092107543,8018.48951994135,2672.82983998045,975582.891592864,80184.8951994135,"BOGOTA",2003-01-01,2
"9 a 13 años",1,3,2237.47971259532,8018.48951994135,2672.82983998045,975582.891592864,80184.8951994135,"BOGOTA",2003-01-01,3
"31 a 50 años",0,1,3351.16103100735,7888.08253025096,2629.36084341699,959716.7078472,78880.8253025096,"BOGOTA",2003-02-01,1
"31 a 50 años",1,2,2334.09549393524,7888.08253025096,2629.36084341699,959716.7078472,78880.8253025096,"BOGOTA",2003-02-01,2
"9 a 13 años",1,3,2202.82600530837,7888.08253025096,2629.36084341699,959716.7078472,78880.8253025096,"BOGOTA",2003-02-01,3
"31 a 50 años",0,1,3410.45878212993,8020.42542375019,2673.47514125006,975818.426556273,80204.2542375019,"BOGOTA",2003-03-01,1
"31 a 50 años",1,2,2371.99335330508,8020.42542375019,2673.47514125006,975818.426556273,80204.2542375019,"BOGOTA",2003-03-01,2
"9 a 13 años",1,3,2237.97328831518,8020.42542375019,2673.47514125006,975818.426556273,80204.2542375019,"BOGOTA",2003-03-01,3
"31 a 50 años",0,1,3552.31009616716,8343.93470181413,2781.31156727138,1015178.72205405,83439.3470181413,"BOGOTA",2003-04-01,1
"31 a 50 años",1,2,2465.5940119053,8343.93470181413,2781.31156727138,1015178.72205405,83439.3470181413,"BOGOTA",2003-04-01,2
"9 a 13 años",1,3,2326.03059374167,8343.93470181413,2781.31156727138,1015178.72205405,83439.3470181413,"BOGOTA",2003-04-01,3
"31 a 50 años",0,1,3524.97792707457,8281.64992371006,2760.54997457002,1007600.74071806,82816.4992371006,"BOGOTA",2003-05-01,1
"31 a 50 años",1,2,2447.30289810605,8281.64992371006,2760.54997457002,1007600.74071806,82816.4992371006,"BOGOTA",2003-05-01,2
"9 a 13 años",1,3,2309.36909852943,8281.64992371006,2760.54997457002,1007600.74071806,82816.4992371006,"BOGOTA",2003-05-01,3
"31 a 50 años",0,1,3512.69015961041,8251.83870179028,2750.61290059676,1003973.70871782,82518.3870179027,"BOGOTA",2003-06-01,1
"31 a 50 años",1,2,2437.43434058135,8251.83870179028,2750.61290059676,1003973.70871782,82518.3870179027,"BOGOTA",2003-06-01,2
"9 a 13 años",1,3,2301.71420159852,8251.83870179028,2750.61290059676,1003973.70871782,82518.3870179027,"BOGOTA",2003-06-01,3
"31 a 50 años",0,1,3481.28023692293,8179.10565629244,2726.36855209748,995124.521515581,81791.0565629244,"BOGOTA",2003-07-01,1
"31 a 50 años",1,2,2415.60915787369,8179.10565629244,2726.36855209748,995124.521515581,81791.0565629244,"BOGOTA",2003-07-01,2
"9 a 13 años",1,3,2282.21626149582,8179.10565629244,2726.36855209748,995124.521515581,81791.0565629244,"BOGOTA",2003-07-01,3
"31 a 50 años",0,1,3464.24046567538,8138.8574567481,2712.9524855827,990227.657237685,81388.574567481,"BOGOTA",2003-08-01,1
"31 a 50 años",1,2,2403.65580890335,8138.8574567481,2712.9524855827,990227.657237685,81388.574567481,"BOGOTA",2003-08-01,2
