"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"31 a 50 años",1,2,2781.69750397621,8998.70764196606,2999.56921398869,1094842.76310587,89987.0764196606,"MEDELLÍN",16436
"9 a 13 años",1,3,3105.05123285845,8998.70764196606,2999.56921398869,1094842.76310587,89987.0764196606,"MEDELLÍN",16436
"31 a 50 años",0,1,3160.02051351464,9137.26637052214,3045.75545684071,1111700.74174686,91372.6637052214,"MEDELLÍN",16467
"31 a 50 años",1,2,2820.32535729249,9137.26637052214,3045.75545684071,1111700.74174686,91372.6637052214,"MEDELLÍN",16467
"9 a 13 años",1,3,3156.92049971502,9137.26637052214,3045.75545684071,1111700.74174686,91372.6637052214,"MEDELLÍN",16467
"31 a 50 años",0,1,3175.4018926578,9170.99087157611,3056.99695719204,1115803.88937509,91709.9087157611,"MEDELLÍN",16495
"31 a 50 años",1,2,2831.54045931395,9170.99087157611,3056.99695719204,1115803.88937509,91709.9087157611,"MEDELLÍN",16495
"9 a 13 años",1,3,3164.04851960436,9170.99087157611,3056.99695719204,1115803.88937509,91709.9087157611,"MEDELLÍN",16495
"31 a 50 años",0,1,3194.10537036446,9214.05996191994,3071.35332063998,1121043.96203359,92140.5996191994,"MEDELLÍN",16526
"31 a 50 años",1,2,2843.80357812688,9214.05996191994,3071.35332063998,1121043.96203359,92140.5996191994,"MEDELLÍN",16526
"9 a 13 años",1,3,3176.1510134286,9214.05996191994,3071.35332063998,1121043.96203359,92140.5996191994,"MEDELLÍN",16526
"31 a 50 años",0,1,3223.82749610355,9265.27509172836,3088.42503057612,1127275.13616028,92652.7509172836,"MEDELLÍN",16556
"31 a 50 años",1,2,2855.5640024502,9265.27509172836,3088.42503057612,1127275.13616028,92652.7509172836,"MEDELLÍN",16556
"9 a 13 años",1,3,3185.8835931746,9265.27509172836,3088.42503057612,1127275.13616028,92652.7509172836,"MEDELLÍN",16556
"31 a 50 años",0,1,3226.53265565941,9305.27343025596,3101.75781008532,1132141.60068114,93052.7343025596,"MEDELLÍN",16587
"31 a 50 años",1,2,2876.10591717245,9305.27343025596,3101.75781008532,1132141.60068114,93052.7343025596,"MEDELLÍN",16587
"9 a 13 años",1,3,3202.6348574241,9305.27343025596,3101.75781008532,1132141.60068114,93052.7343025596,"MEDELLÍN",16587
"31 a 50 años",0,1,3238.8401678602,9309.70463782633,3103.23487927544,1132680.73093554,93097.0463782633,"MEDELLÍN",16617
"31 a 50 años",1,2,2867.11664638664,9309.70463782633,3103.23487927544,1132680.73093554,93097.0463782633,"MEDELLÍN",16617
"9 a 13 años",1,3,3203.74782357949,9309.70463782633,3103.23487927544,1132680.73093554,93097.0463782633,"MEDELLÍN",16617
