"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"9 a 13 años",1,3,1109.41016117657,3919.29642002568,1306.43214000856,476847.731103124,39192.9642002568,"BOGOTÁ D.C.",18170
"31 a 50 años",0,1,1677.10339563512,4017.79107462819,1339.26369154273,488831.247413096,40177.9107462819,"BOGOTÁ D.C.",18201
"31 a 50 años",1,2,1203.39726612661,4017.79107462819,1339.26369154273,488831.247413096,40177.9107462819,"BOGOTÁ D.C.",18201
"9 a 13 años",1,3,1137.29041286646,4017.79107462819,1339.26369154273,488831.247413096,40177.9107462819,"BOGOTÁ D.C.",18201
"31 a 50 años",0,1,1771.93468721896,4244.97582537918,1414.99194179306,516472.058754466,42449.7582537918,"BOGOTÁ D.C.",18231
"31 a 50 años",1,2,1271.44299147202,4244.97582537918,1414.99194179306,516472.058754466,42449.7582537918,"BOGOTÁ D.C.",18231
"9 a 13 años",1,3,1201.5981466882,4244.97582537918,1414.99194179306,516472.058754466,42449.7582537918,"BOGOTÁ D.C.",18231
"31 a 50 años",0,1,1905.9289014357,4565.98212667997,1521.99404222666,555527.82541273,45659.8212667997,"BOGOTÁ D.C.",18262
"31 a 50 años",1,2,1367.5898787092,4565.98212667997,1521.99404222666,555527.82541273,45659.8212667997,"BOGOTÁ D.C.",18262
"9 a 13 años",1,3,1292.46334653508,4565.98212667997,1521.99404222666,555527.82541273,45659.8212667997,"BOGOTÁ D.C.",18262
"31 a 50 años",0,1,2007.36237154636,4808.98353729058,1602.99451243019,585092.99703702,48089.8353729058,"BOGOTÁ D.C.",18293
"31 a 50 años",1,2,1440.37296467908,4808.98353729058,1602.99451243019,585092.99703702,48089.8353729058,"BOGOTÁ D.C.",18293
"9 a 13 años",1,3,1361.24820106514,4808.98353729058,1602.99451243019,585092.99703702,48089.8353729058,"BOGOTÁ D.C.",18293
"31 a 50 años",0,1,2096.04163314109,5021.43003681306,1673.81001227102,610940.654478922,50214.3003681306,"BOGOTÁ D.C.",18322
"31 a 50 años",1,2,1504.00433126207,5021.43003681306,1673.81001227102,610940.654478922,50214.3003681306,"BOGOTÁ D.C.",18322
"9 a 13 años",1,3,1421.3840724099,5021.43003681306,1673.81001227102,610940.654478922,50214.3003681306,"BOGOTÁ D.C.",18322
"31 a 50 años",0,1,2153.06044770132,5158.02846289831,1719.3428209661,627560.129652627,51580.2846289831,"BOGOTÁ D.C.",18353
"31 a 50 años",1,2,1544.91790029911,5158.02846289831,1719.3428209661,627560.129652627,51580.2846289831,"BOGOTÁ D.C.",18353
"9 a 13 años",1,3,1460.05011489788,5158.02846289831,1719.3428209661,627560.129652627,51580.2846289831,"BOGOTÁ D.C.",18353
"31 a 50 años",0,1,2157.61211614881,5168.93277142845,1722.97759047615,628886.820523795,51689.3277142845,"BOGOTÁ D.C.",18383
"31 a 50 años",1,2,1548.18392753408,5168.93277142845,1722.97759047615,628886.820523795,51689.3277142845,"BOGOTÁ D.C.",18383
"9 a 13 años",1,3,1463.13672774556,5168.93277142845,1722.97759047615,628886.820523795,51689.3277142845,"BOGOTÁ D.C.",18383
"31 a 50 años",0,1,2159.21247769236,5172.76671413145,1724.25557137715,629353.28355266,51727.6671413145,"BOGOTÁ D.C.",18414
"31 a 50 años",1,2,1549.33225906292,5172.76671413145,1724.25557137715,629353.28355266,51727.6671413145,"BOGOTÁ D.C.",18414
"9 a 13 años",1,3,1464.22197737617,5172.76671413145,1724.25557137715,629353.28355266,51727.6671413145,"BOGOTÁ D.C.",18414
"31 a 50 años",0,1,2024.52258829114,4850.09380267751,1616.69793422584,590094.745992431,48500.9380267751,"BOGOTÁ D.C.",18444
"31 a 50 años",1,2,1452.68619352983,4850.09380267751,1616.69793422584,590094.745992431,48500.9380267751,"BOGOTÁ D.C.",18444
"9 a 13 años",1,3,1372.88502085654,4850.09380267751,1616.69793422584,590094.745992431,48500.9380267751,"BOGOTÁ D.C.",18444
"31 a 50 años",0,1,1986.95563791623,4760.09567953844,1586.69855984615,579144.974343844,47600.9567953844,"BOGOTÁ D.C.",18475
"31 a 50 años",1,2,1425.73021365671,4760.09567953844,1586.69855984615,579144.974343844,47600.9567953844,"BOGOTÁ D.C.",18475
"9 a 13 años",1,3,1347.4098279655,4760.09567953844,1586.69855984615,579144.974343844,47600.9567953844,"BOGOTÁ D.C.",18475
"31 a 50 años",0,1,1931.28726896336,4626.73247933262,1542.24415977754,562919.118318802,46267.3247933262,"BOGOTÁ D.C.",18506
"31 a 50 años",1,2,1385.78565020167,4626.73247933262,1542.24415977754,562919.118318802,46267.3247933262,"BOGOTÁ D.C.",18506
"9 a 13 años",1,3,1309.65956016759,4626.73247933262,1542.24415977754,562919.118318802,46267.3247933262,"BOGOTÁ D.C.",18506
"31 a 50 años",0,1,1883.12137561083,4511.34275624401,1503.780918748,548880.035343022,45113.4275624401,"BOGOTÁ D.C.",18536
"31 a 50 años",1,2,1351.22445109382,4511.34275624401,1503.780918748,548880.035343022,45113.4275624401,"BOGOTÁ D.C.",18536
"9 a 13 años",1,3,1276.99692953936,4511.34275624401,1503.780918748,548880.035343022,45113.4275624401,"BOGOTÁ D.C.",18536
"31 a 50 años",0,1,1883.42147463469,4512.06169532833,1504.02056510944,548967.506264947,45120.6169532833,"BOGOTÁ D.C.",18567
"31 a 50 años",1,2,1351.4397856676,4512.06169532833,1504.02056510944,548967.506264947,45120.6169532833,"BOGOTÁ D.C.",18567
"9 a 13 años",1,3,1277.20043502604,4512.06169532833,1504.02056510944,548967.506264947,45120.6169532833,"BOGOTÁ D.C.",18567
"31 a 50 años",0,1,1862.56459246684,4462.09542894508,1487.36514298169,542888.277188318,44620.9542894508,"BOGOTÁ D.C.",18597
"31 a 50 años",1,2,1336.47403278317,4462.09542894508,1487.36514298169,542888.277188318,44620.9542894508,"BOGOTÁ D.C.",18597
"9 a 13 años",1,3,1263.05680369507,4462.09542894508,1487.36514298169,542888.277188318,44620.9542894508,"BOGOTÁ D.C.",18597
"31 a 50 años",0,1,1858.51325564281,4452.38975130216,1484.12991710072,541707.419741762,44523.8975130216,"BOGOTÁ D.C.",18628
"31 a 50 años",1,2,1333.56701603579,4452.38975130216,1484.12991710072,541707.419741762,44523.8975130216,"BOGOTÁ D.C.",18628
"9 a 13 años",1,3,1260.30947962355,4452.38975130216,1484.12991710072,541707.419741762,44523.8975130216,"BOGOTÁ D.C.",18628
"31 a 50 años",0,1,1849.21018589932,4430.10263967904,1476.70087989301,538995.82116095,44301.0263967904,"BOGOTÁ D.C.",18659
"31 a 50 años",1,2,1326.89164424594,4430.10263967904,1476.70087989301,538995.82116095,44301.0263967904,"BOGOTÁ D.C.",18659
"9 a 13 años",1,3,1254.00080953378,4430.10263967904,1476.70087989301,538995.82116095,44301.0263967904,"BOGOTÁ D.C.",18659
"31 a 50 años",0,1,1821.45102617885,4363.60077434721,1454.53359144907,530904.76087891,43636.0077434721,"BOGOTÁ D.C.",18687
"31 a 50 años",1,2,1306.97319616186,4363.60077434721,1454.53359144907,530904.76087891,43636.0077434721,"BOGOTÁ D.C.",18687
