ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok
BOGOTÁ D.C.,FECULA DE MAÍZ,011105,2,TRUE,0.13973992248406794,2.80988882762256e-4,0.0035303365033520005,0.026652708413336713,203,TRUE
BOGOTÁ D.C.,PASTA PARA SECO,011102,2,TRUE,0.9769794367730926,1.1638863123466607e-5,1.5316474241841094e-4,0.9686032110956162,203,TRUE
BOGOTÁ D.C.,PASTA PARA SOPA,011102,2,TRUE,0.937676778064767,4.282072243848769e-5,5.635107873412096e-4,0.8853761243616363,203,TRUE
BOGOTÁ D.C.,AVENA HOJUELAS,011103,2,TRUE,0.8234593426247498,3.0332594631356555e-4,0.006939920680371444,0.3260104945408358,203,TRUE
BOGOTÁ D.C.,AVENA MOLIDA,011103,2,TRUE,0.5140451182220744,2.2780872555189544e-4,0.00521213072881117,0.20062548775313951,203,TRUE
BOGOTÁ D.C.,CEBADA,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,PAN CORRIENTE,011108,3,TRUE,1.061489341613086,7.710445549872569e-5,0.002518161833250655,0.6889691303651935,203,TRUE
BOGOTÁ D.C.,PAN FRANCÉS,011108,3,TRUE,0.9613642494081651,1.8127320137688747e-4,0.0059202189308759515,0.43593172340654995,203,TRUE
BOGOTÁ D.C.,PAN INTEGRAL,011108,3,TRUE,0.8036162327862083,1.5098586883961133e-4,0.004931062022458382,0.39333055735717276,203,TRUE
BOGOTÁ D.C.,PAPA,011705,2,TRUE,1.026445925420796,3.794612512433002e-4,1.5953431226965143e-4,0.9703210337783008,203,TRUE
BOGOTÁ D.C.,PAPA CRIOLLA,011705,2,TRUE,0.614328228394369,0.02198079717372212,0.009241237013684072,0.16817177798932495,203,TRUE
BOGOTÁ D.C.,YUCA,011706,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,ARRACACHA,011712,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,PLÁTANO,011704,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,CEBOLLA LARGA,011714,2,TRUE,0.6300043238189569,0.006013122693923927,0.002374800050778002,0.45277051115896094,203,TRUE
BOGOTÁ D.C.,CEBOLLA CABEZONA,011714,2,TRUE,1.317628397303017,0.0052534105264003955,0.002074762185953689,0.8055433794330175,203,TRUE
BOGOTÁ D.C.,TOMATE,011713,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,ZANAHORIA,011715,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,HABICHUELAS FRESCAS,011716,8,TRUE,2.0105270643932163,0.018833903880779837,0.029940757796495177,0.4006063491720384,203,TRUE
BOGOTÁ D.C.,REPOLLO,011716,8,TRUE,0.08714184789506982,0.014026378100292922,0.02229810623019627,0.001683071694496168,203,TRUE
BOGOTÁ D.C.,LECHUGA,011716,8,TRUE,1.0780858097811046,0.017962031007037197,0.0285547183058348,0.1677077911575802,203,TRUE
BOGOTÁ D.C.,AJO,011716,8,TRUE,0.19748452322764445,0.0042908606528081344,0.0068212952746002885,0.027524940260035997,203,TRUE
BOGOTÁ D.C.,FRÍJOL FRESCO,011716,8,TRUE,0.34745811847016256,0.004786675930051545,0.007609506004660168,0.07282162834758633,203,TRUE
BOGOTÁ D.C.,FRÍJOL SECO,011716,8,TRUE,0.13722857594709156,8.942541236048376e-4,0.0014216195586881624,0.06154167934985106,203,TRUE
BOGOTÁ D.C.,ARVEJA FRESCA,011716,8,TRUE,1.8922062974664475,0.01768646955748757,0.028116650942252453,0.3866567511969082,203,TRUE
BOGOTÁ D.C.,ARVEJA SECA,011716,8,TRUE,0.022375780875198023,6.150539385679322e-4,9.777676005469974e-4,0.0025285402265286835,203,TRUE
BOGOTÁ D.C.,LENTEJAS,011702,2,TRUE,0.09640781228446471,0.0015089908251569792,0.0015134385459694862,0.029505394191313202,203,TRUE
BOGOTÁ D.C.,GARBANZO,011702,2,TRUE,0.03800691443039435,6.767184679200859e-4,6.787130823099135e-4,0.010426432184155553,203,TRUE
BOGOTÁ D.C.,FRÍJOL TARRO,011703,2,TRUE,1.0184403132690942,6.93217405907583e-5,0.003169292350077346,0.6183436930246288,203,TRUE
BOGOTÁ D.C.,ARVEJA TARRO,011703,2,TRUE,1.0659762386022573,1.760671545947496e-4,0.008049542342729588,0.4113601118572583,203,TRUE
BOGOTÁ D.C.,NARANJAS,011605,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,BANANOS,011606,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,TOMATE DE ÁRBOL,011607,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,MORAS,011608,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,GUAYABAS,011609,9,TRUE,0.2985661825507664,0.00610394690436384,0.01095768613501225,0.038713620919093986,203,TRUE
BOGOTÁ D.C.,LIMONES,011609,9,TRUE,1.7960506965191347,0.02280726255252814,0.04094315179425175,0.280594100794189,203,TRUE
BOGOTÁ D.C.,AGUACATE,011609,9,TRUE,0.6529525871978765,0.0034805707378020214,0.006248252534483255,0.25250137555835755,203,TRUE
BOGOTÁ D.C.,CURUBAS,011609,9,TRUE,1.3803546734322976,0.004677904683744203,0.008397683023311783,0.529020520252379,203,TRUE
BOGOTÁ D.C.,PAPAYAS,011609,9,TRUE,1.4243885146789514,0.006289888084134136,0.011291484105312444,0.4707643805644185,203,TRUE
BOGOTÁ D.C.,MARACUYA,011609,9,TRUE,1.4736178381150078,0.0069038323236992665,0.012393624800006874,0.46449643928987316,203,TRUE
BOGOTÁ D.C.,PIÑAS,011609,9,TRUE,0.27721217141028953,0.0030278757595203223,0.005435583360811267,0.06541056869032491,203,TRUE
BOGOTÁ D.C.,MANZANAS,011609,9,TRUE,0.4003729472993799,0.0027624151654235835,0.004959033692719239,0.1379477472911873,203,TRUE
BOGOTÁ D.C.,LULOS,011609,9,TRUE,0.3229452489485714,0.00470550758097267,0.008447235204709413,0.0576005796069295,203,TRUE
BOGOTÁ D.C.,MANGOS,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,MELOCOTONES O VARIEDAD DISPONIBLE,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
BOGOTÁ D.C.,CARNE DE RES SIN HUESO,011201,3,TRUE,1.0330565469222868,2.8138741944387957e-5,6.053528159259343e-4,0.8971983226828087,203,TRUE
BOGOTÁ D.C.,CARNE DE RES CON HUESO,011201,3,TRUE,0.6794373155013326,3.3044575979644745e-4,0.007108927314480027,0.24326819576245173,203,TRUE
BOGOTÁ D.C.,VISCERAS - HIGADO,011201,3,TRUE,0.28092668038412627,3.285263268907185e-4,0.007067634277401101,0.05238334438082641,203,TRUE
BOGOTÁ D.C.,CARNE DE CERDO SIN HUESO,011202,2,TRUE,1.0686256745316136,2.26122961623299e-5,3.732917433287527e-4,0.9380589348277759,203,TRUE
BOGOTÁ D.C.,CARNE DE CERDO CON HUESO,011202,2,TRUE,0.562471859335442,1.6930831501613464e-4,0.0027950012514746077,0.3591228347158384,203,TRUE
BOGOTÁ D.C.,POLLO ENTERO POR LIBRA,011203,2,TRUE,1.020116695356591,2.0553904551633657e-5,4.897884695188062e-4,0.9131805795452032,203,TRUE
