"ciudad","trimestre","model","n_deciles","incidence"
"CALI","2023Q2","CoCA",10,1.54676258992806
"CALI","2023Q2","CoNA",10,8.77697841726619
"CALI","2023Q2","CoRD",10,21.0431654676259
"CALI","2023Q3","CoCA",10,2.2962962962963
"CALI","2023Q3","CoNA",10,8.7037037037037
"CALI","2023Q3","CoRD",10,19.3333333333333
"CALI","2023Q4","CoCA",10,2.26923076923077
"CALI","2023Q4","CoNA",10,7.42307692307692
"CALI","2023Q4","CoRD",10,19.4615384615385
"CALI","2024Q1","CoCA",10,2.53676470588235
"CALI","2024Q1","CoNA",10,9.63235294117647
"CALI","2024Q1","CoRD",10,20.5514705882353
"CALI","2024Q2","CoCA",10,2.2962962962963
"CALI","2024Q2","CoNA",10,7.6389921520033
"CALI","2024Q2","CoRD",10,18.754233787691
"CALI","2024Q3","CoCA",10,2.06106870229008
"CALI","2024Q3","CoNA",10,7.06106870229008
"CALI","2024Q3","CoRD",10,18.4732824427481
"CALI","2024Q4","CoCA",10,2.60869565217391
"CALI","2024Q4","CoNA",10,7.79565844783236
"CALI","2024Q4","CoRD",10,18.6686743208482
"MEDELLÍN","2018Q1","CoCA",10,1.33757961783439
"MEDELLÍN","2018Q1","CoNA",10,5.15923566878981
"MEDELLÍN","2018Q1","CoRD",10,14.0127388535032
"MEDELLÍN","2018Q2","CoCA",10,1.125
"MEDELLÍN","2018Q2","CoNA",10,4.53125
"MEDELLÍN","2018Q2","CoRD",10,11.84375
"MEDELLÍN","2018Q3","CoCA",10,1.26543209876543
"MEDELLÍN","2018Q3","CoNA",10,4.81481481481481
"MEDELLÍN","2018Q3","CoRD",10,11.9444444444444
"MEDELLÍN","2018Q4","CoCA",10,1.36645962732919
"MEDELLÍN","2018Q4","CoNA",10,4.84472049689441
"MEDELLÍN","2018Q4","CoRD",10,13.3229813664596
"MEDELLÍN","2019Q1","CoCA",10,1.38036809815951
"MEDELLÍN","2019Q1","CoNA",10,5.49079754601227
"MEDELLÍN","2019Q1","CoRD",10,13.8036809815951
"MEDELLÍN","2019Q2","CoCA",10,1.77018633540373
"MEDELLÍN","2019Q2","CoNA",10,5.03105590062112
"MEDELLÍN","2019Q2","CoRD",10,14.5031055900621
"MEDELLÍN","2019Q3","CoCA",10,1.14197530864198
"MEDELLÍN","2019Q3","CoNA",10,4.25925925925926
"MEDELLÍN","2019Q3","CoRD",10,12.8954057256431
"MEDELLÍN","2019Q4","CoCA",10,0.928792569659443
"MEDELLÍN","2019Q4","CoNA",10,3.71517027863777
"MEDELLÍN","2019Q4","CoRD",10,11.9814241486068
"MEDELLÍN","2020Q1","CoCA",10,2.00636942675159
"MEDELLÍN","2020Q1","CoNA",10,5.15923566878981
"MEDELLÍN","2020Q1","CoRD",10,13.2569544779309
"MEDELLÍN","2020Q2","CoCA",10,7.11475409836066
"MEDELLÍN","2020Q2","CoNA",10,14.6885245901639
"MEDELLÍN","2020Q2","CoRD",10,23.672131147541
"MEDELLÍN","2020Q3","CoCA",10,4.16167664670659
"MEDELLÍN","2020Q3","CoNA",10,11.1377245508982
"MEDELLÍN","2020Q3","CoRD",10,19.2215568862275
"MEDELLÍN","2020Q4","CoCA",10,1.46875
"MEDELLÍN","2020Q4","CoNA",10,5.78125
"MEDELLÍN","2020Q4","CoRD",10,13.65625
"MEDELLÍN","2021Q1","CoCA",10,1.92307692307692
"MEDELLÍN","2021Q1","CoNA",10,5.67307692307692
"MEDELLÍN","2021Q1","CoRD",10,14.3269230769231
"MEDELLÍN","2021Q2","CoCA",10,2
"MEDELLÍN","2021Q2","CoNA",10,6.53125
"MEDELLÍN","2021Q2","CoRD",10,15.8125
"MEDELLÍN","2021Q3","CoCA",10,1.75384615384615
"MEDELLÍN","2021Q3","CoNA",10,5.87692307692308
"MEDELLÍN","2021Q3","CoRD",10,15.1692307692308
"MEDELLÍN","2021Q4","CoCA",10,2.0952380952381
"MEDELLÍN","2021Q4","CoNA",10,6.76190476190476
"MEDELLÍN","2021Q4","CoRD",10,14.9209382266707
"MEDELLÍN","2022Q1","CoCA",10,3.05466237942122
"MEDELLÍN","2022Q1","CoNA",10,8.81028938906752
"MEDELLÍN","2022Q1","CoRD",10,20.032154340836
"MEDELLÍN","2022Q2","CoCA",10,1.80645161290323
"MEDELLÍN","2022Q2","CoNA",10,7.35483870967742
"MEDELLÍN","2022Q2","CoRD",10,17.741935483871
"MEDELLÍN","2022Q3","CoCA",10,2.54071661237785
"MEDELLÍN","2022Q3","CoNA",10,9.38110749185668
"MEDELLÍN","2022Q3","CoRD",10,19.2182410423453
"MEDELLÍN","2022Q4","CoCA",10,1.89830508474576
"MEDELLÍN","2022Q4","CoNA",10,7.93220338983051
"MEDELLÍN","2022Q4","CoRD",10,18.6440677966102
"MEDELLÍN","2023Q1","CoCA",10,3.30065359477124
"MEDELLÍN","2023Q1","CoNA",10,11.8677809921783
"MEDELLÍN","2023Q1","CoRD",10,21.3428693881924
"MEDELLÍN","2023Q2","CoCA",10,2.47457627118644
"MEDELLÍN","2023Q2","CoNA",10,8.67796610169492
"MEDELLÍN","2023Q2","CoRD",10,17.7627118644068
"MEDELLÍN","2023Q3","CoCA",10,1.38613861386139
"MEDELLÍN","2023Q3","CoNA",10,5.90759075907591
"MEDELLÍN","2023Q3","CoRD",10,15.6105610561056
"MEDELLÍN","2023Q4","CoCA",10,2.05387205387205
"MEDELLÍN","2023Q4","CoNA",10,7.40740740740741
"MEDELLÍN","2023Q4","CoRD",10,16.1952861952862
"MEDELLÍN","2024Q1","CoCA",10,2.35099337748344
"MEDELLÍN","2024Q1","CoNA",10,7.09269323007195
"MEDELLÍN","2024Q1","CoRD",10,16.2621284460188
"MEDELLÍN","2024Q2","CoCA",10,1.82119205298013
"MEDELLÍN","2024Q2","CoNA",10,7.1523178807947
"MEDELLÍN","2024Q2","CoRD",10,15.9271523178808
"MEDELLÍN","2024Q3","CoCA",10,1.36212624584718
"MEDELLÍN","2024Q3","CoNA",10,5.58139534883721
"MEDELLÍN","2024Q3","CoRD",10,15.0287929125138
"MEDELLÍN","2024Q4","CoCA",10,0.918727915194346
"MEDELLÍN","2024Q4","CoNA",10,4.13427561837456
"MEDELLÍN","2024Q4","CoRD",10,11.9321855499586
