ciudad,anio_mes,fecha_mes,nominal,real_B,n_obs,implicit_deflator_B,nom_growth_yoy,real_growth_yoy
"BOGOTA, D.C.",2011-09,2011-09-01,1097.4489463421428,1361.7579758946113,22,0.8059060169052215,6.953691543424889,1.9924976685906204
"BOGOTA, D.C.",2011-10,2011-10-01,1103.3783157961877,NA,22,NA,8.029967531350056,NA
"BOGOTA, D.C.",2011-11,2011-11-01,1100.190986761602,1405.3965302574477,22,0.7828331457172898,8.24321519979707,3.8719070102861464
"BOGOTA, D.C.",2011-12,2011-12-01,1100.390194826264,1455.018819404948,22,0.7562721389928724,6.534687163197006,5.070223460613632
"BOGOTA, D.C.",2012-01,2012-01-01,1115.9167057484171,1401.3615000803757,22,0.7963089507485493,8.090622233320467,3.6478566337567964
"BOGOTA, D.C.",2012-02,2012-02-01,1131.8533509213441,1402.6741051084118,22,0.8069253911505437,8.147750047585456,4.659232921593337
"BOGOTA, D.C.",2012-03,2012-03-01,1125.0685586013994,1422.802593434094,22,0.7907411497514353,7.9757981983602955,6.662206009866156
"BOGOTA, D.C.",2012-04,2012-04-01,1127.1075117338182,1422.6457817769574,22,0.7922615215756682,7.677409965631887,5.414138717132055
"BOGOTA, D.C.",2012-05,2012-05-01,1158.5066881390526,1465.8891861172865,22,0.7903098672878537,8.542159003723903,9.268209871276767
"BOGOTA, D.C.",2012-06,2012-06-01,1161.9463954310856,1455.3345514106427,22,0.7984050088722359,6.195664207112306,9.017560758726928
"BOGOTA, D.C.",2012-07,2012-07-01,1156.1508757493325,1445.8258199953827,22,0.7996474124061671,5.372571636068435,10.41292248664638
"BOGOTA, D.C.",2012-08,2012-08-01,1156.3831389426855,1483.9909075961948,22,0.7792386954821869,5.597869339998063,11.713607374545433
"BOGOTA, D.C.",2012-09,2012-09-01,1169.3345770101134,1525.9161500366881,22,0.7663164040710879,6.5502482741971235,12.05487150051261
"BOGOTA, D.C.",2012-10,2012-10-01,1169.8101635488833,NA,22,NA,6.020767927160042,NA
"BOGOTA, D.C.",2012-11,2012-11-01,1154.1764018015713,1468.0383686965276,22,0.7862031581820067,4.906913044150141,4.457235882573651
"BOGOTA, D.C.",2012-12,2012-12-01,1158.552544588166,1485.730263587903,22,0.7797865958457139,5.285611416329017,2.110724876776149
"BOGOTA, D.C.",2013-01,2013-01-01,1152.3009120358881,1439.3219222383748,22,0.8005859524767585,3.2604768886463686,2.708824393692977
"BOGOTA, D.C.",2013-02,2013-02-01,1126.3045400059984,1412.4799828049433,22,0.7973950453933871,-0.4902411527808681,0.6990845315258509
"BOGOTA, D.C.",2013-03,2013-03-01,1086.929674314234,1380.9762552552993,22,0.7870733983860532,-3.389916462919984,-2.93971478347127
"BOGOTA, D.C.",2013-04,2013-04-01,1120.5217798951414,1395.1451695242588,22,0.8031578393216504,-0.5843037838108245,-1.9330611038222645
"BOGOTA, D.C.",2013-05,2013-05-01,1112.9885626696464,1364.6668338814368,22,0.815575300166153,-3.929034328021308,-6.905184456947822
"BOGOTA, D.C.",2013-06,2013-06-01,1136.3175714772306,1427.1232633935515,22,0.7962294502684967,-2.205680404417165,-1.9384744208640003
"BOGOTA, D.C.",2013-07,2013-07-01,1123.314175768492,1404.8765932739025,22,0.7995820993435006,-2.840174294687803,-2.832237891671563
"BOGOTA, D.C.",2013-08,2013-08-01,1132.2852684810114,1415.5620450836843,22,0.7998838852832294,-2.083900192777588,-4.61113758596764
"BOGOTA, D.C.",2013-09,2013-09-01,1130.6077470794833,1368.5114298243059,22,0.826158790083788,-3.3118690486046654,-10.315423964062354
"BOGOTA, D.C.",2013-10,2013-10-01,1127.0964134626206,NA,22,NA,-3.651340312917173,NA
"BOGOTA, D.C.",2013-11,2013-11-01,1098.8911312642592,1388.5372075331034,22,0.7914020058681511,-4.790019138410417,-5.4154688909128
"BOGOTA, D.C.",2013-12,2013-12-01,1116.1745044203321,1425.4834896587545,22,0.7830146841529062,-3.657843605435962,-4.055027713015558
"BOGOTA, D.C.",2014-01,2014-01-01,1106.799446442891,1401.6224883901891,22,0.789655884955219,-3.948748553240755,-2.619249610924912
"BOGOTA, D.C.",2014-02,2014-02-01,1097.0677384365115,1368.6678985071248,22,0.8015587562425762,-2.5958167201679982,-3.101784438092725
"BOGOTA, D.C.",2014-03,2014-03-01,1094.6608599038846,1361.1245124980478,22,0.8042327133576287,0.7112866427653852,-1.437515140590273
"BOGOTA, D.C.",2014-04,2014-04-01,1088.8260028550917,1340.1904911188983,22,0.8124412238935173,-2.828662290082018,-3.938993561802595
"BOGOTA, D.C.",2014-05,2014-05-01,1106.6848331794326,1312.8921353063968,22,0.842936600363715,-0.5663786405040394,-3.7939442279681157
"BOGOTA, D.C.",2014-06,2014-06-01,1104.4446648481996,1326.1253671285804,22,0.8328357877955541,-2.8049294870619357,-7.077026831221889
"BOGOTA, D.C.",2014-07,2014-07-01,1105.8508394222815,1298.743819239054,22,0.8514772682962294,-1.5546261876614675,-7.5545976453005315
"BOGOTA, D.C.",2014-08,2014-08-01,1104.7024635201149,1279.6877233390499,22,0.8632594056912952,-2.436029658665395,-9.598612947876962
"BOGOTA, D.C.",2014-09,2014-09-01,1107.526530789729,1289.7934914892119,22,0.8586851601421595,-2.041487540606046,-5.7520848287836435
"BOGOTA, D.C.",2014-10,2014-10-01,1112.0965981554948,NA,22,NA,-1.330836930005297,NA
"BOGOTA, D.C.",2014-11,2014-11-01,1110.842759160272,1325.3307298878722,22,0.8381626820456003,1.0876080037394154,-4.5520190098128355
"BOGOTA, D.C.",2014-12,2014-12-01,1110.374034302245,1345.2049670701806,22,0.8254311138328675,-0.5196741275773409,-5.6316697577319275
"BOGOTA, D.C.",2015-01,2015-01-01,1124.3144369768565,1334.6725203898109,22,0.84238973965575,1.5824899976464968,-4.776604867211609
"BOGOTA, D.C.",2015-02,2015-02-01,1142.6629785177927,1318.4828090911735,22,0.8666498877641242,4.156100711361854,-3.666710490593861
"BOGOTA, D.C.",2015-03,2015-03-01,1142.2149448515459,1296.6311072534145,22,0.8809097193966291,4.344184275651974,-4.738244345204667
"BOGOTA, D.C.",2015-04,2015-04-01,1156.4999252335015,1281.4401884437314,22,0.902500121084882,6.215311004784696,-4.383727765902701
"BOGOTA, D.C.",2015-05,2015-05-01,1220.6625139950484,1368.8566479061772,22,0.8917387484381154,10.299018961718787,4.262689302097122
"BOGOTA, D.C.",2015-06,2015-06-01,1250.8474798349641,1397.3149745368073,22,0.8951793279461595,13.255785431938039,5.368241131106011
"BOGOTA, D.C.",2015-07,2015-07-01,1229.9691818279016,1391.282575392095,22,0.8840541839469731,11.223786968454252,7.125250937268013
"BOGOTA, D.C.",2015-08,2015-08-01,1228.7622153184816,1362.2652397463842,22,0.9019992432217113,11.23015073244722,6.452942768870784
"BOGOTA, D.C.",2015-09,2015-09-01,1242.226336865315,1346.1106017299383,22,0.922826352655482,12.16221935374655,4.366366446438019
"BOGOTA, D.C.",2015-10,2015-10-01,1230.5668060218866,NA,22,NA,10.652870268903314,NA
