cod_mun,year,month,food_sipsa,q1,q2,q3,precio_hat_q1,precio_hat_q2,precio_hat_q3
76001,2013,10,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2462.935690965909,2541.3963605412364,2646.513256734692
76001,2013,5,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2455.928761546376,2534.1662144230536,2638.9840582802544
76001,2015,12,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3153.118238789926,3253.5657531822376,3388.139304496761
76001,2015,3,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2890.358385557432,2982.435273750384,3105.794362455364
76001,2015,11,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3126.8422534666765,3226.452705239052,3359.9048102926213
76001,2013,9,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2459.4322262561423,2537.781287482145,2642.7486575074736
76001,2013,4,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2455.928761546376,2534.1662144230536,2638.9840582802544
76001,2015,1,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2889.4825193799907,2981.5315054856114,3104.8532126485593
76001,2014,12,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3026.993509238329,3123.423123054948,3252.61373231689
76001,2015,5,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2915.3205716145194,3008.1926692964107,3132.617131949297
76001,2013,8,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2457.3301474302825,2535.6122436466903,2640.489897971142
76001,2015,9,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3037.503903367629,3134.268342232222,3263.907529998546
76001,2014,7,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2694.1643618105036,2779.991182441267,2894.9768057311207
76001,2016,4,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3153.118238789926,3253.5657531822376,3388.139304496761
76001,2014,10,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2820.2890913621004,2910.1338125685566,3030.5023779109915
76001,2014,6,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2660.6311995884516,2745.3897688756783,2858.944213127743
76001,2014,4,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2612.41685191595,2695.6394777291353,2807.13615709602
76001,2015,2,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2885.5809336804778,2977.505628669805,3100.6608180546114
76001,2014,9,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2769.488853070485,2857.715253211732,2975.9156891163216
76001,2013,12,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2490.9634086440415,2570.3169450139676,2676.630050552441
76001,2014,2,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2575.0465616784395,2657.0786984321608,2766.980432005688
76001,2013,11,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2475.1978174500923,2554.0491162480566,2659.6893540299575
76001,2014,3,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2588.7100740465294,2671.177483362617,2781.6623689918406
76001,2015,4,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2898.5331365468874,2990.8704442215976,3114.578427318874
76001,2015,10,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3079.5454798848277,3177.6492189413184,3309.0827207251696
76001,2015,7,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2948.1655532685813,3042.0839792253923,3167.9102497044714
76001,2013,7,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2455.928761546376,2534.1662144230536,2638.9840582802544
76001,2013,6,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2455.928761546376,2534.1662144230536,2638.9840582802544
76001,2016,1,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3113.704260805052,3212.8961812674593,3345.7875631905513
76001,2013,2,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2455.928761546376,2534.1662144230536,2638.9840582802544
76001,2016,3,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3105.8214652080774,3204.762266884504,3337.3172149293096
76001,2013,1,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2455.928761546376,2534.1662144230536,2638.9840582802544
76001,2014,8,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2739.0087100955157,2826.264117597637,2943.1636758395193
76001,2013,3,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2455.928761546376,2534.1662144230536,2638.9840582802544
76001,2016,2,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,3111.0766622727274,3210.1848764731412,3342.9641137701374
76001,2014,1,Huevo blanco extra,40.83928133261671,45.32593697547327,51.33688893418864,2564.53616754914,2646.2334792548863,2755.686634324032
76001,2015,3,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2828.4384566906124,2894.898045585216,3047.2256550516527
76001,2016,12,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3425.109470446912,3505.58898973306,3690.050750447658
76001,2013,5,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2326.1697534271957,2380.827575359343,2506.1051386432505
76001,2015,11,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3055.9722306991,3127.7781622176594,3292.359768508953
76001,2014,11,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2947.0464878226962,3016.2930000000006,3175.008331215565
76001,2018,7,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3195.1551243745043,3270.231425051335,3442.3088272727273
76001,2019,10,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3479.5723418851135,3561.3315708418895,3748.7264690943525
76001,2015,8,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2924.0510532154553,2992.757243531828,3150.2341388980717
76001,2016,4,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3220.634830310505,3296.309825570086,3469.759455879368
76001,2017,9,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3133.127965236552,3206.7468187885015,3375.4837032584364
76001,2016,10,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3347.3053683923376,3425.9567310061607,3606.228295238095
76001,2021,6,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,4768.526965922556,4880.57265708419,5137.385143732782
76001,2022,11,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,6517.390282104812,6670.528872689939,7021.527664721074
76001,2016,8,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3316.1837275705084,3394.103827515401,3572.69931315427
76001,2020,8,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2801.812163987491,2867.6461170431216,3018.5397481577133
76001,2016,11,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3367.0157409128296,3446.1302365503084,3627.4633172245176
76001,2024,12,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,5204.22993742817,5326.513305954826,5606.790892906336
76001,2021,4,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3848.7095816329256,3939.14239835729,4146.417451033058
76001,2013,6,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2319.714894590076,2374.2210472279266,2499.150979396235
76001,2016,5,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3261.3648896523177,3337.9969158110885,3513.640093078512
76001,2020,12,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3655.063816519319,3740.9465544147847,3937.7926736225895
76001,2023,2,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,6124.0473217178,6267.943564681726,6597.7585856060605
76001,2017,5,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3086.9858102680755,3159.5204653490764,3325.7723305160985
76001,2017,2,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3107.8040455460837,3180.8278650120524,3348.2009113756135
76001,2013,4,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2330.3507415376034,2385.106803808102,2510.609537246431
76001,2015,2,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2815.9321676936916,2882.0978973305955,3033.75197151056
76001,2014,4,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2570.461334032053,2630.859255409888,2769.2933193764566
76001,2020,5,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3757.9381292359226,3846.2380965092407,4048.6245866219006
76001,2021,12,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,4659.601223046152,4769.0874948665305,5020.033706439393
76001,2019,5,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3358.5437386891094,3437.459168377824,3618.33598321281
76001,2023,6,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,6208.767343955003,6354.6542464065715,6689.03192572314
76001,2015,12,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3086.229381498101,3158.746262833676,3324.9573899793386
76001,2018,2,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3123.0880924714293,3196.471039947732,3364.6672197705357
76001,2019,1,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3291.9780069313074,3369.3293470225876,3546.621215977961
76001,2017,4,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3092.953192786768,3165.6280629705684,3332.2013058616467
76001,2014,9,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2783.6578735080907,2849.0652566735116,2998.981175275482
76001,2022,1,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,4962.172731036162,5078.768501026695,5346.009921143251
76001,2013,7,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,2314.6720361235757,2369.059697125257,2493.718042484504
76001,2020,3,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3285.9265767715074,3363.1357268993843,3540.1016916838844
76001,2022,6,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,5900.144405805192,6038.779620123204,6356.536186725207
76001,2020,4,Huevo rojo A,21.02860319600395,23.872402464065722,30.390485881542705,3739.783838756522,3827.6572361396306,4029.0660137396694
