cod_mun,year,month,food_sipsa,m_q1,m_q2,m_q3,precio_hat_q1,precio_hat_q2,precio_hat_q3,codigo_tcac,nombre_del_alimento_en_base_de_referencia,parte_analizada,humedad_g,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,fibra_dietaria_g,cenizas_g,calcio_mg,hierro_mg,sodio_mg,fosforo_mg,zinc_mg,magnesio_mg,potasio_mg,tiamina_mg,riboflavina_mg,niacina_mg,folatos_mcg,vitamina_b12_mcg,vitamina_c_mg,vitamina_a_er,parte_comestible_percent,codigo2,micr_sin_inf_por_alimento,grupos_gabas,subgrupos_gabas,grupo_tcac,pc,precio_q1_100g,precio_q2_100g,precio_q3_100g
76001,2019,7,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1471.748412172482,1624.2349155578302,1850.6782764821176,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,382.27231484999527,421.87919884618964,480.6956562291214
76001,2019,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2228.9437220165537,2459.8825371033777,2802.8280456903217,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,578.9464213030009,638.9305291177603,728.0072845948887
76001,2017,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2391.813264611094,2639.626843654043,3007.631476689349,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,621.2501986002841,685.6173619880631,781.2029809582723
76001,2014,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1975.3114252306923,2179.971630629478,2483.893248143655,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,513.0679026573226,566.2263975660982,645.1670774399104
76001,2020,3,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3052.1752282216844,3368.4083047594677,3838.016296921768,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,792.7727865510868,874.911247989472,996.8873498498098
76001,2018,3,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2178.128424727057,2403.80231345957,2738.9293752186254,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,565.7476427862484,624.364237262226,711.4102273295131
76001,2019,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2271.5859295322152,2506.9428646366428,2856.4493076246126,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,590.0223193590169,651.1539908147123,741.934885097302
76001,2024,3,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,5214.816240080206,5755.118568705219,6557.470727701758,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,1354.497724696157,1494.8359918714855,1703.2391500524045
76001,2014,11,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2323.5561199419276,2564.2976388178095,2921.8002206070296,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,603.5210701147863,666.0513347578725,758.909148209618
76001,2013,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1856.475884424894,2048.8236484135105,2334.461217489274,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,482.20152842205033,532.1619866009117,606.353562984227
76001,2021,1,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3090.967792003293,3411.220130501535,3886.7967504869907,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,802.8487771437125,886.0312027276714,1009.5575975290884
76001,2019,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1856.120532695597,2048.4314790174003,2334.0143736398218,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,482.10922927158356,532.0601244201039,606.2374996467069
76001,2016,4,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1947.6236029896206,2149.415098515865,2449.0766648738204,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,505.87626051678455,558.2896359781466,636.1238090581351
76001,2022,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3140.717034104898,3466.1238459570113,3949.35488941033,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,815.7706582090644,900.2919080407821,1025.8064647819037
76001,2021,10,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2859.989167960127,3156.3100230296827,3596.348248342916,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,742.8543293402927,819.8207852025149,934.1164281410171
76001,2018,8,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1950.1110650947007,2152.1602842886386,2452.2045718199874,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,506.5223545700521,559.0026712438022,636.9362524207759
76001,2016,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2078.5384105329676,2293.893869219317,2613.6980012289064,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,539.8801066319396,595.8165894076147,678.8825977217938
76001,2017,5,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1990.7840317771738,2197.0473397517912,2503.349574088563,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,517.0867615005645,570.6616466887768,650.2206685944318
76001,2016,12,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2270.10529732681,2505.3088254861823,2854.587458251894,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,589.6377395654051,650.729565061346,741.4512878576347
76001,2014,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2223.7615092976366,2454.1634000767654,2796.3115728858074,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,577.6003920253601,637.445038980978,726.3146942560538
76001,2013,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,1767.8479326679114,1951.0130358472131,2223.0142992190267,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,459.1812812124445,506.7566326875878,577.4063114854614
76001,2022,2,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,3928.4133673803112,4335.432674002047,4939.858755696534,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,1020.3671084104703,1126.0864088317005,1283.0801962848138
76001,2024,6,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,4801.774849682723,5299.282338609445,6038.083907118589,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,1247.214246670837,1376.4369710673882,1568.3334823684645
76001,2017,9,Aguacate papelillo,18.450576432392918,30.72313203684749,48.94794981747427,2254.5586591700585,2488.151414406346,2835.0380398383504,C002,"Aguacate Lorena, crudo",Pulpa sin semilla,74.3,179,1.6,13.3,10,6.6,0.8,10,0.4,6,40,0.5,27,456,0.05,0.12,1.4,81,0,8,3,77,C002,0,GRASAS,GRASAS MONOINSATURADAS,FRUTAS Y DERIVADOS,77,585.5996517324827,646.2730946509988,736.3735168411299
