"fecha","year","mes","dominio","pm","pme"
2019-10-01,2019,"10","BOGOTA",22.9449225768387,2.35242470947934
2019-10-01,2019,"10","CALI",23.6622088867383,6.15012228018064
2019-10-01,2019,"10","MEDELLIN",23.1232107862542,3.18791548722382
2019-11-01,2019,"11","BOGOTA",29.0170618531933,3.97359779024969
2019-11-01,2019,"11","CALI",22.42973200085,6.56424027687273
2019-11-01,2019,"11","MEDELLIN",19.6455122211752,2.61249192152753
2019-12-01,2019,"12","BOGOTA",26.7403500522359,4.39995812436195
2019-12-01,2019,"12","CALI",18.4211039437562,3.79939664198816
2019-12-01,2019,"12","MEDELLIN",22.4553683460877,2.48821906530822
2020-01-01,2020,"01","BOGOTA",28.6894296101912,4.25112944899697
2020-01-01,2020,"01","CALI",26.6360161870938,6.03649292384743
2020-01-01,2020,"01","MEDELLIN",16.7522736836602,3.30567352771056
2020-02-01,2020,"02","BOGOTA",25.0094472481078,3.52964803960661
2020-02-01,2020,"02","CALI",20.7793879049813,5.81778275082591
2020-02-01,2020,"02","MEDELLIN",23.0614943831943,2.7090996345057
2020-03-01,2020,"03","BOGOTA",31.5495654172691,8.28689916096296
2020-03-01,2020,"03","CALI",34.2592178294244,9.96272862056199
2020-03-01,2020,"03","MEDELLIN",25.7531018238446,6.31153790030482
2020-04-01,2020,"04","BOGOTA",51.3606534252822,23.4848934820226
2020-04-01,2020,"04","CALI",53.0024401137981,27.4114746438032
2020-04-01,2020,"04","MEDELLIN",43.4597364298306,13.925403417032
2020-05-01,2020,"05","BOGOTA",57.0671506389935,26.9733326582606
2020-05-01,2020,"05","CALI",53.9386982153158,28.3753159593772
2020-05-01,2020,"05","MEDELLIN",47.3547363536263,18.6687673124434
2020-06-01,2020,"06","BOGOTA",53.5549549988986,23.8898318834462
2020-06-01,2020,"06","CALI",47.3841834915176,23.1193556720218
2020-06-01,2020,"06","MEDELLIN",44.8844599076425,16.1955714745388
