"deciles","rate","gap","severity","model","ciudad","trimestre"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q2"
"Decil 1",38.7218045112782,0.170799883126359,0.109627780910363,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q2"
"Decil 1",46.2406015037594,0.367819504629325,0.297724504102133,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 2",54.5112781954887,0.311109719118969,0.178544077382303,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 3",51.1278195488722,0.240540116725271,0.113884987746112,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 4",45.1127819548872,0.144503410742065,0.0472350942630004,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 5",48.4962406015038,0.0862310681284397,0.0163735739587319,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 6",25.9398496240602,0.0115030924597918,0.000679366733820165,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q2"
"Decil 1",7.78210116731517,0.0554656595625277,0.0490415005790953,"CoCA","BOGOTÁ D.C.","2019Q3"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q3"
