"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 1",88.0769230769231,0.296504755825452,0.182512193850257,"CoNA","BOGOTÁ D.C.",17897
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17897
"Decil 1",30.4511278195489,0.185037320454002,0.144302809116443,"CoCA","BOGOTÁ D.C.",17928
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17928
"Decil 1",100,0.477683503034693,0.32034379110677,"CoNA","BOGOTÁ D.C.",17928
"Decil 2",23.3082706766917,0.00790235299790056,0.000320680841012887,"CoNA","BOGOTÁ D.C.",17928
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17928
"Decil 1",20.4460966542751,0.136369492848419,0.125591227295674,"CoCA","BOGOTÁ D.C.",17956
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17956
"Decil 1",97.7695167286245,0.376423521409192,0.234146154077344,"CoNA","BOGOTÁ D.C.",17956
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17956
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17956
