ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok,v_item,k_city,v_sc,Q_sc,kb,delta,lambda_shrunk,reversion_reason,lambda_final,method_label
MEDELLÍN,PESCADO DE RÍO,011303,5,TRUE,0.3002882828908673,2.981982481160294e-4,0.005188532911556016,0.07922031362893608,203,TRUE,0.005188532911556016,4,0.013229273003132667,1.530209306406083,4,0.9827091980845372,0.31238685958932966,low_R2,1,BASE_lowR2
MEDELLÍN,PESCADO ENLATADO,011303,5,TRUE,0.3391346569988094,3.476737028278695e-4,0.006049386476955557,0.08602342171459557,203,TRUE,0.006049386476955557,4,0.013229273003132667,1.530209306406083,4,0.9827091980845372,0.3505615487374374,low_R2,1,BASE_lowR2
MEDELLÍN,CAMARONES O VARIEDAD DISPONIBLE,011303,5,TRUE,0.3434144937375158,2.837981756288661e-4,0.03691247503468521,0.03750163668738849,83,TRUE,0.03691247503468521,4,0.013229273003132667,1.530209306406083,4,0.9827091980845372,0.35476738366686433,low_R2,1,BASE_lowR2
MEDELLÍN,HUEVOS,011405,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,LECHE PASTEURIZADA,011401,4,TRUE,1.0226015490618285,2.850089482291073e-4,0.004744007728906423,0.5218124288125573,203,TRUE,0.004744007728906423,4,0.00415507070081835,1.160863528091656,4,0.9928414139986828,1.0224397539291064,none,1.0224397539291064,D_city
MEDELLÍN,LECHE LARGA VIDA,011401,4,TRUE,0.8360542723608326,1.9366494714191692e-4,0.00322357600267681,0.5177107823987683,203,TRUE,0.00322357600267681,4,0.00415507070081835,1.160863528091656,4,0.9928414139986828,0.8372278919516861,none,0.8372278919516861,D_city
MEDELLÍN,LECHE EN POLVO ENTERA,011401,4,TRUE,0.30890607483527766,2.063017687586536e-4,0.0034339173964860314,0.1209302670637574,203,TRUE,0.0034339173964860314,4,0.00415507070081835,1.160863528091656,4,0.9928414139986828,0.3138533301335572,low_R2,1,BASE_lowR2
MEDELLÍN,LECHE EN POLVO LACTANTE,011401,4,TRUE,0.1901458877915463,3.1353226244219075e-4,0.005218781675204137,0.03315951755347889,203,TRUE,0.005218781675204137,4,0.00415507070081835,1.160863528091656,4,0.9928414139986828,0.19594329810231093,low_R2,1,BASE_lowR2
MEDELLÍN,QUESO CAMPESINO,011402,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,MANTEQUILLA,NA,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,ACEITE DE SOYA O DE MAÍZ,011501,2,TRUE,1.1487886816113102,1.3805314695752952e-4,0.00184367613595291,0.7799100449964339,203,TRUE,0.00184367613595291,2,0.0015661668837361044,0.042614317392487666,2,0.9231216947676155,1.1373500599312718,none,1.1373500599312718,D_city
MEDELLÍN,ACEITE DE GIRASOL,011501,2,TRUE,0.8569047673161128,9.649375935005302e-5,0.0012886576315192988,0.7382764436312618,203,TRUE,0.0012886576315192988,2,0.0015661668837361044,0.042614317392487666,2,0.9407919430280259,0.8653771580052783,none,0.8653771580052783,D_city
MEDELLÍN,MANTECA VEGETAL,011505,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,PANELA,011802,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,AZÚCAR REFINADA,011801,2,TRUE,1.0123319320867403,2.0610161553218212e-5,1.9234626715948776e-4,0.9634718003654568,203,TRUE,1.9234626715948776e-4,2,5.515303347049932e-4,0.020600107797601526,2,0.4415402867070759,1.0054450448292316,none,1.0054450448292316,D_city
MEDELLÍN,AZÚCAR NATURAL O MORENA,011801,2,TRUE,0.8570033872827417,9.758427463352761e-5,9.107144022504985e-4,0.7996945988642225,203,TRUE,9.107144022504985e-4,2,5.515303347049932e-4,0.020600107797601526,2,0.9573610540086267,0.8631006121293422,none,0.8631006121293422,D_city
MEDELLÍN,CAFÉ MOLIDO,012101,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
MEDELLÍN,SAL,011902,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,ARROZ PARA SECO,011101,3,TRUE,1.1132607123535918,1.0477649019518836e-4,6.133875624819899e-4,0.9091113506576293,203,TRUE,6.133875624819899e-4,3,0.0011270173379165237,0.15107099039614239,3,0.9925398163144279,1.1124157666350754,none,1.1124157666350754,D_city
BOGOTÁ D.C.,ARROZ PARA SOPA,011101,3,TRUE,0.6852559290995301,2.6828857793264406e-4,0.0015706278818205849,0.5967848408489121,203,TRUE,0.0015706278818205849,3,0.0011270173379165237,0.15107099039614239,3,0.9925398163144279,0.6876039776823923,none,0.6876039776823923,D_city
BOGOTÁ D.C.,ARROZ INTEGRAL,011101,3,TRUE,0.8020627087527483,2.0447315539696428e-4,0.0011970365694469961,0.72681080724857,203,TRUE,0.0011970365694469961,3,0.0011270173379165237,0.15107099039614239,3,0.9925398163144279,0.8035393573036774,none,0.8035393573036774,D_city
BOGOTÁ D.C.,HARINA PRECOCIDA,011106,2,TRUE,0.171585148108864,2.626480731938516e-4,0.0032999030823431356,0.042299622550764734,203,TRUE,0.0032999030823431356,1,0.0032999030823431356,0.686271166833813,1,0.9952145569524191,0.17554948020235916,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,HARINA DE TRIGO,011105,2,TRUE,0.2670976983710199,4.151329459641744e-4,0.00521571878030984,0.06341909684826164,203,TRUE,0.00521571878030984,2,0.00437302764183092,1.277193184700774,2,0.99038331674328,0.27414578766390685,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,FECULA DE MAÍZ,011105,2,TRUE,0.13973992248406794,2.80988882762256e-4,0.0035303365033520005,0.026652708413336713,203,TRUE,0.0035303365033520005,2,0.00437302764183092,1.277193184700774,2,0.9952522294234376,0.1438242399682894,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,PASTA PARA SECO,011102,2,TRUE,0.9769794367730926,1.1638863123466607e-5,1.5316474241841094e-4,0.9686032110956162,203,TRUE,1.5316474241841094e-4,2,3.583377648798103e-4,0.004414130323672346,2,0.7757835463151541,0.9821410258216575,none,0.9821410258216575,D_city
BOGOTÁ D.C.,PASTA PARA SOPA,011102,2,TRUE,0.937676778064767,4.282072243848769e-5,5.635107873412096e-4,0.8853761243616363,203,TRUE,5.635107873412096e-4,2,3.583377648798103e-4,0.004414130323672346,2,0.8733027297850058,0.9455729601549643,none,0.9455729601549643,D_city
BOGOTÁ D.C.,AVENA HOJUELAS,011103,2,TRUE,0.8234593426247498,3.0332594631356555e-4,0.006939920680371444,0.3260104945408358,203,TRUE,0.006939920680371444,2,0.006076025704591307,0.26731875083028306,2,0.8178810376428596,0.8556107439597779,none,0.8556107439597779,D_city
BOGOTÁ D.C.,AVENA MOLIDA,011103,2,TRUE,0.5140451182220744,2.2780872555189544e-4,0.00521213072881117,0.20062548775313951,203,TRUE,0.00521213072881117,2,0.006076025704591307,0.26731875083028306,2,0.9784055421324858,0.5245390504421408,none,0.5245390504421408,D_city
BOGOTÁ D.C.,CEBADA,NA,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,PAN CORRIENTE,011108,3,TRUE,1.061489341613086,7.710445549872569e-5,0.002518161833250655,0.6889691303651935,203,TRUE,0.002518161833250655,3,0.0044564809288616634,0.043840244380885976,3,0.8983472607920804,1.0552387816060242,none,1.0552387816060242,D_city
BOGOTÁ D.C.,PAN FRANCÉS,011108,3,TRUE,0.9613642494081651,1.8127320137688747e-4,0.0059202189308759515,0.43593172340654995,203,TRUE,0.0059202189308759515,3,0.0044564809288616634,0.043840244380885976,3,0.8983472607920804,0.9652916792871792,none,0.9652916792871792,D_city
BOGOTÁ D.C.,PAN INTEGRAL,011108,3,TRUE,0.8036162327862083,1.5098586883961133e-4,0.004931062022458382,0.39333055735717276,203,TRUE,0.004931062022458382,3,0.0044564809288616634,0.043840244380885976,3,0.8983472607920804,0.8235791806594607,none,0.8235791806594607,D_city
BOGOTÁ D.C.,PAPA,011705,2,TRUE,1.026445925420796,3.794612512433002e-4,1.5953431226965143e-4,0.9703210337783008,203,TRUE,1.5953431226965143e-4,2,0.004700385662976862,0.14944210238478836,2,0.8142620106058394,1.0215339124054694,none,1.0215339124054694,D_city
BOGOTÁ D.C.,PAPA CRIOLLA,011705,2,TRUE,0.614328228394369,0.02198079717372212,0.009241237013684072,0.16817177798932495,203,TRUE,0.009241237013684072,2,0.004700385662976862,0.14944210238478836,2,0.9415052170064694,0.6368880149811709,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,YUCA,011706,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
