alimento_sipsa,n_test,RMSE_Q1,RMSE_Q2,RMSE_Q3,MAPE_Q1,MAPE_Q2,MAPE_Q3
Pechuga de pollo,19,162.68120620328702,149.6622575983116,175.38683445714486,3.355330289965456,2.6038736744126965,3.05633975099419
Piña gold,19,164.4240534576673,106.95408640966075,46.5640819490225,21.859185270630306,13.39149222359535,5.516476479199354
Piña manzana,19,51.24644374960749,48.04383640127258,69.16371261050027,5.0091282037859,5.292818962429675,8.791674038277042
Pollo entero congelado sin vísceras,19,281.4261333822179,196.10019309007802,169.00773851000304,6.4293085374074534,4.408812324060396,3.5429069845608314
Queso campesino,19,250.16281372585087,174.96774259697355,179.8119151166307,2.52916469115123,1.6664285128563132,2.1103534170421363
Repollo blanco,19,202.05602882734064,182.40997269677794,346.2316939836224,21.36047287395646,24.21059853592071,42.071726568868215
Sal yodada,19,30.173493248474344,13.971833383000764,15.121263617099265,5.178111733099722,2.2788341565429433,1.9877269195577374
Tilapia roja entera congelada,19,1599.871884703357,1335.636212485083,1228.4036487468577,10.947071625345064,8.48197684163441,7.8579574575334
Tomate de árbol,19,236.33826531435253,265.4739414716108,383.21971527320534,18.57198707624358,19.090095624108613,25.990849946029453
Tomate larga vida,19,207.75012958187884,175.41099265464484,237.42099468445738,15.104661917209178,14.172400728976712,20.480084374150252
Zanahoria,19,573.3274077616196,466.13981275965193,469.0395952395173,40.836043497201096,35.84347588964482,37.87470303319112
