"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","2007Q1",2007-01-01,"31 a 50 años",1,2,5326.36371219737,18012.2733417427,6004.09111391423,2191493.25657869,180122.733417427
"BOGOTA","2007Q1",2007-01-01,"9 a 13 años",1,3,5031.06901843348,18012.2733417427,6004.09111391423,2191493.25657869,180122.733417427
"BOGOTA","2007Q2",2007-04-01,"31 a 50 años",0,1,7638.35956897106,17969.9939892096,5989.99799640322,2186349.26868717,179699.939892096
"BOGOTA","2007Q2",2007-04-01,"31 a 50 años",1,2,5311.3524505626,17969.9939892096,5989.99799640322,2186349.26868717,179699.939892096
"BOGOTA","2007Q2",2007-04-01,"9 a 13 años",1,3,5020.28196967599,17969.9939892096,5989.99799640322,2186349.26868717,179699.939892096
"BOGOTA","2007Q3",2007-07-01,"31 a 50 años",0,1,7672.55709531152,18057.2267372358,6019.07557907859,2196962.58636369,180572.267372358
"BOGOTA","2007Q3",2007-07-01,"31 a 50 años",1,2,5339.2363500581,18057.2267372358,6019.07557907859,2196962.58636369,180572.267372358
"BOGOTA","2007Q3",2007-07-01,"9 a 13 años",1,3,5045.43329186616,18057.2267372358,6019.07557907859,2196962.58636369,180572.267372358
"BOGOTA","2007Q4",2007-10-01,"31 a 50 años",0,1,7693.62063786433,18112.5916171626,6037.53053905421,2203698.64675479,181125.916171626
"BOGOTA","2007Q4",2007-10-01,"31 a 50 años",1,2,5357.13280264532,18112.5916171626,6037.53053905421,2203698.64675479,181125.916171626
"BOGOTA","2007Q4",2007-10-01,"9 a 13 años",1,3,5061.83817665298,18112.5916171626,6037.53053905421,2203698.64675479,181125.916171626
"BOGOTA","2008Q1",2008-01-01,"31 a 50 años",0,1,7774.68069809759,18300.4029300918,6100.1343100306,2226549.02316117,183004.029300918
"BOGOTA","2008Q1",2008-01-01,"31 a 50 años",1,2,5411.27477313097,18300.4029300918,6100.1343100306,2226549.02316117,183004.029300918
"BOGOTA","2008Q1",2008-01-01,"9 a 13 años",1,3,5114.44745886324,18300.4029300918,6100.1343100306,2226549.02316117,183004.029300918
"BOGOTA","2008Q2",2008-04-01,"31 a 50 años",0,1,7762.32961064812,18281.4443591792,6093.81478639308,2224242.39703347,182814.443591792
"BOGOTA","2008Q2",2008-04-01,"31 a 50 años",1,2,5407.71579673561,18281.4443591792,6093.81478639308,2224242.39703347,182814.443591792
"BOGOTA","2008Q2",2008-04-01,"9 a 13 años",1,3,5111.39895179549,18281.4443591792,6093.81478639308,2224242.39703347,182814.443591792
"BOGOTA","2008Q3",2008-07-01,"31 a 50 años",0,1,7690.9675729578,18112.8657762632,6037.62192542106,2203732.00277869,181128.657762632
"BOGOTA","2008Q3",2008-07-01,"31 a 50 años",1,2,5359.44826510554,18112.8657762632,6037.62192542106,2203732.00277869,181128.657762632
"BOGOTA","2008Q3",2008-07-01,"9 a 13 años",1,3,5062.44993819984,18112.8657762632,6037.62192542106,2203732.00277869,181128.657762632
"BOGOTA","2008Q4",2008-10-01,"31 a 50 años",0,1,7677.40868157735,18089.4642163627,6029.82140545423,2200884.81299079,180894.642163627
"BOGOTA","2008Q4",2008-10-01,"31 a 50 años",1,2,5355.3195926034,18089.4642163627,6029.82140545423,2200884.81299079,180894.642163627
"BOGOTA","2008Q4",2008-10-01,"9 a 13 años",1,3,5056.73594218195,18089.4642163627,6029.82140545423,2200884.81299079,180894.642163627
"BOGOTA","2009Q1",2009-01-01,"31 a 50 años",0,1,7684.12407016605,18101.2050199529,6033.73500665096,2202313.2774276,181012.050199529
"BOGOTA","2009Q1",2009-01-01,"31 a 50 años",1,2,5356.82453115482,18101.2050199529,6033.73500665096,2202313.2774276,181012.050199529
"BOGOTA","2009Q1",2009-01-01,"9 a 13 años",1,3,5060.25641863201,18101.2050199529,6033.73500665096,2202313.2774276,181012.050199529
"BOGOTA","2009Q2",2009-04-01,"31 a 50 años",0,1,7682.12494188689,18100.1448635107,6033.38162117025,2202184.29172714,181001.448635107
"BOGOTA","2009Q2",2009-04-01,"31 a 50 años",1,2,5356.93637895348,18100.1448635107,6033.38162117025,2202184.29172714,181001.448635107
"BOGOTA","2009Q2",2009-04-01,"9 a 13 años",1,3,5061.08354267038,18100.1448635107,6033.38162117025,2202184.29172714,181001.448635107
"BOGOTA","2009Q3",2009-07-01,"31 a 50 años",0,1,7652.66762955388,18034.2174920487,6011.40583068291,2194163.12819926,180342.174920487
"BOGOTA","2009Q3",2009-07-01,"31 a 50 años",1,2,5338.45112427863,18034.2174920487,6011.40583068291,2194163.12819926,180342.174920487
"BOGOTA","2009Q3",2009-07-01,"9 a 13 años",1,3,5043.09873821624,18034.2174920487,6011.40583068291,2194163.12819926,180342.174920487
"BOGOTA","2009Q4",2009-10-01,"31 a 50 años",0,1,7590.71940316331,17891.7119955204,5963.9039985068,2176824.95945498,178917.119955204
"BOGOTA","2009Q4",2009-10-01,"31 a 50 años",1,2,5297.11507849984,17891.7119955204,5963.9039985068,2176824.95945498,178917.119955204
