"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"BOGOTA","2013Q3",2013-07-01,"9 a 13 años",1,3,3481.60783533459,10338.4015449657,3446.1338483219,1257838.85463749,103384.015449657
"BOGOTA","2013Q4",2013-10-01,"31 a 50 años",0,1,3546.27383171601,10209.9205203187,3403.30684010623,1242206.99663877,102099.205203187
"BOGOTA","2013Q4",2013-10-01,"31 a 50 años",1,2,3225.00311862464,10209.9205203187,3403.30684010623,1242206.99663877,102099.205203187
"BOGOTA","2013Q4",2013-10-01,"9 a 13 años",1,3,3438.64356997804,10209.9205203187,3403.30684010623,1242206.99663877,102099.205203187
"BOGOTA","2014Q1",2014-01-01,"31 a 50 años",0,1,3529.8865877977,10177.8366273019,3392.61220910062,1238303.45632173,101778.366273019
"BOGOTA","2014Q1",2014-01-01,"31 a 50 años",1,2,3219.42973605243,10177.8366273019,3392.61220910062,1238303.45632173,101778.366273019
"BOGOTA","2014Q1",2014-01-01,"9 a 13 años",1,3,3428.52030345174,10177.8366273019,3392.61220910062,1238303.45632173,101778.366273019
"BOGOTA","2014Q2",2014-04-01,"31 a 50 años",0,1,3579.14502793395,10244.6738055698,3414.89126852326,1246435.31301099,102446.738055698
"BOGOTA","2014Q2",2014-04-01,"31 a 50 años",1,2,3230.76720100991,10244.6738055698,3414.89126852326,1246435.31301099,102446.738055698
"BOGOTA","2014Q2",2014-04-01,"9 a 13 años",1,3,3434.76157662593,10244.6738055698,3414.89126852326,1246435.31301099,102446.738055698
"BOGOTA","2014Q3",2014-07-01,"31 a 50 años",0,1,3581.3901591325,10220.1612798106,3406.72042660354,1243452.95571029,102201.612798106
"BOGOTA","2014Q3",2014-07-01,"31 a 50 años",1,2,3203.02547467402,10220.1612798106,3406.72042660354,1243452.95571029,102201.612798106
"BOGOTA","2014Q3",2014-07-01,"9 a 13 años",1,3,3435.74564600411,10220.1612798106,3406.72042660354,1243452.95571029,102201.612798106
"BOGOTA","2014Q4",2014-10-01,"31 a 50 años",0,1,3600.02231901778,10233.8930860595,3411.29769535315,1245123.6588039,102338.930860595
"BOGOTA","2014Q4",2014-10-01,"31 a 50 años",1,2,3203.04561033743,10233.8930860595,3411.29769535315,1245123.6588039,102338.930860595
"BOGOTA","2014Q4",2014-10-01,"9 a 13 años",1,3,3430.82515670425,10233.8930860595,3411.29769535315,1245123.6588039,102338.930860595
"BOGOTA","2015Q1",2015-01-01,"31 a 50 años",0,1,3612.01473730364,10169.8230452689,3389.94101508963,1237328.47050771,101698.230452689
"BOGOTA","2015Q1",2015-01-01,"31 a 50 años",1,2,3149.38615795182,10169.8230452689,3389.94101508963,1237328.47050771,101698.230452689
"BOGOTA","2015Q1",2015-01-01,"9 a 13 años",1,3,3408.42215001343,10169.8230452689,3389.94101508963,1237328.47050771,101698.230452689
