"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",1,2,3350.51815737718,10551.2819499098,3517.09398330327,1283739.30390569,105512.819499098,"MEDELLIN",2007-01-01,2
"9 a 13 años",1,3,3519.04116195707,10551.2819499098,3517.09398330327,1283739.30390569,105512.819499098,"MEDELLIN",2007-01-01,3
"31 a 50 años",0,1,3713.9280438067,10660.7407403269,3553.58024677562,1297056.7900731,106607.407403269,"MEDELLIN",2007-02-01,1
"31 a 50 años",1,2,3370.1499285848,10660.7407403269,3553.58024677562,1297056.7900731,106607.407403269,"MEDELLIN",2007-02-01,2
"9 a 13 años",1,3,3576.66276793536,10660.7407403269,3553.58024677562,1297056.7900731,106607.407403269,"MEDELLIN",2007-02-01,3
"31 a 50 años",0,1,3635.30663447144,10411.9236998022,3470.64123326739,1266784.0501426,104119.236998022,"MEDELLIN",2007-03-01,1
"31 a 50 años",1,2,3284.52479734234,10411.9236998022,3470.64123326739,1266784.0501426,104119.236998022,"MEDELLIN",2007-03-01,2
"9 a 13 años",1,3,3492.09226798841,10411.9236998022,3470.64123326739,1266784.0501426,104119.236998022,"MEDELLIN",2007-03-01,3
"31 a 50 años",0,1,3600.54372534806,10369.6986644445,3456.56622148149,1261646.67084075,103696.986644445,"MEDELLIN",2007-04-01,1
"31 a 50 años",1,2,3286.7311321696,10369.6986644445,3456.56622148149,1261646.67084075,103696.986644445,"MEDELLIN",2007-04-01,2
"9 a 13 años",1,3,3482.42380692682,10369.6986644445,3456.56622148149,1261646.67084075,103696.986644445,"MEDELLIN",2007-04-01,3
"31 a 50 años",0,1,3558.88045516106,10266.1635256996,3422.05450856652,1249049.89562678,102661.635256996,"MEDELLIN",2007-05-01,1
"31 a 50 años",1,2,3247.84663492196,10266.1635256996,3422.05450856652,1249049.89562678,102661.635256996,"MEDELLIN",2007-05-01,2
"9 a 13 años",1,3,3459.43643561653,10266.1635256996,3422.05450856652,1249049.89562678,102661.635256996,"MEDELLIN",2007-05-01,3
"31 a 50 años",0,1,3468.97818139999,10119.4441367565,3373.1480455855,1231199.03663871,101194.441367565,"MEDELLIN",2007-06-01,1
"31 a 50 años",1,2,3210.33584318941,10119.4441367565,3373.1480455855,1231199.03663871,101194.441367565,"MEDELLIN",2007-06-01,2
"9 a 13 años",1,3,3440.13011216709,10119.4441367565,3373.1480455855,1231199.03663871,101194.441367565,"MEDELLIN",2007-06-01,3
"31 a 50 años",0,1,3432.07012708029,10037.2670422733,3345.75568075776,1221200.82347658,100372.670422733,"MEDELLIN",2007-07-01,1
"31 a 50 años",1,2,3182.16854970893,10037.2670422733,3345.75568075776,1221200.82347658,100372.670422733,"MEDELLIN",2007-07-01,2
"9 a 13 años",1,3,3423.02836548405,10037.2670422733,3345.75568075776,1221200.82347658,100372.670422733,"MEDELLIN",2007-07-01,3
"31 a 50 años",0,1,3606.73913745262,10374.9099778488,3458.30332594961,1262280.71397161,103749.099778488,"MEDELLIN",2007-08-01,1
"31 a 50 años",1,2,3287.49562958757,10374.9099778488,3458.30332594961,1262280.71397161,103749.099778488,"MEDELLIN",2007-08-01,2
"9 a 13 años",1,3,3480.67521080864,10374.9099778488,3458.30332594961,1262280.71397161,103749.099778488,"MEDELLIN",2007-08-01,3
"31 a 50 años",0,1,3775.44770028878,10645.2315679802,3548.41052266008,1295169.84077093,106452.315679802,"MEDELLIN",2007-09-01,1
"31 a 50 años",1,2,3365.74188212586,10645.2315679802,3548.41052266008,1295169.84077093,106452.315679802,"MEDELLIN",2007-09-01,2
"9 a 13 años",1,3,3504.04198556559,10645.2315679802,3548.41052266008,1295169.84077093,106452.315679802,"MEDELLIN",2007-09-01,3
"31 a 50 años",0,1,3827.31930792073,10702.6953397192,3567.56511323975,1302161.26633251,107026.953397192,"MEDELLIN",2007-10-01,1
"31 a 50 años",1,2,3380.93395899876,10702.6953397192,3567.56511323975,1302161.26633251,107026.953397192,"MEDELLIN",2007-10-01,2
"9 a 13 años",1,3,3494.44207279975,10702.6953397192,3567.56511323975,1302161.26633251,107026.953397192,"MEDELLIN",2007-10-01,3
"31 a 50 años",0,1,3839.54117850174,10730.6264798455,3576.87549328183,1305559.55504787,107306.264798455,"MEDELLIN",2007-11-01,1
"31 a 50 años",1,2,3382.60977118364,10730.6264798455,3576.87549328183,1305559.55504787,107306.264798455,"MEDELLIN",2007-11-01,2
"9 a 13 años",1,3,3508.47553016012,10730.6264798455,3576.87549328183,1305559.55504787,107306.264798455,"MEDELLIN",2007-11-01,3
"31 a 50 años",0,1,3942.72326993071,11070.6244140768,3690.2081380256,1346925.97037934,110706.244140768,"MEDELLIN",2007-12-01,1
