"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,8043.86062300953,18920.0939349834,6306.69797832781,2301944.76208965,189200.939349834,"BOGOTA",2019-01-01,1
"31 a 50 años",1,2,5598.55958712552,18920.0939349834,6306.69797832781,2301944.76208965,189200.939349834,"BOGOTA",2019-01-01,2
"9 a 13 años",1,3,5277.6737248484,18920.0939349834,6306.69797832781,2301944.76208965,189200.939349834,"BOGOTA",2019-01-01,3
"31 a 50 años",0,1,8047.15011510458,18928.8173298559,6309.60577661863,2303006.1084658,189288.173298559,"BOGOTA",2019-02-01,1
"31 a 50 años",1,2,5601.5706550432,18928.8173298559,6309.60577661863,2303006.1084658,189288.173298559,"BOGOTA",2019-02-01,2
"9 a 13 años",1,3,5280.09655970812,18928.8173298559,6309.60577661863,2303006.1084658,189288.173298559,"BOGOTA",2019-02-01,3
"31 a 50 años",0,1,8110.94147384266,19078.3342278746,6359.44474262486,2321197.33105807,190783.342278746,"BOGOTA",2019-03-01,1
"31 a 50 años",1,2,5646.1835894928,19078.3342278746,6359.44474262486,2321197.33105807,190783.342278746,"BOGOTA",2019-03-01,2
"9 a 13 años",1,3,5321.20916453911,19078.3342278746,6359.44474262486,2321197.33105807,190783.342278746,"BOGOTA",2019-03-01,3
"31 a 50 años",0,1,8405.14642352851,19763.6815814681,6587.89386048937,2404581.25907862,197636.815814681,"BOGOTA",2019-04-01,1
"31 a 50 años",1,2,5850.55321263684,19763.6815814681,6587.89386048937,2404581.25907862,197636.815814681,"BOGOTA",2019-04-01,2
"9 a 13 años",1,3,5507.98194530275,19763.6815814681,6587.89386048937,2404581.25907862,197636.815814681,"BOGOTA",2019-04-01,3
"31 a 50 años",0,1,8500.34517290409,19992.2484289295,6664.08280964318,2432390.22551976,199922.484289295,"BOGOTA",2019-05-01,1
"31 a 50 años",1,2,5919.62575900987,19992.2484289295,6664.08280964318,2432390.22551976,199922.484289295,"BOGOTA",2019-05-01,2
"9 a 13 años",1,3,5572.27749701558,19992.2484289295,6664.08280964318,2432390.22551976,199922.484289295,"BOGOTA",2019-05-01,3
