"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"MEDELLIN","2007Q3",2007-07-01,"31 a 50 años",1,2,1303.64949917643,4352.50392340804,1450.83464113601,529554.644014644,43525.0392340803
"MEDELLIN","2007Q3",2007-07-01,"9 a 13 años",1,3,1232.03543741101,4352.50392340804,1450.83464113601,529554.644014644,43525.0392340803
"MEDELLIN","2007Q4",2007-10-01,"31 a 50 años",0,1,1814.96248404653,4348.05635011287,1449.35211670429,529013.522597066,43480.5635011287
"MEDELLIN","2007Q4",2007-10-01,"31 a 50 años",1,2,1302.31737477153,4348.05635011287,1449.35211670429,529013.522597066,43480.5635011287
"MEDELLIN","2007Q4",2007-10-01,"9 a 13 años",1,3,1230.77649129481,4348.05635011287,1449.35211670429,529013.522597066,43480.5635011287
"MEDELLIN","2008Q1",2008-01-01,"31 a 50 años",0,1,1816.80196237293,4352.46313840095,1450.82104613365,529549.681838782,43524.6313840095
"MEDELLIN","2008Q1",2008-01-01,"31 a 50 años",1,2,1303.63728336802,4352.46313840095,1450.82104613365,529549.681838782,43524.6313840095
"MEDELLIN","2008Q1",2008-01-01,"9 a 13 años",1,3,1232.02389266,4352.46313840095,1450.82104613365,529549.681838782,43524.6313840095
"MEDELLIN","2008Q2",2008-04-01,"31 a 50 años",0,1,1814.49811302385,4346.94386906068,1448.98128968689,528878.170735716,43469.4386906068
"MEDELLIN","2008Q2",2008-04-01,"31 a 50 años",1,2,1301.98416763558,4346.94386906068,1448.98128968689,528878.170735716,43469.4386906068
"MEDELLIN","2008Q2",2008-04-01,"9 a 13 años",1,3,1230.46158840124,4346.94386906068,1448.98128968689,528878.170735716,43469.4386906068
"MEDELLIN","2008Q3",2008-07-01,"31 a 50 años",0,1,1827.21301541048,4377.40461552193,1459.13487184064,532584.228221835,43774.0461552193
"MEDELLIN","2008Q3",2008-07-01,"31 a 50 años",1,2,1311.10768310336,4377.40461552193,1459.13487184064,532584.228221835,43774.0461552193
