"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,1830.70456535584,4385.76922693683,1461.92307564561,533601.922610648,43857.6922693683,"CALI",2010-04-01,1
"31 a 50 años",1,2,1313.61302753813,4385.76922693683,1461.92307564561,533601.922610648,43857.6922693683,"CALI",2010-04-01,2
"9 a 13 años",1,3,1241.45163404286,4385.76922693683,1461.92307564561,533601.922610648,43857.6922693683,"CALI",2010-04-01,3
"31 a 50 años",0,1,1824.322090333,4370.47890479716,1456.82630159905,531741.600083654,43704.7890479715,"CALI",2010-05-01,1
"31 a 50 años",1,2,1309.03331407884,4370.47890479716,1456.82630159905,531741.600083654,43704.7890479715,"CALI",2010-05-01,2
"9 a 13 años",1,3,1237.12350038531,4370.47890479716,1456.82630159905,531741.600083654,43704.7890479715,"CALI",2010-05-01,3
"31 a 50 años",0,1,1814.17265487227,4346.16417780253,1448.72139260084,528783.308299307,43461.6417780253,"CALI",2010-06-01,1
"31 a 50 años",1,2,1301.75063674484,4346.16417780253,1448.72139260084,528783.308299307,43461.6417780253,"CALI",2010-06-01,2
"9 a 13 años",1,3,1230.24088618541,4346.16417780253,1448.72139260084,528783.308299307,43461.6417780253,"CALI",2010-06-01,3
"31 a 50 años",0,1,1824.67037942631,4371.31329152259,1457.10443050753,531843.117135249,43713.1329152259,"CALI",2010-07-01,1
"31 a 50 años",1,2,1309.28322719917,4371.31329152259,1457.10443050753,531843.117135249,43713.1329152259,"CALI",2010-07-01,2
"9 a 13 años",1,3,1237.35968489711,4371.31329152259,1457.10443050753,531843.117135249,43713.1329152259,"CALI",2010-07-01,3
"31 a 50 años",0,1,1813.40086373341,4344.31521872388,1448.10507290796,528558.351611406,43443.1521872388,"CALI",2010-08-01,1
"31 a 50 años",1,2,1301.19684182144,4344.31521872388,1448.10507290796,528558.351611406,43443.1521872388,"CALI",2010-08-01,2
