alimento_sipsa,fecha,sample,obs_level,fit_level,lwr_level,upr_level,mape_food
Café molido,2014-08-01,train,7596.609999999999,NA,NA,NA,2.0131600433235874
Café molido,2014-09-01,train,7550.959999999998,NA,NA,NA,2.0131600433235874
Café molido,2014-10-01,train,7559.560000000002,NA,NA,NA,2.0131600433235874
Café molido,2014-11-01,train,7573.869999999995,NA,NA,NA,2.0131600433235874
Café molido,2014-12-01,train,7616.489999999998,NA,NA,NA,2.0131600433235874
Café molido,2015-01-01,train,7633.6,NA,NA,NA,2.0131600433235874
Café molido,2015-02-01,train,7579.480000000002,NA,NA,NA,2.0131600433235874
Café molido,2015-03-01,train,7548.700000000003,NA,NA,NA,2.0131600433235874
Café molido,2015-04-01,train,7602.879999999994,NA,NA,NA,2.0131600433235874
Café molido,2015-05-01,train,7605.659999999999,NA,NA,NA,2.0131600433235874
Café molido,2015-06-01,train,7595.900000000002,NA,NA,NA,2.0131600433235874
Café molido,2015-07-01,train,7663.560000000005,NA,NA,NA,2.0131600433235874
Café molido,2015-08-01,train,7698.390000000006,NA,NA,NA,2.0131600433235874
Café molido,2015-09-01,train,7656.949999999999,NA,NA,NA,2.0131600433235874
Café molido,2015-10-01,train,7584.099999999997,NA,NA,NA,2.0131600433235874
Café molido,2015-11-01,train,7606.890000000001,NA,NA,NA,2.0131600433235874
Café molido,2015-12-01,train,7603.090000000006,NA,NA,NA,2.0131600433235874
Café molido,2016-01-01,train,7660.639999999999,NA,NA,NA,2.0131600433235874
Café molido,2016-02-01,train,7666.729999999993,NA,NA,NA,2.0131600433235874
Café molido,2016-03-01,train,7673.560000000004,NA,NA,NA,2.0131600433235874
Café molido,2016-04-01,train,7640.300000000001,NA,NA,NA,2.0131600433235874
Café molido,2016-05-01,train,7656.029999999997,NA,NA,NA,2.0131600433235874
Café molido,2016-06-01,train,7664.16,NA,NA,NA,2.0131600433235874
Café molido,2016-07-01,train,7551.419999999995,NA,NA,NA,2.0131600433235874
Café molido,2016-08-01,train,7646.130000000001,NA,NA,NA,2.0131600433235874
Café molido,2016-09-01,test,7618.969999999994,7612.479055986998,7485.843955999705,7741.256392526783,2.0131600433235874
Café molido,2016-10-01,test,7594.579999999996,7565.562104634664,7440.938932598333,7692.2725045261195,2.0131600433235874
Café molido,2016-11-01,test,7674.61,7627.264974569496,7500.8068422756905,7755.855098735577,2.0131600433235874
