deciles,rate,gap,severity,model,ciudad,fecha,year,mes
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-03-01,2019,03
Decil 1,38.00258598246515,0.18959994075014694,0.14756444579932368,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 1,74.71615273829984,0.3409814151325079,0.2271032318543577,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 1,100,0.5454308949101045,0.35327387465447835,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 2,61.97954646848763,0.0783717007382764,0.013547202284429904,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 3,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 9,0,0,0,CoRD,BOGOTÁ D.C.,2019-04-01,2019,04
Decil 1,20.165161774912246,0.09880561986079456,0.07870918750886823,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 1,73.74303560969504,0.22833196076598794,0.13114411123964168,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-05-01,2019,05
