decile_groups,food_per_capita_avg,threshold_1,threshold_2,threshold_3,ratio_1,ratio_2,ratio_3,ciudad,fecha,year,mes
Decil 5,283110.38012700464,74395.555326555,166647.395917111,233899.937498794,0.26277932760070755,0.5886304692973539,0.8261793064382358,CALI,2023-09-01,2023,09
Decil 6,337051.20475779346,74395.555326555,166647.395917111,233899.937498794,0.22072478684660388,0.4944275337537054,0.6939596541922334,CALI,2023-09-01,2023,09
Decil 7,391892.889015211,74395.555326555,166647.395917111,233899.937498794,0.1898364512647929,0.42523710071871884,0.5968465977695129,CALI,2023-09-01,2023,09
Decil 8,544089.4814614379,74395.555326555,166647.395917111,233899.937498794,0.13673404441991174,0.30628674435957104,0.4298924082680903,CALI,2023-09-01,2023,09
Decil 9,632069.123472302,74395.555326555,166647.395917111,233899.937498794,0.11770161294679204,0.2636537519846335,0.37005436401299513,CALI,2023-09-01,2023,09
Decil 10,1426719.4607934356,74395.555326555,166647.395917111,233899.937498794,0.052144487666259,0.11680459999083076,0.16394248759228125,CALI,2023-09-01,2023,09
Decil 1,70312.48639535392,73419.8926605972,166891.659030833,232058.755250099,1.044194230990082,2.3735707210300103,3.300391824366389,CALI,2023-10-01,2023,10
Decil 2,134716.05713358978,73419.8926605972,166891.659030833,232058.755250099,0.5449973390164702,1.2388401396378206,1.7225768047826722,CALI,2023-10-01,2023,10
Decil 3,167486.55632066197,73419.8926605972,166891.659030833,232058.755250099,0.4383629007216011,0.9964480893099861,1.3855366087162846,CALI,2023-10-01,2023,10
Decil 4,216915.58125654387,73419.8926605972,166891.659030833,232058.755250099,0.3384721938151793,0.7693852975616902,1.0698113704226966,CALI,2023-10-01,2023,10
Decil 5,262219.9601485771,73419.8926605972,166891.659030833,232058.755250099,0.2799935314573176,0.6364567324938578,0.8849774636477391,CALI,2023-10-01,2023,10
Decil 6,334325.3170533014,73419.8926605972,166891.659030833,232058.755250099,0.21960614083225974,0.49918941377755577,0.6941106264264814,CALI,2023-10-01,2023,10
Decil 7,371673.9747640166,73419.8926605972,166891.659030833,232058.755250099,0.19753842788484985,0.44902702465728445,0.6243610556736933,CALI,2023-10-01,2023,10
Decil 8,514529.0026376337,73419.8926605972,166891.659030833,232058.755250099,0.14269339975827267,0.3243581181532918,0.451012001384751,CALI,2023-10-01,2023,10
Decil 9,644231.7193840987,73419.8926605972,166891.659030833,232058.755250099,0.11396503843491036,0.2590553274687957,0.36021007390314913,CALI,2023-10-01,2023,10
Decil 10,1519351.4198630883,73419.8926605972,166891.659030833,232058.755250099,0.0483231803391563,0.10984401426094821,0.1527354055265307,CALI,2023-10-01,2023,10
Decil 1,54773.1194799745,71473.6755101182,162864.341259733,226784.070726809,1.3049042338413748,2.9734355612021974,4.14042641499948,CALI,2023-11-01,2023,11
Decil 2,144822.7780350556,71473.6755101182,162864.341259733,226784.070726809,0.493525096534313,1.1245768343175289,1.5659420003109867,CALI,2023-11-01,2023,11
Decil 3,180749.35374262172,71473.6755101182,162864.341259733,226784.070726809,0.3954297707304295,0.9010507528101256,1.2546881415119109,CALI,2023-11-01,2023,11
Decil 4,237131.355281797,71473.6755101182,162864.341259733,226784.070726809,0.30140963612838917,0.6868106542308241,0.9563647559695692,CALI,2023-11-01,2023,11
Decil 5,284533.7507350072,71473.6755101182,162864.341259733,226784.070726809,0.2511957731744916,0.5723902378505961,0.7970375048337172,CALI,2023-11-01,2023,11
Decil 6,331526.0225330002,71473.6755101182,162864.341259733,226784.070726809,0.215589940614703,0.4912565837679346,0.6840611454693118,CALI,2023-11-01,2023,11
Decil 7,369723.69345587026,71473.6755101182,162864.341259733,226784.070726809,0.19331645976497097,0.4405028515684572,0.6133879833532434,CALI,2023-11-01,2023,11
Decil 8,460423.14673693525,71473.6755101182,162864.341259733,226784.070726809,0.15523475745444004,0.35372752741465935,0.4925557551440459,CALI,2023-11-01,2023,11
Decil 9,533344.4317941247,71473.6755101182,162864.341259733,226784.070726809,0.13401035287775842,0.3053642853490968,0.42521128413008263,CALI,2023-11-01,2023,11
Decil 10,1354990.4142202889,71473.6755101182,162864.341259733,226784.070726809,0.05274847317000894,0.12019593611180718,0.16736950191437985,CALI,2023-11-01,2023,11
Decil 1,51683.18733111489,69997.4110573939,160446.525478947,222497.812656533,1.3543555394319358,3.104423967721379,4.305032722364288,CALI,2023-12-01,2023,12
Decil 2,131605.77388815777,69997.4110573939,160446.525478947,222497.812656533,0.5318718851718439,1.2191450324611055,1.6906386861538294,CALI,2023-12-01,2023,12
Decil 3,172539.7973445576,69997.4110573939,160446.525478947,222497.812656533,0.4056884969999753,0.929910246495418,1.2895448822871312,CALI,2023-12-01,2023,12
Decil 4,221674.7378027692,69997.4110573939,160446.525478947,222497.812656533,0.3157662968329424,0.7237925578227195,1.003712984447042,CALI,2023-12-01,2023,12
Decil 5,270120.72228959046,69997.4110573939,160446.525478947,222497.812656533,0.25913380678121845,0.5939808102058006,0.8236976814314824,CALI,2023-12-01,2023,12
Decil 6,340562.70009761484,69997.4110573939,160446.525478947,222497.812656533,0.2055345786174783,0.4711218387479267,0.653324079803099,CALI,2023-12-01,2023,12
Decil 7,385216.4241511717,69997.4110573939,160446.525478947,222497.812656533,0.18170931110124366,0.4165100847724563,0.5775917087305121,CALI,2023-12-01,2023,12
Decil 8,485298.8337209709,69997.4110573939,160446.525478947,222497.812656533,0.1442356877734428,0.33061386990927305,0.4584758857765175,CALI,2023-12-01,2023,12
Decil 9,557962.1454422593,69997.4110573939,160446.525478947,222497.812656533,0.1254518996121352,0.28755808398394445,0.3987686520922918,CALI,2023-12-01,2023,12
Decil 10,1438329.9277623321,69997.4110573939,160446.525478947,222497.812656533,0.04866575443249776,0.11155057152190397,0.1546917771520487,CALI,2023-12-01,2023,12
Decil 1,69763.54382776644,68613.0938716067,163837.185832751,228407.13840373,0.9835092959296909,2.348464209863469,3.2740185757711204,CALI,2024-01-01,2024,01
Decil 2,139708.5330320382,68613.0938716067,163837.185832751,228407.13840373,0.49111598541996165,1.1727070800691866,1.6348832347366449,CALI,2024-01-01,2024,01
Decil 3,169006.44857611987,68613.0938716067,163837.185832751,228407.13840373,0.405979147243625,0.9694138135738611,1.3514699606320422,CALI,2024-01-01,2024,01
Decil 4,218275.41338938384,68613.0938716067,163837.185832751,228407.13840373,0.31434183450248276,0.7505984448210853,1.0464171610399018,CALI,2024-01-01,2024,01
Decil 5,268289.10104791424,68613.0938716067,163837.185832751,228407.13840373,0.2557431278557714,0.6106740273563741,0.8513470637144457,CALI,2024-01-01,2024,01
Decil 6,328523.6802891954,68613.0938716067,163837.185832751,228407.13840373,0.20885281027902597,0.4987073859897318,0.6952531951506996,CALI,2024-01-01,2024,01
