alimento_sipsa,n_test,RMSE,MAPE,method
Lulo,19,181.099043926639,9.253462099325152,M1 (Margins Q2)
Mango común,12,695.5333812885506,27.196011541769295,M1 (Margins Q2)
Manzana roja importada,19,101.86560725666156,2.64752074428098,M1 (Margins Q2)
Manzana royal gala importada,19,197.05071027816143,4.727757299025933,M1 (Margins Q2)
Manzana verde importada,19,585.9449649208434,14.419747912609218,M1 (Margins Q2)
Maracuyá,19,253.14415985518113,12.727074980574276,M1 (Margins Q2)
Margarina,19,305.47101065133586,8.256863796427448,M1 (Margins Q2)
Mora de Castilla,19,333.23426058289925,12.50958942780724,M1 (Margins Q2)
Naranja Sweet,16,51.144300911347486,5.328580076068469,M1 (Margins Q2)
Naranja Valencia,16,215.40915513430508,21.528302832159103,M1 (Margins Q2)
Panela redonda morena,19,217.88341414235603,8.533770240054457,M1 (Margins Q2)
Papa Betina,16,181.4375924359663,24.546901467544608,M1 (Margins Q2)
Papa capira,19,133.9664470465092,18.45711355171027,M1 (Margins Q2)
Papa criolla limpia,19,300.90086313661396,20.05210410337412,M1 (Margins Q2)
Papa criolla sucia,19,309.97128777558214,19.97581055484863,M1 (Margins Q2)
Papa nevada,16,289.8489075064798,22.363913481969984,M1 (Margins Q2)
Papa parda pastusa,19,149.34976244037878,20.91440455110343,M1 (Margins Q2)
Papa suprema,19,163.60160269900408,23.110051720798833,M1 (Margins Q2)
Papa única,19,239.08240759393405,33.63237702633427,M1 (Margins Q2)
Pastas alimenticias,19,518.8322839186699,16.817864277669788,M1 (Margins Q2)
Pechuga de pollo,19,149.6622575983116,2.6038736744126965,M1 (Margins Q2)
Piña gold,19,106.95408640966076,13.39149222359535,M1 (Margins Q2)
Piña manzana,19,48.04383640127258,5.292818962429675,M1 (Margins Q2)
Pollo entero congelado sin vísceras,19,196.100193090078,4.408812324060396,M1 (Margins Q2)
Queso campesino,19,174.96774259697355,1.6664285128563132,M1 (Margins Q2)
Repollo blanco,19,182.4099726967779,24.21059853592071,M1 (Margins Q2)
Sal yodada,19,13.971833383000764,2.2788341565429433,M1 (Margins Q2)
Tilapia roja entera congelada,19,1335.636212485083,8.48197684163441,M1 (Margins Q2)
Tomate de árbol,19,265.4739414716108,19.090095624108613,M1 (Margins Q2)
Tomate larga vida,19,175.41099265464484,14.172400728976712,M1 (Margins Q2)
Zanahoria,19,466.13981275965193,35.84347588964482,M1 (Margins Q2)
Aguacate papelillo,19,409.146265634344,15.518147743955591,M2 (SARIMAX)
Ahuyama,19,265.7539897246774,31.03097372928307,M2 (SARIMAX)
Arracacha amarilla,19,355.0774970122315,21.701271378495857,M2 (SARIMAX)
Arroz de primera,19,81.4842283697975,4.512673735551348,M2 (SARIMAX)
Arveja verde en vaina pastusa,19,1740.803740284961,19.16357419465419,M2 (SARIMAX)
Arveja verde seca importada,19,59.477643827592594,4.0330611679126225,M2 (SARIMAX)
Avena en hojuelas,19,127.57786939404303,1.7504910909767586,M2 (SARIMAX)
Avena molida,19,357.51291448158855,4.89299987475859,M2 (SARIMAX)
Azúcar morena,19,173.48072599703693,10.760861271815044,M2 (SARIMAX)
Azúcar sulfitada,19,34.55266115763348,1.996187356599528,M2 (SARIMAX)
Banano criollo,19,177.553143774475,19.204472997229267,M2 (SARIMAX)
Bocachico importado congelado,19,3030.6846684143698,35.6137126568989,M2 (SARIMAX)
Café molido,19,146.95442459513092,1.5986479312127415,M2 (SARIMAX)
"Carne de cerdo, costilla",19,673.9593569210273,10.697142455558728,M2 (SARIMAX)
"Carne de cerdo, espinazo",19,762.8527360507389,12.058777307452484,M2 (SARIMAX)
"Carne de res, cadera",19,642.7138070504836,6.673649384385103,M2 (SARIMAX)
"Carne de res, costilla",19,2349.9451891796043,57.83097830913988,M2 (SARIMAX)
"Carne de res, falda",19,570.6181467138607,5.360692792394743,M2 (SARIMAX)
"Carne de res, lomo de brazo",13,677.7616457664136,6.971864091776897,M2 (SARIMAX)
"Carne de res, lomo fino",13,522.9841976301383,4.068651256040258,M2 (SARIMAX)
"Carne de res, pecho",19,644.5855949907054,6.691839677422038,M2 (SARIMAX)
"Carne de res, punta de anca",19,475.1373988693792,4.372964328015341,M2 (SARIMAX)
Cebolla cabezona blanca bogotana,19,408.5649993922193,41.89563161970305,M2 (SARIMAX)
