deciles,rate,gap,severity,model,ciudad,fecha,escenario
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q1
Decil 1,55.55555555555556,0.31567612497120595,0.23047253194288564,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q2
Decil 1,100,0.6854180260989947,0.5108333559054916,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 2,100,0.2515190494668993,0.07438338731861847,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 3,53.16455696202531,0.04038151172731704,0.0039533120588887425,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q2
Decil 1,59.25925925925925,0.331241574109457,0.24124478204928246,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-04-01,q3
Decil 1,100,0.6977552778405349,0.5247423745596622,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 2,100,0.2808729180181216,0.08915592801880384,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 3,70.88607594936708,0.06317926382561016,0.007598918845159265,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-04-01,q3
Decil 1,30.864197530864196,0.17598155181007968,0.13475676293676275,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q1
Decil 1,100,0.5342307403941409,0.3436707726058883,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 2,96.47058823529412,0.16851990639254688,0.03798598201256224,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 3,3.571428571428571,3.450381298089975e-4,4.7153637604326175e-6,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q1
Decil 1,32.098765432098766,0.18174524775584094,0.138257959956878,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q2
Decil 1,100,0.5553311055153959,0.36150114711324083,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 2,100,0.20602394661461637,0.05123853321356705,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 3,34.523809523809526,0.009858353966331895,3.7133107182307095e-4,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2022-05-01,q2
Decil 1,33.33333333333333,0.19434226847384561,0.14629612348065912,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 2,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 3,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
Decil 10,0,0,0,CoCA,BOGOTÁ D.C.,2022-05-01,q3
