ciudad,fecha,model,escenario,n_deciles,sum_rate,incidence
BOGOTÁ D.C.,2023-03-01,CoNA,q3,10,273.6263736263736,27.36263736263736
BOGOTÁ D.C.,2023-04-01,CoCA,q1,10,39.50617283950617,3.950617283950617
BOGOTÁ D.C.,2023-04-01,CoCA,q2,10,44.44444444444444,4.444444444444445
BOGOTÁ D.C.,2023-04-01,CoCA,q3,10,48.148148148148145,4.814814814814815
BOGOTÁ D.C.,2023-04-01,CoNA,q1,10,245.1219512195122,24.512195121951223
BOGOTÁ D.C.,2023-04-01,CoNA,q2,10,265.8536585365854,26.58536585365854
BOGOTÁ D.C.,2023-04-01,CoNA,q3,10,284.1463414634146,28.414634146341463
BOGOTÁ D.C.,2023-05-01,CoCA,q1,10,43.20987654320987,4.320987654320987
BOGOTÁ D.C.,2023-05-01,CoCA,q2,10,43.20987654320987,4.320987654320987
BOGOTÁ D.C.,2023-05-01,CoCA,q3,10,45.67901234567901,4.567901234567901
BOGOTÁ D.C.,2023-05-01,CoNA,q1,10,238.0952380952381,23.80952380952381
BOGOTÁ D.C.,2023-05-01,CoNA,q2,10,255.95238095238096,25.5952380952381
BOGOTÁ D.C.,2023-05-01,CoNA,q3,10,272.6190476190476,27.26190476190476
BOGOTÁ D.C.,2023-06-01,CoCA,q1,10,34.5679012345679,3.45679012345679
BOGOTÁ D.C.,2023-06-01,CoCA,q2,10,37.03703703703704,3.703703703703704
BOGOTÁ D.C.,2023-06-01,CoCA,q3,10,37.03703703703704,3.703703703703704
BOGOTÁ D.C.,2023-06-01,CoNA,q1,10,229.41176470588235,22.941176470588236
BOGOTÁ D.C.,2023-06-01,CoNA,q2,10,249.41176470588235,24.941176470588236
BOGOTÁ D.C.,2023-06-01,CoNA,q3,10,264.70588235294116,26.470588235294116
BOGOTÁ D.C.,2023-07-01,CoCA,q1,10,41.46341463414634,4.146341463414634
BOGOTÁ D.C.,2023-07-01,CoCA,q2,10,43.90243902439025,4.390243902439025
BOGOTÁ D.C.,2023-07-01,CoCA,q3,10,43.90243902439025,4.390243902439025
BOGOTÁ D.C.,2023-07-01,CoNA,q1,10,211.11111111111111,21.111111111111114
BOGOTÁ D.C.,2023-07-01,CoNA,q2,10,262.1447028423773,26.21447028423773
BOGOTÁ D.C.,2023-07-01,CoNA,q3,10,305.297157622739,30.529715762273902
BOGOTÁ D.C.,2023-08-01,CoCA,q1,10,34.177215189873415,3.4177215189873418
BOGOTÁ D.C.,2023-08-01,CoCA,q2,10,35.44303797468354,3.5443037974683542
BOGOTÁ D.C.,2023-08-01,CoCA,q3,10,37.9746835443038,3.7974683544303804
BOGOTÁ D.C.,2023-08-01,CoNA,q1,10,231.0344827586207,23.10344827586207
BOGOTÁ D.C.,2023-08-01,CoNA,q2,10,271.75118323191344,27.175118323191345
BOGOTÁ D.C.,2023-08-01,CoNA,q3,10,289.1818796484111,28.91818796484111
BOGOTÁ D.C.,2023-09-01,CoCA,q1,10,34.11764705882353,3.4117647058823533
BOGOTÁ D.C.,2023-09-01,CoCA,q2,10,34.11764705882353,3.4117647058823533
BOGOTÁ D.C.,2023-09-01,CoCA,q3,10,38.82352941176471,3.882352941176471
BOGOTÁ D.C.,2023-09-01,CoNA,q1,10,215,21.5
BOGOTÁ D.C.,2023-09-01,CoNA,q2,10,226.25,22.625
BOGOTÁ D.C.,2023-09-01,CoNA,q3,10,252.5,25.25
BOGOTÁ D.C.,2023-10-01,CoCA,q1,10,50.72463768115942,5.072463768115942
BOGOTÁ D.C.,2023-10-01,CoCA,q2,10,50.72463768115942,5.072463768115942
BOGOTÁ D.C.,2023-10-01,CoCA,q3,10,50.72463768115942,5.072463768115942
BOGOTÁ D.C.,2023-10-01,CoNA,q1,10,240,24
BOGOTÁ D.C.,2023-10-01,CoNA,q2,10,253.33333333333334,25.333333333333336
BOGOTÁ D.C.,2023-10-01,CoNA,q3,10,264,26.400000000000002
BOGOTÁ D.C.,2023-11-01,CoCA,q1,10,28.735632183908045,2.873563218390805
BOGOTÁ D.C.,2023-11-01,CoCA,q2,10,28.735632183908045,2.873563218390805
BOGOTÁ D.C.,2023-11-01,CoCA,q3,10,28.735632183908045,2.873563218390805
BOGOTÁ D.C.,2023-11-01,CoNA,q1,10,215.47619047619048,21.54761904761905
BOGOTÁ D.C.,2023-11-01,CoNA,q2,10,236.9047619047619,23.69047619047619
BOGOTÁ D.C.,2023-11-01,CoNA,q3,10,256.1101549053356,25.61101549053356
BOGOTÁ D.C.,2023-12-01,CoCA,q1,10,50.588235294117645,5.0588235294117645
BOGOTÁ D.C.,2023-12-01,CoCA,q2,10,52.94117647058824,5.294117647058824
BOGOTÁ D.C.,2023-12-01,CoCA,q3,10,54.11764705882353,5.411764705882353
BOGOTÁ D.C.,2023-12-01,CoNA,q1,10,245,24.5
BOGOTÁ D.C.,2023-12-01,CoNA,q2,10,262.5,26.25
BOGOTÁ D.C.,2023-12-01,CoNA,q3,10,270,27
CALI,2022-01-01,CoCA,q1,10,45.88235294117647,4.588235294117648
CALI,2022-01-01,CoCA,q2,10,47.05882352941176,4.705882352941177
CALI,2022-01-01,CoCA,q3,10,47.05882352941176,4.705882352941177
CALI,2022-01-01,CoNA,q1,10,206.31313131313132,20.631313131313135
CALI,2022-01-01,CoNA,q2,10,246.75324675324674,24.675324675324674
CALI,2022-01-01,CoNA,q3,10,266.66666666666663,26.666666666666664
CALI,2022-02-01,CoCA,q1,10,38.297872340425535,3.829787234042554
CALI,2022-02-01,CoCA,q2,10,39.361702127659576,3.936170212765958
CALI,2022-02-01,CoCA,q3,10,40.42553191489361,4.042553191489361
CALI,2022-02-01,CoNA,q1,10,137.36263736263737,13.736263736263737
CALI,2022-02-01,CoNA,q2,10,150.54945054945054,15.054945054945055
CALI,2022-02-01,CoNA,q3,10,184.9277038750723,18.492770387507232
