fecha,year,mes,dominio,pm,pme
2021-11-01,2021,11,BOGOTA,31.87674200311855,6.523586398667897
2021-12-01,2021,12,BOGOTA,34.58443493489599,6.694014843447461
2022-01-01,2022,01,BOGOTA,31.476293159173334,9.625405255668566
2022-02-01,2022,02,BOGOTA,31.024762924890574,11.009556976986095
2022-03-01,2022,03,BOGOTA,27.250129098581155,8.07449107285637
2022-04-01,2022,04,BOGOTA,30.16043390111908,9.290530037519583
2022-05-01,2022,05,BOGOTA,23.406054411614317,6.946978686251158
2022-06-01,2022,06,BOGOTA,29.23414387311416,8.53903753559941
2022-07-01,2022,07,BOGOTA,30.823963841816553,8.112193792111896
2022-08-01,2022,08,BOGOTA,27.57824620480119,7.20097475913018
2022-09-01,2022,09,BOGOTA,29.372758402001885,7.350191520708627
2022-10-01,2022,10,BOGOTA,28.579153240313815,8.794114069958558
2022-11-01,2022,11,BOGOTA,25.13646238657922,6.2611103263903845
2022-12-01,2022,12,BOGOTA,22.911774603335054,6.360400998134024
2023-01-01,2023,01,BOGOTA,30.9649847467026,8.281885320115151
2023-02-01,2023,02,BOGOTA,30.081559218169424,8.262845127106964
2023-03-01,2023,03,BOGOTA,25.796884114553436,7.39820314400674
2023-04-01,2023,04,BOGOTA,23.33058713076854,4.077496292878796
2023-05-01,2023,05,BOGOTA,23.540505726025362,5.94311676724779
2023-06-01,2023,06,BOGOTA,22.76354821420869,5.6796883946518095
2023-07-01,2023,07,BOGOTA,23.61827936452133,6.261007936965707
2023-08-01,2023,08,BOGOTA,23.17750106667208,4.21723272315707
2023-09-01,2023,09,BOGOTA,21.51977116740874,4.508093321498098
2023-10-01,2023,10,BOGOTA,21.814726472509268,4.893159378265956
2023-11-01,2023,11,BOGOTA,20.69656087089263,4.368264648394207
2023-12-01,2023,12,BOGOTA,22.56650175830504,6.9892893340758
2024-01-01,2024,01,BOGOTA,21.004878603822252,4.91462333940034
2024-02-01,2024,02,BOGOTA,21.01771185245377,5.369696957143879
2024-03-01,2024,03,BOGOTA,19.478673311652273,3.8902209260209855
2024-04-01,2024,04,BOGOTA,18.861064650601868,4.361550176945479
2024-05-01,2024,05,BOGOTA,21.34445574066845,3.8465091272076473
2024-06-01,2024,06,BOGOTA,18.845059272352046,3.5103464822287656
2024-07-01,2024,07,BOGOTA,20.15026455850475,5.311337103564799
2024-08-01,2024,08,BOGOTA,20.488923635226467,3.8103632831019203
2024-09-01,2024,09,BOGOTA,17.21568001147772,3.431934452426316
2024-10-01,2024,10,BOGOTA,16.28454151339893,3.476942197224495
2024-11-01,2024,11,BOGOTA,16.88709612281701,2.834151397871889
2024-12-01,2024,12,BOGOTA,23.085143139182094,5.545993595842234
2019-01-01,2019,01,CALI,25.086162045751063,5.026676323857171
2019-02-01,2019,02,CALI,24.37993693961014,6.108442608609283
2019-03-01,2019,03,CALI,19.229308937809375,5.5025859412848925
2019-04-01,2019,04,CALI,21.827083108458943,6.26924320354639
2019-05-01,2019,05,CALI,23.83841720808455,3.7621559019558286
2019-06-01,2019,06,CALI,21.10501810078628,4.999969731225698
2019-07-01,2019,07,CALI,20.301137810625676,3.053910779907982
2019-08-01,2019,08,CALI,23.403400164681532,3.2292666366003573
2019-09-01,2019,09,CALI,19.40092402720419,2.5113266531371736
2019-10-01,2019,10,CALI,23.662208886738313,6.150122280180641
2019-11-01,2019,11,CALI,22.429732000849963,6.5642402768727335
2019-12-01,2019,12,CALI,18.421103943756247,3.7993966419881593
2020-01-01,2020,01,CALI,26.636016187093787,6.036492923847429
2020-02-01,2020,02,CALI,20.779387904981338,5.817782750825906
2020-03-01,2020,03,CALI,34.25921782942435,9.962728620561991
2020-04-01,2020,04,CALI,53.00244011379805,27.411474643803214
2020-05-01,2020,05,CALI,53.93869821531575,28.375315959377232
2020-06-01,2020,06,CALI,47.38418349151763,23.119355672021776
2020-07-01,2020,07,CALI,48.91170996498662,18.24579628714274
2020-08-01,2020,08,CALI,34.89075382985817,12.024148663840819
2020-09-01,2020,09,CALI,29.129151029605516,7.509055286222932
2020-10-01,2020,10,CALI,31.102759993077438,8.360476101304215
2020-11-01,2020,11,CALI,27.763611177102536,6.191992589305328
2020-12-01,2020,12,CALI,27.617159008482282,6.574645368808015
2021-01-01,2021,01,CALI,30.744460570784266,8.402203133216265
2021-02-01,2021,02,CALI,29.284277765797274,9.419605441173001
2021-03-01,2021,03,CALI,26.091222820354297,4.990669932474312
2021-04-01,2021,04,CALI,33.296169484613245,10.189700525553318
2021-05-01,2021,05,CALI,36.077326074119036,11.844553144317546
2021-06-01,2021,06,CALI,31.963359033775934,11.475744904018233
2021-07-01,2021,07,CALI,28.844783626895605,6.736555771019025
2021-08-01,2021,08,CALI,28.211950142611446,6.20687550552248
2021-09-01,2021,09,CALI,26.60203252206395,7.569580994390412
2021-10-01,2021,10,CALI,28.243280147938115,8.0023825325641
2021-11-01,2021,11,CALI,27.111338104015303,6.139149584514826
2021-12-01,2021,12,CALI,24.632402777349757,5.396314674844677
2022-01-01,2022,01,CALI,30.041386210049147,11.342436123180399
2022-02-01,2022,02,CALI,28.142414172361153,8.756020667372235
2022-03-01,2022,03,CALI,24.735684316494797,6.593190198243209
2022-04-01,2022,04,CALI,20.597890193446716,4.514540648919276
2022-05-01,2022,05,CALI,22.71110141548787,7.477020740118951
2022-06-01,2022,06,CALI,23.538552930187944,6.271408005551764
2022-07-01,2022,07,CALI,25.706066466714404,7.157588067316058
2022-08-01,2022,08,CALI,22.207348501608905,5.9408435979715275
2022-09-01,2022,09,CALI,25.61088196870371,5.9006176689475
2022-10-01,2022,10,CALI,19.12075918666095,5.215657340062559
2022-11-01,2022,11,CALI,23.854176913801396,5.522197301621115
2022-12-01,2022,12,CALI,21.75839053310656,5.687161562805283
2023-01-01,2023,01,CALI,28.52015813815773,9.647590112308496
2023-02-01,2023,02,CALI,24.258661707800588,6.7521037073093755
2023-03-01,2023,03,CALI,27.38483053558445,8.846720553766325
2023-04-01,2023,04,CALI,24.86191575293344,5.606132493986038
2023-05-01,2023,05,CALI,21.86938389368684,4.494377580902278
2023-06-01,2023,06,CALI,23.28566045451634,5.928586913588919
2023-07-01,2023,07,CALI,25.73710522652806,8.9942850761118
2023-08-01,2023,08,CALI,20.912839489051837,5.849816508976083
2023-09-01,2023,09,CALI,24.018217091990113,7.561628348191819
2023-10-01,2023,10,CALI,26.083345110214385,5.552521844069535
2023-11-01,2023,11,CALI,22.801218190725994,8.858944113330159
2023-12-01,2023,12,CALI,25.167644274132495,7.991914647698153
2024-01-01,2024,01,CALI,27.87969889720989,6.106870391697777
2024-02-01,2024,02,CALI,27.559759797633365,9.961819215079922
2024-03-01,2024,03,CALI,27.645489597696777,8.603725203020524
2024-04-01,2024,04,CALI,23.98522043832149,9.037067852960757
2024-05-01,2024,05,CALI,22.011274513516675,6.366373360547825
2024-06-01,2024,06,CALI,23.595599355794132,10.202123425930663
2024-07-01,2024,07,CALI,23.95417605209927,8.496854089496384
2024-08-01,2024,08,CALI,24.28577473284725,6.360264580270555
