alimento_sipsa,term,estimate,std.error,statistic,p.value,ci_lo,ci_hi
Arracacha amarilla,mes_factor4,0.008546653237901936,0.17112008671309178,0.04994535359388678,0.9603649246689283,-0.32684871671975796,0.34394202319556183
Arracacha amarilla,mes_factor5,0.01480164451055722,0.17111771142413343,0.0864997806911394,0.9314146066536864,-0.3205890698807443,0.35019235890185874
Arracacha amarilla,mes_factor6,0.010161037986270084,0.1711154120354382,0.05938119696760991,0.9528851931412228,-0.32522516960318876,0.34554724557572897
Arracacha amarilla,mes_factor7,0.032753879396255875,0.17111544956035477,0.19141392247403782,0.8489765115944101,-0.3026324017420394,0.36814016053455123
Arracacha amarilla,mes_factor8,0.06942985548641835,0.17111536843260963,0.4057488004869762,0.6866583461809834,-0.2659562666414965,0.4048159776143332
Arracacha amarilla,mes_factor9,0.0940467413571628,0.17111552001228303,0.5496096517160567,0.5850337985181626,-0.24133967786691196,0.42943316058123754
Arracacha amarilla,mes_factor10,0.12896571019102912,0.1711259445948365,0.7536303773011898,0.45460556335585056,-0.20644114121485038,0.46437256159690865
Arracacha amarilla,mes_factor11,0.15150692337502994,0.17118612392699956,0.8850420810955355,0.38037045116031,-0.18401787952188917,0.487031726271949
Arracacha amarilla,mes_factor12,0.10977065296130468,0.17125198214538015,0.6409890944685102,0.5244570231912646,-0.22588323204364041,0.44542453796624976
Arroz de primera,(Intercept),1.1858209175128451,0.3048330649380758,3.8900665771074876,2.9663885523049157e-4,0.5883481102342165,1.7832937247914737
Arroz de primera,ln_wholesale,0.8573626303086188,0.04289878543579293,19.985708723428605,1.7083961244188983e-25,0.7732810108544647,0.941444249762773
Arroz de primera,mes_factor2,0.031041429368121647,0.02653927909395735,1.1696410161792743,0.24769098047543892,-0.02097555765603476,0.08305841639227805
Arroz de primera,mes_factor3,0.029543450084636578,0.026540294972705956,1.113154549149475,0.2709650993078438,-0.022475528061867093,0.08156242823114025
Arroz de primera,mes_factor4,0.04953063529323812,0.02783457108937384,1.779464649704877,0.08124198076266391,-0.0050251240419346074,0.10408639462841085
Arroz de primera,mes_factor5,0.036032432400484926,0.02783610200011316,1.2944496467335278,0.20145667063980624,-0.018526327519736867,0.09059119232070673
Arroz de primera,mes_factor6,0.030559515802108052,0.027841613181246175,1.0976201559575085,0.27762830793372506,-0.02401004603313445,0.08512907763735056
Arroz de primera,mes_factor7,0.022017673268864234,0.02784882205751808,0.7906141675719578,0.43290328245472987,-0.032566017963871194,0.07660136450159967
Arroz de primera,mes_factor8,0.017341622582731017,0.02785735978861851,0.6225149373206633,0.5364321908234329,-0.03725880260296126,0.07194204776842329
Arroz de primera,mes_factor9,0.010932950547332522,0.02786854975056366,0.39230425139404307,0.6965007707213248,-0.04368940696377225,0.06555530805843729
Arroz de primera,mes_factor10,0.0018001206132927403,0.027879258056394268,0.06456845478640248,0.948775064746747,-0.05284322517724003,0.056443466403825505
Arroz de primera,mes_factor11,-0.005052868290352909,0.027886856081927428,-0.18119175125042186,0.8569495718956575,-0.05971110621093067,0.04960536963022485
Arroz de primera,mes_factor12,-0.008398249299046793,0.027880816418730983,-0.30121963334634105,0.7644961803266093,-0.06304464947975952,0.046248150881665936
Arveja verde en vaina pastusa,(Intercept),2.9543002466849573,0.5416545040269353,5.454215232627414,1.1042407103820461e-4,1.892657418792164,4.01594307457775
Arveja verde en vaina pastusa,ln_wholesale,0.7631188499257597,0.07619168403275689,10.015776125878437,1.7666281505877981e-7,0.6137831492215562,0.9124545506299633
Arveja verde en vaina pastusa,mes_factor2,-0.007044008111374356,0.060202212517384175,-0.11700580122932037,0.9086437981162521,-0.12504034464544733,0.11095232842269863
Arveja verde en vaina pastusa,mes_factor6,-0.04309099777526925,0.08818466158929586,-0.48864504323844654,0.6332326594448503,-0.21593293449028914,0.12975093893975062
Arveja verde en vaina pastusa,mes_factor7,0.019451505745114374,0.08812493514911175,0.22072646875939783,0.8287342310283897,-0.15327336714714465,0.19217637863737339
