alimento_sipsa,articulo_ipc,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
Naranja común,NARANJAS,0.4671119064955294,0.09095560519825596,0.1703911071348522,1.2418026891602558,0.3328114964813903,12,19.041370191684567,-10.082740383369135,9.534022959901044,0.49356319964089157,17,30
Panela redonda morena,PANELA,0.8819815160554458,0.8482619492141447,0.06917606870122865,26.156371468424595,1.1739669454400574e-15,12,76.28464549516897,-124.56929099033795,-96.46662639708336,0.2009837962001985,42,55
Papa Morasurco,PAPA,1,NA,NA,NA,NA,6,Inf,-Inf,-Inf,0,0,7
Papa R-12 negra,PAPA,0.5419945371425312,0.1984904399994296,0.21406541953426317,1.57784009463136,0.19466549502463726,12,12.176770345024888,3.646459309950224,22.78860092976086,0.7331840614460816,16,29
Papa capira,PAPA,0.46101393623262965,0.3316572809284608,0.23338647055861686,3.563898085866573,7.333725020323319e-4,12,9.555641855242683,8.888716289514633,38.89260245899609,2.723462231990407,50,63
Papa criolla limpia,PAPA CRIOLLA,0.3839558421650345,0.23308788514422651,0.27102429502511977,2.5449793962019305,0.010700330164755278,12,0.2644500163334893,27.47109996733302,57.25098135796431,3.599254256199294,49,62
Papa criolla sucia,PAPA CRIOLLA,0.41703306701976434,0.26495473667709424,0.23437854284647489,2.74222544448039,0.0069058614778228795,12,9.223308147092997,9.553383705814007,38.638907920494084,2.5269318619544956,46,59
Papa nevada,PAPA,0.7286502317754615,0.47817352264511825,0.17078899628075644,2.90905383700281,0.03376570847638461,12,18.06899851546544,-8.137997030930883,9.475354501369864,0.3791954562576471,13,26
Papa parda pastusa,PAPA,0.45066495540658547,0.318824544704166,0.23561642441009467,3.418261161396056,0.0010645807131210582,12,8.956548959130394,10.086902081739211,40.090788251220665,2.775754972589893,50,63
Papa suprema,PAPA,0.3920593760264768,0.24615362627283122,0.24786630389834838,2.6870728308407936,0.007191179848373107,12,5.76343546653343,16.47312906693314,46.477015236414594,3.0718852304114197,50,63
Papa única,PAPA,0.3959343022832119,0.24799984569950873,0.23585732782471486,2.6764170527046023,0.00757553129966653,12,8.881296028963499,10.237407942073002,40.01728933270428,2.7258052753421356,49,62
