alimento_sipsa,term,beta,beta_se,statistic,p.value,n_obs,beta_ci_lo,beta_ci_hi
Huevo rojo A,ln_wholesale,0.6041609565614127,0.02462802066551949,24.531445899234175,2.6811525864698678e-33,63,0.5558900360569945,0.6524318770658308
Huevo rojo AA,ln_wholesale,0.6322721407946617,0.02350103186804781,26.904016144682732,1.53622992760074e-35,63,0.586210118333288,0.6783341632560353
Huevo rojo extra,ln_wholesale,0.8708561058180119,0.05306380988768143,16.41148850151029,2.549347842511512e-21,50,0.7668510384381563,0.9748611731978675
Leche en polvo,ln_wholesale,1.4812571000175505,0.7212456145473191,2.053748501399545,0.04230793055333136,115,0.06761569550480528,2.8948985045302957
Lechuga Batavia,ln_wholesale,0.5014728852394063,0.09924590107419319,5.052832205780675,1.6384829943028263e-6,118,0.30695091913398764,0.6959948513448249
Lenteja importada,ln_wholesale,0.9769667507206422,0.01727704093150831,56.54711096614574,2.2584807392998908e-48,54,0.9431037504948859,1.0108297509463986
Limón Tahití,ln_wholesale,0.573491815544339,0.12834126475016747,4.46849122658027,3.627856045494736e-5,61,0.3219429366340108,0.8250406944546673
Limón común,ln_wholesale,NA,NA,NA,NA,9,NA,NA
Lomitos de atún en lata,ln_wholesale,1.6288825564302278,0.09754353448818626,16.69903151425691,1.9813300191115155e-24,63,1.4376972288333827,1.820067884027073
Lulo,ln_wholesale,1.2037937779219121,0.12944502627854548,9.2996526211176,4.263296761795646e-13,60,0.950081526415963,1.4575060294278612
Mango común,ln_wholesale,1.088872938444764,0.4094217444405011,2.659538613252632,0.011606631417308949,38,0.28640631934138183,1.8913395575481462
Mango de azúcar,ln_wholesale,0.772566599083607,0.21827286629377432,3.5394532183574596,0.0019427410158154275,23,0.34475178114780936,1.2003814170194047
Manzana roja importada,ln_wholesale,0.9029654294514079,0.045865563937366856,19.68721960302244,4.0682073244403335e-28,63,0.8130689241341689,0.9928619347686469
Manzana royal gala importada,ln_wholesale,0.8770068963235259,0.05827980867008053,15.04821165917383,3.3413571298018973e-22,63,0.7627784713301681,0.9912353213168837
Manzana verde importada,ln_wholesale,0.6014697709190787,0.05001190675749315,12.026531478505607,9.637983286223232e-18,63,0.5034464336743921,0.6994931081637653
Maracuyá,ln_wholesale,0.9229387333518971,0.15641850163282628,5.900444792128142,1.717013942387389e-7,63,0.6163584701515576,1.2295189965522366
Mora de Castilla,ln_wholesale,0.9766761716407609,0.17612924272839878,5.545224384725543,6.6874234086283e-7,63,0.6314628558930993,1.3218894873884226
Naranja Sweet,ln_wholesale,0.04673597312184902,0.2164526511758471,0.21591776708653249,0.8299481682289367,51,-0.37751122318281133,0.47098316942650936
Naranja Valencia,ln_wholesale,0.5380676409069999,0.11934331566619798,4.508569565906561,4.074792402233087e-5,51,0.3041547422012518,0.7719805396127479
Naranja común,ln_wholesale,0.4940326962378107,0.13214727768776405,3.7385007461531297,8.432768225657283e-4,30,0.23502403196979316,0.7530413605058283
Panela redonda morena,ln_wholesale,0.8198041099032373,0.04381530308714344,18.710451649113192,5.219053709031178e-25,55,0.7339261158524362,0.9056821039540384
Papa Betina,ln_wholesale,0.4382639917590876,0.14226436021554642,3.080630954197303,0.0034145773872812212,50,0.1594258457366166,0.7171021377815585
Papa Morasurco,ln_wholesale,0.6580383144754658,0.8726022600961768,0.7541102568344688,0.48476163725603816,7,-1.0522621153130407,2.3683387442639723
Papa R-12 negra,ln_wholesale,0.6849190739085751,0.16595769336312008,4.127070339607294,3.1596848854100026e-4,29,0.3596419949168597,1.0101961529002905
Papa capira,ln_wholesale,0.758360164041763,0.12210806906036793,6.21056552509109,5.1595613908438826e-8,63,0.5190283486834418,0.9976919794000841
Papa criolla limpia,ln_wholesale,0.7009573815882497,0.12175567188766213,5.757081955368683,3.11480603894327e-7,62,0.4623162646884319,0.9395984984880675
Papa criolla sucia,ln_wholesale,0.5750918231724812,0.09550916664655029,6.0213259456101955,1.3271867553381618e-7,59,0.38789385654524267,0.7622897897997197
Papa nevada,ln_wholesale,1.790121240408603,0.30769928237510713,5.817762155929629,5.3424090152977e-6,26,1.187030646953393,2.393211833863813
Papa parda pastusa,ln_wholesale,0.7000827741948205,0.1075556950875227,6.509025613428772,1.6054630309632436e-8,63,0.489273611823276,0.9108919365663649
Papa roja peruana,ln_wholesale,1.3270671675523475,NA,NA,NA,2,NA,NA
Papa suprema,ln_wholesale,0.6587239783959321,0.11659718469027788,5.649570185984584,4.4954037104560993e-7,63,0.43019349640298743,0.8872544603888768
Papa única,ln_wholesale,0.5118249639213118,0.0904301752474069,5.659891319695175,4.5079634002674035e-7,62,0.3345818204363943,0.6890681074062294
Pastas alimenticias,ln_wholesale,-0.04060216717687918,0.15944022769500338,-0.2546544731142001,0.7994611720119034,113,-0.3531050134590858,0.2719006791053274
Pechuga de pollo,ln_wholesale,0.6459054209729898,0.034479849255181313,18.732837727703494,5.519502414228512e-27,63,0.5783249164328343,0.7134859255131452
