alimento_sipsa,n_obs,margen_mediana,margen_med_lo,margen_med_hi
Piña manzana,63,75.44279328259032,71.46243969676085,77.575252825699
Pollo entero congelado sin vísceras,63,24.055224430525147,21.744672681896727,25.359880257081088
Queso campesino,63,52.476160116580914,51.36736434414204,54.019688662002906
Repollo blanco,258,158.9185542168675,152.24175060784995,170.25626847894765
Sal yodada,63,17.96547598701077,16.07003444316877,20.497167428844442
Tilapia roja entera congelada,63,95.35823179370925,93.01611258413219,97.564673055509
Tomate chonto,3,36.011023782790645,17.292028171889328,48.73941002347657
Tomate de árbol,62,68.35825722983256,59.315532380353005,78.76891207655312
Tomate larga vida,47,21.143094669022133,16.97279642442735,25.512386706948643
Zanahoria,171,114.98579040852573,108.95826805298387,129.39010466222646
