alimento_sipsa,beta,beta_se,beta_ci_lo,beta_ci_hi,statistic,p.value
Pollo entero congelado sin vísceras,1.0086201169619802,0.06663772547211676,0.8780101750366314,1.139230058887329,15.135872507893707,2.6412530254569528e-20
Queso campesino,0.9545249792374514,0.0596904451398917,0.8375317067632637,1.071518251711639,15.991252486062182,2.682829076282033e-21
Repollo blanco,0.5029701487838469,0.06024772688253989,0.38488460409406877,0.6210556934736251,8.348367229927979,5.123661446773819e-15
Sal yodada,1.2513739505879387,0.08437013242762587,1.086008491029792,1.4167394101460853,14.831954325322275,6.07521847109954e-20
Tilapia roja entera congelada,0.871932348466333,0.0537210811952426,0.7666390293236576,0.9772256676090085,16.2307297073453,1.435346764615011e-21
Tomate larga vida,0.9311290395777022,0.15352018120048802,0.6302294844247457,1.2320285947306586,6.065189816065318,7.088833472780925e-7
Zanahoria,0.3290188767283678,0.05429373975388542,0.2226031468107524,0.4354346066459832,6.059978152542389,9.617463846031369e-9
Lulo,1.2067997549497156,0.14426066554247877,0.9240488504864572,1.489550659412974,8.365410976108128,7.295388374334193e-11
Papa roja peruana,1.3270671675523475,NA,NA,NA,NA,NA
Tomate de árbol,0.5290624672500446,0.16753133232180575,0.20070105589930531,0.8574238786007838,3.1579911645051855,0.0027192005273809277
"Carne de res, lomo fino",-14.207956183480354,NA,NA,NA,NA,NA
Arveja verde seca importada,0.8583769706838188,0.09371057303247882,0.6747042475401603,1.0420496938274773,9.159873244893262,1.854595749320827e-10
Fríjol verde cargamanto,0.8434448328892854,0.11650629087165636,0.6150925027808389,1.0717971629977319,7.239478886324057,1.7641954304369808e-7
Huevo rojo extra,0.8718654352845301,0.06063762742840938,0.7530156855248478,0.9907151850442124,14.378290712542816,1.005606085677193e-16
Naranja Sweet,-0.05718439723994188,0.21819527213419376,-0.48484713062296164,0.37047833614307785,-0.26207899319089056,0.7946760512278837
Papa Betina,0.42199709173344707,0.15777663748339124,0.11275488226600022,0.731239301200894,2.6746487849182974,0.011072522004333885
Mango común,0.8913246563459832,0.31308250846035157,0.2776829397636942,1.5049663729282723,2.846932141719631,0.008694466908819197
Cebolla cabezona roja importada,0.15421037386108422,0.19561845576931278,-0.22920179944676883,0.5376225471689373,0.7883222125162878,0.44464634016762206
Cebolla cabezona blanca importada,0.5825709695435929,0.19005716521248456,0.21005892572712315,0.9550830133600626,3.0652407600222626,0.009031190662982518
Limón común,NA,NA,NA,NA,NA,NA
Tomate chonto,NA,NA,NA,NA,NA,NA
