adf_type,test_stat,cv_1pct,cv_5pct,cv_10pct,cod_mun,item_var,item,variable,n_obs
trend,-1.6498717542584094,-4.04,-3.45,-3.15,05001,alimento_sipsa,Plátano comino,precio_sipsa,63
drift,-1.4567116955647406,-3.51,-2.89,-2.58,05001,alimento_sipsa,Plátano dominico verde,precio_sipsa,63
trend,-1.420201082979649,-4.04,-3.45,-3.15,05001,alimento_sipsa,Plátano dominico verde,precio_sipsa,63
drift,-2.107522999405959,-3.51,-2.89,-2.58,05001,alimento_sipsa,Plátano guineo,precio_sipsa,63
trend,-2.0364588422892274,-4.04,-3.45,-3.15,05001,alimento_sipsa,Plátano guineo,precio_sipsa,63
drift,-1.51653407252762,-3.51,-2.89,-2.58,05001,alimento_sipsa,Plátano hartón maduro,precio_sipsa,63
trend,-1.441548182877644,-4.04,-3.45,-3.15,05001,alimento_sipsa,Plátano hartón maduro,precio_sipsa,63
drift,-1.4853888674779736,-3.51,-2.89,-2.58,05001,alimento_sipsa,Plátano hartón verde,precio_sipsa,63
trend,-1.4294381994081038,-4.04,-3.45,-3.15,05001,alimento_sipsa,Plátano hartón verde,precio_sipsa,63
drift,-1.5111600338714495,-3.51,-2.89,-2.58,05001,alimento_sipsa,Tomate larga vida,precio_sipsa,63
trend,-2.977944049598764,-4.04,-3.45,-3.15,05001,alimento_sipsa,Tomate larga vida,precio_sipsa,63
drift,-1.5193993011686266,-3.51,-2.89,-2.58,05001,alimento_sipsa,Yuca ICA,precio_sipsa,63
trend,-1.6209491455744869,-4.04,-3.45,-3.15,05001,alimento_sipsa,Yuca ICA,precio_sipsa,63
drift,-1.5070800847288433,-3.51,-2.89,-2.58,05001,alimento_sipsa,Yuca criolla,precio_sipsa,63
trend,-1.8093398526779954,-4.04,-3.45,-3.15,05001,alimento_sipsa,Yuca criolla,precio_sipsa,63
drift,-2.7252826411276945,-3.51,-2.89,-2.58,05001,alimento_sipsa,Zanahoria larga vida,precio_sipsa,63
trend,-2.9509875267928276,-4.04,-3.45,-3.15,05001,alimento_sipsa,Zanahoria larga vida,precio_sipsa,63
