articulo_ipc,alimento_sipsa,cod_mun,city,type,lag,EG,p.value,d,n_obs
YUCA,Yuca criolla,05001,Medellín,type 1,3,-2.094871793378933,0.1,0,63
YUCA,Yuca criolla,05001,Medellín,type 2,3,0.06243949737180186,0.1,0,63
YUCA,Yuca criolla,05001,Medellín,type 3,3,0.3444714599198821,0.1,0,63
YUCA,Yuca llanera,11001,Bogotá,type 1,3,-0.7293234158814399,0.1,0,63
YUCA,Yuca llanera,11001,Bogotá,type 2,3,-1.4925632357582304,0.1,0,63
YUCA,Yuca llanera,11001,Bogotá,type 3,3,1.5838516363850388,0.1,0,63
ZANAHORIA,Zanahoria,11001,Bogotá,type 1,3,-3.446124938956062,0.01587934884150853,0,63
ZANAHORIA,Zanahoria,11001,Bogotá,type 2,3,0.8030045194571839,0.1,0,63
ZANAHORIA,Zanahoria,11001,Bogotá,type 3,3,-1.6550972276064326,0.1,0,63
ZANAHORIA,Zanahoria,76001,Cali,type 1,3,-2.3461351254388614,0.1,0,63
ZANAHORIA,Zanahoria,76001,Cali,type 2,3,1.2860594133568757,0.1,0,63
ZANAHORIA,Zanahoria,76001,Cali,type 3,3,-1.87760249988795,0.1,0,63
ZANAHORIA,Zanahoria bogotana,76001,Cali,type 1,3,-3.042595616714237,0.0414945380033123,0,63
ZANAHORIA,Zanahoria bogotana,76001,Cali,type 2,3,1.0562520139453468,0.1,0,63
ZANAHORIA,Zanahoria bogotana,76001,Cali,type 3,3,-1.7331554752082055,0.1,0,63
ZANAHORIA,Zanahoria larga vida,05001,Medellín,type 1,3,-2.8578629267725293,0.058011570990788866,0,63
ZANAHORIA,Zanahoria larga vida,05001,Medellín,type 2,3,0.9756201625036437,0.1,0,63
ZANAHORIA,Zanahoria larga vida,05001,Medellín,type 3,3,-1.9638725931082326,0.1,0,63
