codigo_tcac,alimento_sipsa,parte_comestible_percent,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,vitamina_c_mg,folatos_mcg,vitamina_a_er,tiamina_mg,riboflavina_mg,niacina_mg,vitamina_b12_mcg,magnesio_mg,fosforo_mg,sodio_mg,calcio_mg,hierro_mg,zinc_mg
A010,Arroz blanco importado,100,353,6.7,0.4,80.1,0,9,0,0.07,0.03,1.8,0,35,140,2,9,0.8,1.2
A010,Arroz de primera,100,353,6.7,0.4,80.1,0,9,0,0.07,0.03,1.8,0,35,140,2,9,0.8,1.2
A010,Arroz de segunda,100,353,6.7,0.4,80.1,0,9,0,0.07,0.03,1.8,0,35,140,2,9,0.8,1.2
A010,Arroz excelso,100,353,6.7,0.4,80.1,0,9,0,0.07,0.03,1.8,0,35,140,2,9,0.8,1.2
S026,Arroz sopa cristal,100,353,6.7,0.4,80.1,0,9,0,0.07,0.03,1.8,0,35,140,2,9,0.8,1.2
B019,Arveja amarilla seca importada,40,99,5.9,0.3,15.5,33,65,51,0.36,0.12,2.2,0,33,110,5,36,1.5,1.2
SCB0015,Arveja enlatada,100,126.76,8.45,0.7,22.54,8.53,63,60,0.103,0.0835,1815,0,28,67,88,20,1.18,0.72
B019,Arveja verde en vaina,40,99,5.9,0.3,15.5,33,65,51,0.36,0.12,2.2,0,33,110,5,36,1.5,1.2
B019,Arveja verde en vaina pastusa,40,99,5.9,0.3,15.5,33,65,51,0.36,0.12,2.2,0,33,110,5,36,1.5,1.2
T003,Arveja verde seca importada,100,374,23.9,1.1,60.2,2,274,22,0.78,0.16,3.1,0,119,346,15,60,4.6,3.5
A012,Avena en hojuelas,100,411,16.9,7.5,64.1,0,57,0,0.72,0.13,1.6,0,155,320,3,54,4.5,4
A029,Avena molida,100,414,14.7,8.6,66.2,0,32,0,0.63,0.13,1.5,0,132,440,19,54,4,3.2
K004,Azúcar morena,100,390,0,0,97.5,0,1,0,0.01,0.01,0.1,0,24,22,39,85,1.9,0.2
K003,Azúcar refinada,100,397,0,0,99.3,0,0,0,0,0,0,0,1,0,0,0,0.1,0
K003,Azúcar sulfitada,100,397,0,0,99.3,0,0,0,0,0,0,0,1,0,0,0,0.1,0
C008,Badea,20,46,0.9,0.2,10.1,20,14,7,0,0.11,2.7,0,29,22,18,10,0.6,0.1
E005,Bagre rayado,85,165,15.5,11.4,0,0,10,0,0.02,0.1,2,2.88,19,200,98,8,0.6,0.5
C009,Banano bocadillo,80,125,1.2,0.1,28.9,10,20,20,0.04,0.04,0.5,0,28,26,10.5,5,0.4,0.3
C010,Banano criollo,70,101,1.5,0.1,22.3,19,21,22,0.05,0.03,0.6,0,29,27,3,8,0.9,0.2
C010,Banano Urabá,70,101,1.5,0.1,22.3,19,21,22,0.05,0.03,0.6,0,29,27,3,8,0.9,0.2
E007,"Basa, entero congelado importado",92,93,17.5,2.4,0.2,0,5,15,0.19,0.08,2,2.09,27,201,83,19,1.9,0.6
E030,"Basa, filete congelado importado",100,85,18.3,1.3,0.1,0,12,17,0.06,0.07,1.3,1.2,24,186,75,27,0.8,0.3
B023,Berenjena,75,35,1,0.2,5.7,5,21,10,0.08,0.05,1,0,14,29,2,10,0.4,0.1
T005,Blanquillo entero fresco,100,373,21.3,1.1,61.8,0,388,0,0.44,0.17,2,0,184,361,15,133,6.2,3.7
E010,Bocachico criollo fresco,64,96,20.2,1.5,0.5,0,12,0,0,0.08,3,10,23,255,47,24,2.1,0.7
E010,Bocachico importado congelado,64,96,20.2,1.5,0.5,0,12,0,0,0.08,3,10,23,255,47,24,2.1,0.7
K006,Bocadillo veleño,100,318,0.3,0.1,79,80,2,4,0.02,0.03,1,0,2,17,2,25,1.2,0.06
P017,Borojó,60,140,3,0.6,30.5,3,2,64,0.3,0.12,2.3,0,38,851,8,51,6.9,1.5
C012,Breva,100,48,0.9,0.2,9.2,5,6,8,0.04,0.03,0.3,0,16,24,2,25,0.4,0.2
B025,Brócoli,40,46,3,0.3,6.6,89,63,31,0.07,0.14,0.9,0,21,70,33,60,1.1,0.4
E013,Cachama de cultivo fresca,78,106,18.1,3.8,0,0,12,0,0.4,0.3,3,17,23,203,47,18,1.4,0.7
L005,Café instantáneo,100,355,13,0.4,74.7,0,1,0,0.01,0.08,28.2,0,326,303,38,141,4.4,0.4
L006,Café molido,100,479,14.2,12.3,67.5,0,3,0,0.07,0.1,31.6,0,165,223,1,130,5.8,0.5
SCB0018,Calabacín,92.9,19.5,1.57,0.27,3.31,14.45,24,29.2,0.077,0.067,0.504,0,18,47.54,3.96,16.83,0.57,0.29
B026,Calabaza,90,31,0.8,0.4,4.5,16,10,75,0.03,0.03,0.1,0,10,16,0,24,0.3,0.2
E015,Calamar anillos,70,79,16.4,1.5,0.1,0,5,10,0.02,0.41,2.2,1.3,33,148,44,32,0.7,1.5
E015,Calamar blanco entero,70,79,16.4,1.5,0.1,0,5,10,0.02,0.41,2.2,1.3,33,148,44,32,0.7,1.5
E015,Calamar morado entero,70,79,16.4,1.5,0.1,0,5,10,0.02,0.41,2.2,1.3,33,148,44,32,0.7,1.5
E017,Camarón tigre precocido seco,87,94,20.3,1.2,0.5,0,12,54,0.03,0.02,2.2,1.24,36,196,163,82,2.5,1.3
E017,Camarón tití precocido seco,87,94,20.3,1.2,0.5,0,12,54,0.03,0.02,2.2,1.24,36,196,163,82,2.5,1.3
E005,Capaz Magdalena fresco,85,165,15.5,11.4,0,0,10,0,0.02,0.1,2,2.88,19,200,98,8,0.6,0.5
TCAA,Carne de cerdo en canal,62.83,206,18.2,14.8,0,0.3,3,1,0.62,0.26,4.73,0.67,21,195,57,11,0.89,2.27
F008,"Carne de cerdo, brazo",100,115,20.3,3.8,0,0,3,2,0.92,0.29,6.9,0.61,20,203,87,10,0.5,2.4
F013,"Carne de cerdo, cabeza de lomo",100,245,17.2,19.4,0.3,0,5,2,0.76,0.22,4.9,0.73,20,180,65,13,1.4,2.1
F015,"Carne de cerdo, costilla",77,277,18.7,22.5,0,0,4,5,0.62,0.26,5.1,0.87,20,180,93,11,1,1.8
F015,"Carne de cerdo, espinazo",77,277,18.7,22.5,0,0,4,5,0.62,0.26,5.1,0.87,20,180,93,11,1,1.8
F019,"Carne de cerdo, lomo",100,110,21.6,2.5,0.3,0,0,0,0.95,0.34,7.1,0.51,27,216,53,10,0.9,1.9
F025,"Carne de cerdo, pernil",100,131,20.5,5.4,0.2,0,5,0,0.8,0.24,5.7,1,23,217,57,8,1.2,2.5
F022,"Carne de cerdo, tocineta plancha",100,413,13.1,39.7,0.8,0,2,8,0.41,0.1,4.2,0.5,12,127,1118,5,0.7,1.3
F029,"Carne de cerdo, tocino barriga",100,784,2.9,85.8,0,0,1,10,0.23,0.17,2.7,0.18,4,37,22,6,1.1,0.8
F029,"Carne de cerdo, tocino papada",100,784,2.9,85.8,0,0,1,10,0.23,0.17,2.7,0.18,4,37,22,6,1.1,0.8
F118,"Carne de res molida, murillo",100,121,21.8,3.8,0,0,8,0,0.1,0.22,5.7,3.33,14,204,63,20,2.3,6.9
F118,"Carne de res, bola de brazo",100,121,21.8,3.8,0,0,8,0,0.1,0.22,5.7,3.33,14,204,63,20,2.3,6.9
F118,"Carne de res, bola de pierna",100,121,21.8,3.8,0,0,8,0,0.1,0.22,5.7,3.33,14,204,63,20,2.3,6.9
F118,"Carne de res, bota",100,121,21.8,3.8,0,0,8,0,0.1,0.22,5.7,3.33,14,204,63,20,2.3,6.9
F100,"Carne de res, cadera",100,223,21.6,15.1,0.3,0,3,2,0.06,0.17,4.3,2.13,13,182,50,6,1.9,3.5
F118,"Carne de res, centro de pierna",100,121,21.8,3.8,0,0,8,0,0.1,0.22,5.7,3.33,14,204,63,20,2.3,6.9
F099,"Carne de res, chatas",100,139,21.8,5.7,0,0,7,0,0.08,0.23,5.1,2.65,18,215,51,6,2.7,3.6
