Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
31 a 50 años,0,1,1631.9363472704065,3909.585603063733,1303.1952010212442,475666.24837275414,39095.856030637326,CALI,2020-12-01,q1
31 a 50 años,1,2,1170.9878734424353,3909.585603063733,1303.1952010212442,475666.24837275414,39095.856030637326,CALI,2020-12-01,q1
9 a 13 años,1,3,1106.661382350891,3909.585603063733,1303.1952010212442,475666.24837275414,39095.856030637326,CALI,2020-12-01,q1
31 a 50 años,0,1,1825.7618039974261,4373.927987737421,1457.9759959124738,532161.2385080529,43739.27987737421,CALI,2020-12-01,q2
31 a 50 años,1,2,1310.0663735147018,4373.927987737421,1457.9759959124738,532161.2385080529,43739.27987737421,CALI,2020-12-01,q2
9 a 13 años,1,3,1238.099810225293,4373.927987737421,1457.9759959124738,532161.2385080529,43739.27987737421,CALI,2020-12-01,q2
31 a 50 años,0,1,1963.3673761583516,4703.585921223328,1567.8619737411093,572269.6204155049,47035.85921223328,CALI,2020-12-01,q3
31 a 50 años,1,2,1408.8045728250286,4703.585921223328,1567.8619737411093,572269.6204155049,47035.85921223328,CALI,2020-12-01,q3
9 a 13 años,1,3,1331.4139722399482,4703.585921223328,1567.8619737411093,572269.6204155049,47035.85921223328,CALI,2020-12-01,q3
31 a 50 años,0,1,1633.2185097055728,3912.6572448012917,1304.2190816004306,476039.9647841572,39126.57244801292,CALI,2021-01-01,q1
31 a 50 años,1,2,1171.9078827711535,3912.6572448012917,1304.2190816004306,476039.9647841572,39126.57244801292,CALI,2021-01-01,q1
9 a 13 años,1,3,1107.5308523245653,3912.6572448012917,1304.2190816004306,476039.9647841572,39126.57244801292,CALI,2021-01-01,q1
31 a 50 años,0,1,1827.1962491591933,4377.364449068899,1459.1214830229665,532579.3413033828,43773.644490688996,CALI,2021-01-01,q2
31 a 50 años,1,2,1311.0956525624765,4377.364449068899,1459.1214830229665,532579.3413033828,43773.644490688996,CALI,2021-01-01,q2
9 a 13 años,1,3,1239.0725473472298,4377.364449068899,1459.1214830229665,532579.3413033828,43773.644490688996,CALI,2021-01-01,q2
31 a 50 años,0,1,1953.4108785817107,4679.7334102796995,1559.9111367598998,569367.5649173635,46797.334102796995,CALI,2021-01-01,q3
31 a 50 años,1,2,1401.6603371177314,4679.7334102796995,1559.9111367598998,569367.5649173635,46797.334102796995,CALI,2021-01-01,q3
9 a 13 años,1,3,1324.662194580257,4679.7334102796995,1559.9111367598998,569367.5649173635,46797.334102796995,CALI,2021-01-01,q3
31 a 50 años,0,1,1615.524668101309,3870.268588825449,1290.089529608483,470882.6783070963,38702.68588825449,CALI,2021-02-01,q1
31 a 50 años,1,2,1159.2117540355819,3870.268588825449,1290.089529608483,470882.6783070963,38702.68588825449,CALI,2021-02-01,q1
9 a 13 años,1,3,1095.532166688558,3870.268588825449,1290.089529608483,470882.6783070963,38702.68588825449,CALI,2021-02-01,q1
31 a 50 años,0,1,1807.4009059033865,4329.941282638387,1443.3137608794623,526809.5227210037,43299.412826383865,CALI,2021-02-01,q2
31 a 50 años,1,2,1296.8916016863798,4329.941282638387,1443.3137608794623,526809.5227210037,43299.412826383865,CALI,2021-02-01,q2
9 a 13 años,1,3,1225.6487750486208,4329.941282638387,1443.3137608794623,526809.5227210037,43299.412826383865,CALI,2021-02-01,q2
31 a 50 años,0,1,1965.0897062951801,4707.71206077401,1569.2373535913366,572771.6340608379,47077.1206077401,CALI,2021-02-01,q3
31 a 50 años,1,2,1410.040422316134,4707.71206077401,1569.2373535913366,572771.6340608379,47077.1206077401,CALI,2021-02-01,q3
9 a 13 años,1,3,1332.581932162696,4707.71206077401,1569.2373535913366,572771.6340608379,47077.1206077401,CALI,2021-02-01,q3
31 a 50 años,0,1,1613.4732082053872,3865.353962046179,1288.4513206820595,470284.73204895173,38653.53962046179,CALI,2021-03-01,q1
31 a 50 años,1,2,1157.7397391098796,3865.353962046179,1288.4513206820595,470284.73204895173,38653.53962046179,CALI,2021-03-01,q1
9 a 13 años,1,3,1094.1410147309123,3865.353962046179,1288.4513206820595,470284.73204895173,38653.53962046179,CALI,2021-03-01,q1
31 a 50 años,0,1,1805.1057936424925,4324.44294450307,1441.4809815010233,526140.5582478734,43244.4294450307,CALI,2021-03-01,q2
31 a 50 años,1,2,1295.2447552084573,4324.44294450307,1441.4809815010233,526140.5582478734,43244.4294450307,CALI,2021-03-01,q2
9 a 13 años,1,3,1224.0923956521206,4324.44294450307,1441.4809815010233,526140.5582478734,43244.4294450307,CALI,2021-03-01,q2
31 a 50 años,0,1,1933.2882897355473,4631.526270472489,1543.8420901574964,563502.3629074862,46315.26270472489,CALI,2021-03-01,q3
31 a 50 años,1,2,1387.2214727830178,4631.526270472489,1543.8420901574964,563502.3629074862,46315.26270472489,CALI,2021-03-01,q3
9 a 13 años,1,3,1311.0165079539242,4631.526270472489,1543.8420901574964,563502.3629074862,46315.26270472489,CALI,2021-03-01,q3
31 a 50 años,0,1,1742.0293855478578,4173.332506040059,1391.1108353466864,507755.45490154054,41733.32506040059,CALI,2021-04-01,q1
31 a 50 años,1,2,1249.9845898210847,4173.332506040059,1391.1108353466864,507755.45490154054,41733.32506040059,CALI,2021-04-01,q1
9 a 13 años,1,3,1181.3185306711166,4173.332506040059,1391.1108353466864,507755.45490154054,41733.32506040059,CALI,2021-04-01,q1
31 a 50 años,0,1,1873.191019251461,4487.552871104922,1495.850957034974,545985.5993177656,44875.52871104922,CALI,2021-04-01,q2
31 a 50 años,1,2,1344.0989728879927,4487.552871104922,1495.850957034974,545985.5993177656,44875.52871104922,CALI,2021-04-01,q2
9 a 13 años,1,3,1270.262878965468,4487.552871104922,1495.850957034974,545985.5993177656,44875.52871104922,CALI,2021-04-01,q2
31 a 50 años,0,1,1935.087893195722,4635.837531626083,1545.2791772086941,564026.8996811734,46358.375316260826,CALI,2021-04-01,q3
31 a 50 años,1,2,1388.512769365997,4635.837531626083,1545.2791772086941,564026.8996811734,46358.375316260826,CALI,2021-04-01,q3
9 a 13 años,1,3,1312.2368690643632,4635.837531626083,1545.2791772086941,564026.8996811734,46358.375316260826,CALI,2021-04-01,q3
31 a 50 años,0,1,1836.9187236731652,4400.656317314591,1466.8854391048637,535413.1852732752,44006.563173145914,CALI,2021-05-01,q1
31 a 50 años,1,2,1318.0719661759067,4400.656317314591,1466.8854391048637,535413.1852732752,44006.563173145914,CALI,2021-05-01,q1
