Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
31 a 50 años,1,2,3578.121470531857,10712.176277795441,3570.725425931814,1303314.780465112,107121.76277795441,MEDELLÍN,2019-12-01,q1
9 a 13 años,1,3,3560.026591056273,10712.176277795441,3570.725425931814,1303314.780465112,107121.76277795441,MEDELLÍN,2019-12-01,q1
31 a 50 años,0,1,3717.2625237959796,11123.399812131884,3707.7999373772946,1353346.9771427126,111233.99812131884,MEDELLÍN,2019-12-01,q2
31 a 50 años,1,2,3742.4924025966016,11123.399812131884,3707.7999373772946,1353346.9771427126,111233.99812131884,MEDELLÍN,2019-12-01,q2
9 a 13 años,1,3,3663.6448857393034,11123.399812131884,3707.7999373772946,1353346.9771427126,111233.99812131884,MEDELLÍN,2019-12-01,q2
31 a 50 años,0,1,4011.7598224440453,11840.129422476592,3946.7098074921973,1440549.079734652,118401.29422476592,MEDELLÍN,2019-12-01,q3
31 a 50 años,1,2,3968.3047129786555,11840.129422476592,3946.7098074921973,1440549.079734652,118401.29422476592,MEDELLÍN,2019-12-01,q3
9 a 13 años,1,3,3860.0648870538903,11840.129422476592,3946.7098074921973,1440549.079734652,118401.29422476592,MEDELLÍN,2019-12-01,q3
31 a 50 años,0,1,3581.3548016484147,10757.25341972797,3585.7511399093232,1308799.166066903,107572.5341972797,MEDELLÍN,2020-01-01,q1
31 a 50 años,1,2,3584.849267639522,10757.25341972797,3585.7511399093232,1308799.166066903,107572.5341972797,MEDELLÍN,2020-01-01,q1
9 a 13 años,1,3,3591.0493504400324,10757.25341972797,3585.7511399093232,1308799.166066903,107572.5341972797,MEDELLÍN,2020-01-01,q1
31 a 50 años,0,1,3722.501208256477,11156.491971532483,3718.8306571774942,1357373.1898697854,111564.91971532482,MEDELLÍN,2020-01-01,q2
31 a 50 años,1,2,3741.7703268948503,11156.491971532483,3718.8306571774942,1357373.1898697854,111564.91971532482,MEDELLÍN,2020-01-01,q2
9 a 13 años,1,3,3692.2204363811566,11156.491971532483,3718.8306571774942,1357373.1898697854,111564.91971532482,MEDELLÍN,2020-01-01,q2
31 a 50 años,0,1,4019.916296925907,11879.601266733553,3959.867088911184,1445351.4874525822,118796.01266733553,MEDELLÍN,2020-01-01,q3
31 a 50 años,1,2,3968.405428875321,11879.601266733553,3959.867088911184,1445351.4874525822,118796.01266733553,MEDELLÍN,2020-01-01,q3
9 a 13 años,1,3,3891.2795409323257,11879.601266733553,3959.867088911184,1445351.4874525822,118796.01266733553,MEDELLÍN,2020-01-01,q3
31 a 50 años,0,1,3508.6784663258622,10273.994458396483,3424.664819465494,1250002.6591049053,102739.94458396483,MEDELLÍN,2020-02-01,q1
31 a 50 años,1,2,3378.778547932475,10273.994458396483,3424.664819465494,1250002.6591049053,102739.94458396483,MEDELLÍN,2020-02-01,q1
9 a 13 años,1,3,3386.5374441381464,10273.994458396483,3424.664819465494,1250002.6591049053,102739.94458396483,MEDELLÍN,2020-02-01,q1
31 a 50 años,0,1,3655.8471957029024,10690.374389167735,3563.458129722578,1300662.2173487411,106903.74389167734,MEDELLÍN,2020-02-01,q2
31 a 50 años,1,2,3545.071774447167,10690.374389167735,3563.458129722578,1300662.2173487411,106903.74389167734,MEDELLÍN,2020-02-01,q2
9 a 13 años,1,3,3489.455419017665,10690.374389167735,3563.458129722578,1300662.2173487411,106903.74389167734,MEDELLÍN,2020-02-01,q2
