food_key,food,best_model,best_mape,best_rmse,info
LENTEJAS,LENTEJAS,m0_ipc_fill,0.1455312022100854,422.167485386103,CALI
LIMON TAHITI,Limón Tahití,m6_lm_dummies,0.1183238025338852,0.1513588809923223,n_total=63
LIMONES,LIMONES,m0_ipc_fill,0.2626964357330346,308.872963925316,CALI
LOMITOS DE ATUN EN LATA,Lomitos de atún en lata,m1_margin_best,0.05337420567126535,799.960099874245,best=Q3
LULO,Lulo,m1_margin_Q2,0.0925346209932515,181.099043926639,Q2
LULOS,LULOS,m0_ipc_fill,0.3559177326400689,636.2645350233832,CALI
MANGO COMUN,Mango común,m6_lm_dummies,0.1233551791987821,0.1640368176294723,n_total=39
MANGO DE AZUCAR,Mango de azúcar,m1_margin_Q2,0.1774349007865237,409.4675980822276,Q2
MANTECA VEGETAL,MANTECA VEGETAL,m0_ipc_fill,0.09447275573339994,358.7014590249364,CALI
MANZANA ROJA IMPORTADA,Manzana roja importada,m1_margin_best,0.02599236250157075,114.8287493005209,best=Q1
MANZANA ROYAL GALA IMPORTADA,Manzana royal gala importada,m1_margin_Q2,0.04727757299025933,197.0507102781614,Q2
MANZANA VERDE IMPORTADA,Manzana verde importada,m4_asy_ecm_mtar,0.03140440077596589,133.6357299677221,n_total=63
MANZANAS,MANZANAS,m0_ipc_fill,0.3462313214870624,1241.239814049539,CALI
MARACUYA,Maracuyá,m1_margin_best,0.1099977452863461,240.6626103040623,best=Q3
MARGARINA,Margarina,m1_margin_best,0.03986395891914929,167.9166460945509,best=Q3
MORA DE CASTILLA,Mora de Castilla,m1_margin_best,0.09175638102317807,241.4235675547847,best=Q3
MORAS,MORAS,m0_ipc_fill,0.01000320343497964,30.84476900198043,CALI
NARANJA COMUN,Naranja común,m1_margin_best,0.1780455037083545,134.6501479582044,best=Q3
NARANJA SWEET,Naranja Sweet,m1_margin_best,0.04205298765424881,37.84220835976163,best=Q3
NARANJA VALENCIA,Naranja Valencia,m7_fd_dummies,0.13812430985436916,155.19796102310454,n_obs=50
NARANJAS,NARANJAS,m0_ipc_fill,0.008684657515402502,7.662377614930365,CALI
PAN CORRIENTE,PAN CORRIENTE,m0_ipc_fill,0.002350089048877173,8.592722392241122,CALI
PAN FRANCES,PAN FRANCÉS,m0_ipc_fill,0.06983817626712449,257.2727621642017,CALI
PAN INTEGRAL,PAN INTEGRAL,m0_ipc_fill,0.02394064107959495,98.14003281043108,CALI
PANELA,PANELA,m0_ipc_fill,0.002159191002649612,5.069146764182419,CALI
PANELA REDONDA MORENA,Panela redonda morena,m4_asy_ecm_mtar,0.049551985132419,146.4721614342672,n_total=63
PAPA,PAPA,m0_ipc_fill,0.07036433059487922,65.45233811104289,CALI
PAPA BETINA,Papa Betina,m1_margin_best,0.1534938614322293,167.1070729949845,best=Q1
PAPA CAPIRA,Papa capira,m1_margin_best,0.1317211168637778,134.4427074921348,best=Q1
PAPA CRIOLLA,PAPA CRIOLLA,m0_ipc_fill,0.2678262179521076,603.0177699337365,CALI
PAPA CRIOLLA LIMPIA,Papa criolla limpia,m1_margin_best,0.1977955754652945,276.9704001518904,best=Q1
PAPA CRIOLLA SUCIA,Papa criolla sucia,m1_margin_Q2,0.1997581055484863,309.9712877755821,Q2
PAPA NEVADA,Papa nevada,m6_lm_dummies,0.2165581357049965,0.3085631005170962,n_total=51
PAPA PARDA PASTUSA,Papa parda pastusa,m1_margin_best,0.1678051411087724,154.0927579039362,best=Q1
PAPA R 12 NEGRA,Papa R-12 negra,m1_margin_Q2,0.04947271441854392,41.31953094961766,Q2
PAPA SUPREMA,Papa suprema,m1_margin_best,0.1656747253639325,154.3638020126091,best=Q1
PAPA UNICA,Papa única,m1_margin_best,0.1992832573897891,166.7720107484665,best=Q1
PASTA PARA SECO,PASTA PARA SECO,m0_ipc_fill,0.01752729907750769,67.05482282043697,CALI
PASTA PARA SOPA,PASTA PARA SOPA,m0_ipc_fill,0.01247040566716559,60.53229684794407,CALI
PASTAS ALIMENTICIAS,Pastas alimenticias,m4_asy_ecm_mtar,0.05634441234110377,168.74016277244718,n_total=63
PECHUGA DE POLLO,Pechuga de pollo,m1_margin_Q2,0.02603873674412696,149.6622575983116,Q2
PESCADO DE MAR,PESCADO DE MAR,m0_ipc_fill,0.04403328804788675,738.877875777293,CALI
PESCADO DE RIO,PESCADO DE RÍO,m0_ipc_fill,0.108654142658763,952.1992549113825,CALI
PESCADO ENLATADO,PESCADO ENLATADO,m0_ipc_fill,0.01800043157665821,274.7467618564809,CALI
PINA GOLD,Piña gold,m1_margin_best,0.05516476479199354,46.5640819490225,best=Q3
PINA MANZANA,Piña manzana,m1_margin_best,0.05009128203785899,51.24644374960749,best=Q1
PINAS,PIÑAS,m0_ipc_fill,0.4770258123729871,413.3979410261963,CALI
PLATANO,PLÁTANO,m0_ipc_fill,0.006982741004824472,6.132459943946748,CALI
POLLO DESPRESADO POR LIBRA,POLLO DESPRESADO POR LIBRA,m0_ipc_fill,0.03417284754328268,196.54319646163,CALI
