model,food,food_key,rmse,mape,n_test,extra
m1_margin_Q2,Azúcar sulfitada,AZUCAR SULFITADA,214.2406073735135,0.1300307168782545,19,Q2
m1_margin_Q2,Banano criollo,BANANO CRIOLLO,109.5273463147048,0.1050207652725773,19,Q2
m1_margin_Q2,Bocachico importado congelado,BOCACHICO IMPORTADO CONGELADO,846.9506253704793,0.09882517727544861,19,Q2
m1_margin_Q2,Café molido,CAFE MOLIDO,184.5359353752202,0.02114766979905234,19,Q2
m1_margin_Q2,"Carne de cerdo, costilla",CARNE DE CERDO COSTILLA,265.9855059895453,0.03049751897340255,19,Q2
m1_margin_Q2,"Carne de cerdo, espinazo",CARNE DE CERDO ESPINAZO,400.5201467641535,0.05863028590592249,19,Q2
m1_margin_Q2,"Carne de res, cadera",CARNE DE RES CADERA,378.4209297337221,0.02609742145623272,19,Q2
m1_margin_Q2,"Carne de res, costilla",CARNE DE RES COSTILLA,89.78779778164846,0.0198568925521506,19,Q2
m1_margin_Q2,"Carne de res, falda",CARNE DE RES FALDA,492.1159311917593,0.03684235604288356,19,Q2
m1_margin_Q2,"Carne de res, lomo de brazo",CARNE DE RES LOMO DE BRAZO,293.5121663664305,0.02603357193310758,13,Q2
m1_margin_Q2,"Carne de res, lomo fino",CARNE DE RES LOMO FINO,1011.040532364728,0.1004174695246989,13,Q2
m1_margin_Q2,"Carne de res, pecho",CARNE DE RES PECHO,883.2491387632567,0.09474497320227114,19,Q2
m1_margin_Q2,"Carne de res, punta de anca",CARNE DE RES PUNTA DE ANCA,908.9745223051858,0.1004321600661222,19,Q2
m1_margin_Q2,Cebolla cabezona blanca bogotana,CEBOLLA CABEZONA BLANCA BOGOTANA,296.9608772122946,0.1751957353340109,19,Q2
m1_margin_Q2,Cebolla cabezona blanca importada,CEBOLLA CABEZONA BLANCA IMPORTADA,148.4646583911697,0.1071866732253406,9,Q2
m1_margin_Q2,Cebolla cabezona blanca pastusa,CEBOLLA CABEZONA BLANCA PASTUSA,286.3086145724588,0.1672017094568232,19,Q2
m1_margin_Q2,Cebolla cabezona roja importada,CEBOLLA CABEZONA ROJA IMPORTADA,318.4857816185511,0.1748274164103151,12,Q2
m1_margin_Q2,Curuba,CURUBA,207.5992233448182,0.09770810521319853,19,Q2
m1_margin_Q2,Fríjol verde cargamanto,FRIJOL VERDE CARGAMANTO,367.2168267973939,0.07070952147817569,19,Q2
m1_margin_Q2,Habichuela,HABICHUELA,213.1781010806482,0.1140359766686179,19,Q2
