food_key,m0_ipc_fill,m1_margin_Q2,m1_margin_best,m4_asy_ecm_mtar,m5_ecm,m6_lm_dummies,m7_fd_dummies
PAPA SUPREMA,NA,163.6016026990041,154.3638020126091,497.6832430050517,0.47262934228111175,0.2549334800421861,372.6863116835092
PAPA UNICA,NA,239.0824075939341,166.7720107484665,489.0742182435211,0.6834334659415727,0.2907064931787751,379.1249301332174
PASTA PARA SECO,67.05482282043697,NA,NA,NA,NA,NA,NA
PASTA PARA SOPA,60.53229684794407,NA,NA,NA,NA,NA,NA
PASTAS ALIMENTICIAS,NA,518.8322839186699,372.7422684403281,168.74016277244718,0.3839956935755265,0.2708435569625901,340.84347063629804
PECHUGA DE POLLO,NA,149.6622575983116,149.6622575983116,1343.917589094696,0.06391731831037097,0.03149699819587617,210.6379080707563
PESCADO DE MAR,738.877875777293,NA,NA,NA,NA,NA,NA
PESCADO DE RIO,952.1992549113825,NA,NA,NA,NA,NA,NA
PESCADO ENLATADO,274.7467618564809,NA,NA,NA,NA,NA,NA
PINA GOLD,NA,106.9540864096607,46.5640819490225,72.59184321788393,0.08819071797205907,0.213242916980123,160.64942103527102
PINA MANZANA,NA,48.04383640127258,51.24644374960749,344.670291856467,0.23536570339037508,0.07339728935149979,157.61890586190702
PINAS,413.3979410261963,NA,NA,NA,NA,NA,NA
PLATANO,6.132459943946748,NA,NA,NA,NA,NA,NA
POLLO DESPRESADO POR LIBRA,196.54319646163,NA,NA,NA,NA,NA,NA
POLLO ENTERO CONGELADO SIN VISCERAS,NA,196.100193090078,169.007738510003,403.0619805605886,0.08519153030262844,0.07576349733206411,55.457022669602914
POLLO ENTERO POR LIBRA,123.6533718613382,NA,NA,NA,NA,NA,NA
QUESO CAMPESINO,222.815366836952,174.9677425969736,174.9677425969736,1367.0810932591207,0.01873165248549219,0.03648817137995415,162.46411949665264
REPOLLO,632.4507597652757,NA,NA,NA,NA,NA,NA
REPOLLO BLANCO,NA,182.4099726967779,202.0560288273406,79.55883178815327,0.33355081427996,0.1784787940902171,139.94349287271632
SAL,2.109580705124434,NA,NA,NA,NA,NA,NA
SAL YODADA,NA,13.97183338300076,15.12126361709926,35.08528152146293,0.03719535047187129,0.1290745880243219,9.581098011498202
TILAPIA ROJA ENTERA CONGELADA,NA,1335.636212485083,1228.403648746858,2850.39284007081,0.05424706194467643,0.1730128814324519,570.3022898258769
TOMATE,5.887148061770841,NA,NA,NA,NA,NA,NA
TOMATE DE ARBOL,3.948019622467353,265.4739414716108,236.3382653143525,485.39222808219733,0.3739424871388165,0.1193589636555319,540.7638572627617
TOMATE LARGA VIDA,NA,175.4109926546448,175.4109926546448,194.4808432065247,0.19672184420324257,0.1588812483470443,311.94303285154217
YUCA,3.285266483623204,NA,NA,NA,NA,NA,NA
ZANAHORIA,6.25636632557997,466.1398127596519,466.1398127596519,965.0369838736564,0.6643153475194157,0.4333855732690173,495.8997407089962
