ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,r2,n_obs,est_ok,k_city,sigma2_sc,Q_sc,delta,lambda_shrunk,reversion_reason,lambda_final,method_label
MEDELLÍN,SAL,011902,3,TRUE,0.964982512252231,1.0664521919926282e-5,0.9440838220529262,203,TRUE,1,1.0664521919926282e-5,0.001226224448165154,1.0086970390582932,0.9646779637935653,none,0.9646779637935653,D_city
BOGOTÁ D.C.,ARROZ PARA SECO,011101,3,TRUE,1.1132607123535918,1.0477649019518836e-4,0.9091113506576292,203,TRUE,3,1.9251274117493224e-4,0.15107099039614239,0.9987256802866644,1.113116381995093,none,1.113116381995093,D_city
BOGOTÁ D.C.,ARROZ PARA SOPA,011101,3,TRUE,0.6852559290995301,2.6828857793264406e-4,0.5967848408489121,203,TRUE,3,1.9251274117493224e-4,0.15107099039614239,0.9987256802866644,0.6856570136737341,none,0.6856570136737341,D_city
BOGOTÁ D.C.,ARROZ INTEGRAL,011101,3,TRUE,0.8020627087527483,2.0447315539696428e-4,0.72681080724857,203,TRUE,3,1.9251274117493224e-4,0.15107099039614239,0.9987256802866644,0.8023149441449889,none,0.8023149441449889,D_city
BOGOTÁ D.C.,HARINA PRECOCIDA,011106,3,TRUE,0.171585148108864,2.626480731938516e-4,0.04229962255076473,203,TRUE,1,2.626480731938516e-4,0.686271166833813,1.000382717628085,0.17126809914167773,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,HARINA DE TRIGO,011105,3,TRUE,0.2670976983710199,4.151329459641744e-4,0.06341909684826164,203,TRUE,2,3.480609143632152e-4,1.277193184700774,1,0.2670976983710198,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,FECULA DE MAÍZ,011105,3,TRUE,0.13973992248406794,2.80988882762256e-4,0.02665270841333671,203,TRUE,2,3.480609143632152e-4,1.277193184700774,1,0.13973992248406797,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,PASTA PARA SECO,011102,3,TRUE,0.9769794367730926,1.1638863123466607e-5,0.9686032110956162,203,TRUE,2,2.7229792780977147e-5,0.004414130323672346,1,0.9769794367730926,none,0.9769794367730926,D_city
BOGOTÁ D.C.,PASTA PARA SOPA,011102,3,TRUE,0.937676778064767,4.282072243848769e-5,0.8853761243616363,203,TRUE,2,2.7229792780977147e-5,0.004414130323672346,1,0.937676778064767,none,0.937676778064767,D_city
BOGOTÁ D.C.,AVENA HOJUELAS,011103,3,TRUE,0.8234593426247498,3.0332594631356555e-4,0.3260104945408358,203,TRUE,2,2.655673359327305e-4,0.26731875083028306,1,0.8234593426247498,none,0.8234593426247498,D_city
BOGOTÁ D.C.,AVENA MOLIDA,011103,3,TRUE,0.5140451182220744,2.2780872555189544e-4,0.20062548775313951,203,TRUE,2,2.655673359327305e-4,0.26731875083028306,1,0.5140451182220744,none,0.5140451182220744,D_city
BOGOTÁ D.C.,PAN CORRIENTE,011108,3,TRUE,1.061489341613086,7.710445549872569e-5,0.6889691303651935,203,TRUE,3,1.3645450857174151e-4,0.04384024438088597,0.996887460129414,1.0612979535856992,none,1.0612979535856992,D_city
BOGOTÁ D.C.,PAN FRANCÉS,011108,3,TRUE,0.9613642494081652,1.812732013768875e-4,0.4359317234065499,203,TRUE,3,1.3645450857174151e-4,0.04384024438088597,0.996887460129414,0.9614845047223123,none,0.9614845047223123,D_city
BOGOTÁ D.C.,PAN INTEGRAL,011108,3,TRUE,0.8036162327862083,1.5098586883961133e-4,0.3933305573571728,203,TRUE,3,1.3645450857174151e-4,0.04384024438088597,0.996887460129414,0.8042274850915971,none,0.8042274850915971,D_city
BOGOTÁ D.C.,PAPA,011705,3,TRUE,1.026445925420796,3.794612512433002e-4,0.9703210337783008,203,TRUE,2,0.01118012921248271,0.14944210238478836,1,1.026445925420796,none,1.026445925420796,D_city
BOGOTÁ D.C.,PAPA CRIOLLA,011705,3,TRUE,0.614328228394369,0.02198079717372212,0.16817177798932495,203,TRUE,2,0.01118012921248271,0.14944210238478836,1,0.614328228394369,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,YUCA,011706,3,TRUE,0.988983651994035,6.326632539860943e-5,0.961572579017993,203,TRUE,1,6.326632539860943e-5,1.2135992338852814e-4,1.5213115139836173,0.983240702936475,none,0.983240702936475,D_city
BOGOTÁ D.C.,ARRACACHA,011712,3,TRUE,1.1307721580134675,4.132112370239061e-4,0.9093297824951428,181,TRUE,1,4.132112370239061e-4,0.01710135731149932,1.02416248193037,1.1339319379184634,none,1.1339319379184634,D_city
BOGOTÁ D.C.,PLÁTANO,011704,3,TRUE,0.9982371487749052,3.17280243134599e-5,0.9872226029389914,203,TRUE,1,3.17280243134599e-5,3.1076444418181875e-6,11.209670027404037,0.9802390194592825,none,0.9802390194592825,D_city
BOGOTÁ D.C.,CEBOLLA LARGA,011714,3,TRUE,0.6300043238189569,0.00601312269392392,0.45277051115896094,203,TRUE,2,0.005633266610162155,0.23778459916595052,1,0.6300043238189569,none,0.6300043238189569,D_city
BOGOTÁ D.C.,CEBOLLA CABEZONA,011714,3,TRUE,1.317628397303017,0.00525341052640039,0.8055433794330175,203,TRUE,2,0.005633266610162155,0.23778459916595052,1,1.317628397303017,none,1.317628397303017,D_city
BOGOTÁ D.C.,TOMATE,011713,3,TRUE,1.00582705652886,5.422028055543026e-5,0.9975718326013238,203,TRUE,1,5.422028055543026e-5,3.39545877905307e-5,2.596846967777099,1.015131974078036,none,1.015131974078036,D_city
BOGOTÁ D.C.,ZANAHORIA,011715,3,TRUE,0.9961315347413712,5.671893168537222e-5,0.9978602117413538,203,TRUE,1,5.671893168537222e-5,1.4965023457218206e-5,4.790099751431695,0.98146966552622,none,0.98146966552622,D_city
BOGOTÁ D.C.,HABICHUELAS FRESCAS,011716,3,TRUE,2.0105270643932163,0.01883390388077983,0.4006063491720384,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,1.999480269966615,none,1.999480269966615,D_city
BOGOTÁ D.C.,REPOLLO,011716,3,TRUE,0.08714184789506982,0.01402637810029292,0.00168307169449616,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,0.09712095355416017,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,LECHUGA,011716,3,TRUE,1.0780858097811046,0.01796203100703719,0.1677077911575802,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,1.0772321979198483,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,AJO,011716,3,TRUE,0.19748452322764443,0.00429086065280813,0.02752494026003599,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,0.2062573941466369,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,FRÍJOL FRESCO,011716,3,TRUE,0.34745811847016256,0.00478667593005154,0.07282162834758633,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,0.35459152070549627,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,FRÍJOL SECO,011716,3,TRUE,0.13722857594709156,8.942541236048376e-4,0.06154167934985106,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,0.14666014774213443,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,ARVEJA FRESCA,011716,3,TRUE,1.8922062974664475,0.01768646955748757,0.3866567511969082,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,1.8824529520079079,none,1.8824529520079079,D_city
BOGOTÁ D.C.,ARVEJA SECA,011716,3,TRUE,0.02237578087519802,6.150539385679322e-4,0.00252854022652868,203,TRUE,8,0.009886953398828743,5.4265700662548815,0.9890682844469539,0.03306289075643909,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,LENTEJAS,011702,3,TRUE,0.09640781228446473,0.00150899082515697,0.0295053941913132,203,TRUE,2,0.0010928546465385279,1.7419095383842778,1,0.09640781228446471,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,GARBANZO,011702,3,TRUE,0.03800691443039435,6.767184679200859e-4,0.01042643218415555,203,TRUE,2,0.0010928546465385279,1.7419095383842778,1,0.03800691443039439,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,FRÍJOL TARRO,011703,3,TRUE,1.0184403132690942,6.93217405907583e-5,0.6183436930246288,203,TRUE,2,1.2269444759275395e-4,0.0046929092135642924,1,1.0184403132690942,none,1.0184403132690942,D_city
BOGOTÁ D.C.,ARVEJA TARRO,011703,3,TRUE,1.065976238602257,1.760671545947496e-4,0.4113601118572583,203,TRUE,2,1.2269444759275395e-4,0.0046929092135642924,1,1.065976238602257,none,1.065976238602257,D_city
BOGOTÁ D.C.,NARANJAS,011605,3,TRUE,1.0399019321194591,1.2287469417354412e-4,0.980532873622632,203,TRUE,1,1.2287469417354412e-4,0.0015921641868659247,1.0771746376329536,1.042981349271633,none,1.042981349271633,D_city
BOGOTÁ D.C.,BANANOS,011606,3,TRUE,0.989636344201394,1.7611343423311227e-5,0.9815595748490992,203,TRUE,1,1.7611343423311227e-5,1.0740536151197948e-4,1.1639708034626088,0.9879370072332867,none,0.9879370072332867,D_city
